Chart: 18424, Current Edition: 28, Print Date: Feb. /2011, Bellingham Bay;Bellingham Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18424	Change	Eliza Rocks Junction Light	Fl (2+1) G 6s 21ft 5M	N 48 38' 37.100"	W 122 34' 41.613"	48.64364	-122.5782	LNM 21/17, 13th Dist	1677	18424_1	6/1/2017
18424	Relocate	Cypress Reef Junction Daybeacon C	RG "C"	N 48 36' 48.962"	W 122 43' 21.084"	48.6136	-122.7225	LNM 05/17, 13th Dist	1677	18424_1	2/2/2017
18424	Relocate	Sandy Point Light 3	Fl G 2.5s 15ft 4M "3"	N 48 47' 16.356"	W 122 42' 42.906"	48.78788	-122.7119	LNM 47/16, 13th Dist	1677	18424_1	12/1/2016
18424	Add	Obstruction	Obstn (anchor) Rep 2016 PA	N 48 43' 16.000"	W 122 34' 22.000"	48.72111	-122.5728	WNM 39/16, NGA	1677	18424_1	9/22/2016
18424	Change	Bellingham Bay Research Lighted Buoy B	Y "B" Fl (5) Y 20s Priv	N 48 43' 25.291"	W 122 34' 35.514"	48.72369	-122.5765	LNM 29/16, 13th Dist	1677	18424_1	7/21/2016
18424	Relocate	Sounding in Fathoms & Feet	1 2	N 48 35' 19.841"	W 122 41' 45.268"	48.58884	-122.6959	LNM 23/16, 13th Dist	1677	18424_1	6/2/2016
18424	Add	Sounding in Fathoms & Feet	0 5	N 48 35' 17.576"	W 122 41' 40.636"	48.58821	-122.6946	LNM 23/16, 13th Dist	1677	18424_1	6/2/2016
18424	Change	Sandy Point Light 2	Fl R 4s 16ft 4M "2"	N 48 47' 12.429"	W 122 42' 44.748"	48.78679	-122.7124	LNM 20/16, 13th Dist	1677	18424_1	5/26/2016
18424	Add	Foul Area PT 1 of 4	Foul Area (use Chart No. 1 K43.1)	N 48 45' 09.040"	W 122 29' 06.580"	48.75251	-122.4852	LNM 20/16, 13th Dist	1678	18424_2	5/26/2016
18424	Add	Foul Area PT 1 of 4	Foul Area (use Chart No. 1 K43.1)	N 48 45' 09.040"	W 122 29' 06.580"	48.75251	-122.4852	LNM 20/16, 13th Dist	1677	18424_1	5/26/2016
18424	Add	Foul Area PT 2 of 4	Foul Area (use Chart No. 1 K43.1)	N 48 45' 06.430"	W 122 29' 10.392"	48.75179	-122.4862	LNM 20/16, 13th Dist	1678	18424_2	5/26/2016
18424	Add	Foul Area PT 2 of 4	Foul Area (use Chart No. 1 K43.1)	N 48 45' 06.430"	W 122 29' 10.392"	48.75179	-122.4862	LNM 20/16, 13th Dist	1677	18424_1	5/26/2016
18424	Add	Foul Area PT 3 of 4	Foul Area (use Chart No. 1 K43.1)	N 48 45' 05.054"	W 122 29' 08.567"	48.7514	-122.4857	LNM 20/16, 13th Dist	1678	18424_2	5/26/2016
18424	Add	Foul Area PT 3 of 4	Foul Area (use Chart No. 1 K43.1)	N 48 45' 05.054"	W 122 29' 08.567"	48.7514	-122.4857	LNM 20/16, 13th Dist	1677	18424_1	5/26/2016
18424	Add	Foul Area PT 4 of 4	Foul Area (use Chart No. 1 K43.1)	N 48 45' 07.614"	W 122 29' 04.625"	48.75211	-122.4846	LNM 20/16, 13th Dist	1678	18424_2	5/26/2016
18424	Add	Foul Area PT 4 of 4	Foul Area (use Chart No. 1 K43.1)	N 48 45' 07.614"	W 122 29' 04.625"	48.75211	-122.4846	LNM 20/16, 13th Dist	1677	18424_1	5/26/2016
18424	Relocate	Viti Rocks Light	Fl 2.5s 45ft 5M	N 48 37' 59.640"	W 122 37' 21.671"	48.63323	-122.6227	LNM 16/16, 13th Dist	1677	18424_1	4/28/2016
18424	Add	Bellingham Bay Research Lighted Buoy B	RY "B" Fl (5) Y 20s Priv	N 48 43' 25.291"	W 122 34' 35.514"	48.72369	-122.5765	LNM 08/16, 13th Dist	1677	18424_1	3/3/2016
18424	Relocate	Vendovi Island Light 2	Fl R 6s 13ft 4M "2"	N 48 36' 31.800"	W 122 35' 54.402"	48.60883	-122.5984	LNM 19/15, 13th Dist	1677	18424_1	5/21/2015
18424	Change	Vendovi Island Light 2	Fl R 6s 13ft 4M "2"	N 48 36' 31.800"	W 122 35' 54.402"	48.60883	-122.5984	LNM 19/15, 13th Dist	1677	18424_1	5/21/2015
18424	Delete	Fish pen	Fish pen	N 48 33' 14.450"	W 122 41' 05.770"	48.55401	-122.6849	LNM 05/15, 13th Dist	1677	18424_1	2/5/2015
18424	Delete	Fish pen	Fish pen	N 48 33' 37.850"	W 122 40' 50.630"	48.56051	-122.6807	LNM 05/15, 13th Dist	1677	18424_1	2/5/2015
18424	Add	Fish pen PT 1 OF 4	Fish pen	N 48 33' 41.640"	W 122 40' 46.270"	48.56157	-122.6795	LNM 05/15, 13th Dist	1677	18424_1	2/5/2015
18424	Add	Fish pen PT 2 OF 4	Fish pen	N 48 33' 38.310"	W 122 40' 52.180"	48.56064	-122.6812	LNM 05/15, 13th Dist	1677	18424_1	2/5/2015
18424	Add	Fish pen PT 3 OF 4	Fish pen	N 48 33' 37.010"	W 122 40' 50.420"	48.56028	-122.6807	LNM 05/15, 13th Dist	1677	18424_1	2/5/2015
