Chart: 18428, Current Edition: 10, Print Date: Oct. /2010, Oak and Crescent Harbors
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18428	Relocate	Oak Harbor Light 12	Fl R 2.5s 15ft 3M "12"	N 48 16' 53.117"	W 122 38' 44.164"	48.28142	-122.6456	LNM 38/16, 13th Dist	1681	18428_1	9/22/2016
18428	Relocate	Oak Harbor Light 4	Fl R 2.5s 15ft 3M "4"	N 48 16' 02.356"	W 122 38' 22.432"	48.26732	-122.6396	LNM 38/16, 13th Dist	1681	18428_1	9/22/2016
18428	Change	Oak Harbor Light 4	Fl R 2.5s 15ft 3M "4"	N 48 16' 02.356"	W 122 38' 22.432"	48.26732	-122.6396	LNM 38/16, 13th Dist	1681	18428_1	9/22/2016
18428	Relocate	Oak Harbor Light 10	Fl R 4s 15ft 4M "10"	N 48 16' 38.566"	W 122 38' 49.933"	48.27738	-122.6472	LNM 30/16, 13th Dist	1681	18428_1	7/28/2016
18428	Relocate	Oak Harbor Light 11	Fl G 6s 15ft 4M "11"	N 48 16' 39.471"	W 122 39' 07.983"	48.27763	-122.6522	LNM 26/16, 13th Dist	1681	18428_1	6/30/2016
18428	Add	Oak Harbor Marina North Entrance Daybeacon 5	G "5" Priv	N 48 17' 11.580"	W 122 38' 08.640"	48.28655	-122.6357	LNM 15/16, 13th Dist	1681	18428_1	4/21/2016
18428	Add	Oak Harbor Marina Shoal Warning Lighted Buoy B	W Or "B" Fl 6s Priv	N 48 17' 11.640"	W 122 38' 14.040"	48.28657	-122.6372	LNM 15/16, 13th Dist	1681	18428_1	4/21/2016
18428	Add	Oak Harbor Marina Shoal Warning Lighted Buoy C	W Or "C" Fl 6s Priv	N 48 17' 12.600"	W 122 38' 10.200"	48.28683	-122.6362	LNM 15/16, 13th Dist	1681	18428_1	4/21/2016
18428	Add	Oak Harbor Marina Shoal Warning Lighted Buoy D	W Or "D" Fl 6s Priv	N 48 17' 12.540"	W 122 38' 04.620"	48.28682	-122.6346	LNM 15/16, 13th Dist	1681	18428_1	4/21/2016
18428	Add	Oak Harbor Marina Shoal Warning Lighted Buoy E	W Or "E" Fl 6s Priv	N 48 17' 12.900"	W 122 38' 01.320"	48.28691	-122.6337	LNM 15/16, 13th Dist	1681	18428_1	4/21/2016
