Chart: 18429, Current Edition: 11, Print Date: May. /2014, Rosario Strait-southern part
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18429	Delete	Minor Island Light	Fl 4s 27ft 5M	N 48 19' 27.666"	W 122 49' 09.474"	48.32435	-122.8193	LNM 14/17, 13th Dist	1682	18429_1	4/13/2017
18429	Relocate	Fauntleroy Point Light	Fl 4s 37ft 6M	N 48 31' 28.163"	W 122 47' 18.525"	48.52449	-122.7885	LNM 05/17, 13th Dist	1682	18429_1	2/2/2017
18429	Change	Fauntleroy Point Light	Fl 4s 37ft 6M	N 48 31' 28.163"	W 122 47' 18.525"	48.52449	-122.7885	LNM 05/17, 13th Dist	1682	18429_1	2/2/2017
18429	Relocate	Davidson Rock Light 1	Fl G 4s 28ft 5M "1" 	N 48 24' 47.814"	W 122 48' 43.165"	48.41328	-122.812	LNM 05/17, 13th Dist	1682	18429_1	2/2/2017
18429	Relocate	Lawson Rock Light 2	Fl R 4s 15ft 4M "2" 	N 48 31' 51.528"	W 122 47' 19.431"	48.53098	-122.7887	LNM 05/17, 13th Dist	1682	18429_1	2/2/2017
18429	Relocate	Blakely Island Light 4	Fl R 6s 15ft 6M "4"	N 48 31' 52.261"	W 122 48' 34.256"	48.53119	-122.8095	LNM 05/17, 13th Dist	1682	18429_1	2/2/2017
18429	Change	Blakely Island Light 4	Fl R 6s 15ft 6M "4"	N 48 31' 52.261"	W 122 48' 34.256"	48.53119	-122.8095	LNM 05/17, 13th Dist	1682	18429_1	2/2/2017
18429	Relocate	Reef Point Junction Lighted Buoy	RG Fl (2+1) R 6s	N 48 31' 43.791"	W 122 43' 33.197"	48.52883	-122.7259	LNM 48/16, 13th Dist	1682	18429_1	12/1/2016
18429	Relocate	Undertakers Reef Daybeacon 5	G "5" Ra Ref	N 48 31' 22.578"	W 122 49' 46.254"	48.52294	-122.8295	LNM 13/16, 13th Dist	1682	18429_1	4/14/2016
18429	Relocate	Center Island Reef Daybeacon	BW Bn 	N 48 29' 04.626"	W 122 50' 05.916"	48.48462	-122.835	LNM 13/16, 13th Dist	1682	18429_1	4/14/2016
18429	Change	Center Island Reef Daybeacon	BW Bn 	N 48 29' 04.626"	W 122 50' 05.916"	48.48462	-122.835	LNM 13/16, 13th Dist	1682	18429_1	4/14/2016
18429	Relocate	Black Rock Light 9	Fl G 4s 10ft 4M "9"	N 48 32' 45.168"	W 122 45' 56.352"	48.54588	-122.7657	LNM 12/16, 13th Dist	1682	18429_1	3/31/2016
18429	Relocate	Smith Island Light	Fl 10s 55ft 14M	N 48 19' 14.368"	W 122 49' 51.449"	48.32066	-122.831	LNM 09/16, 13th Dist	1682	18429_1	3/10/2016
18429	Change	Smith Island Light	Fl 10s 55ft 14M	N 48 19' 14.368"	W 122 49' 51.449"	48.32066	-122.831	LNM 09/16, 13th Dist	1682	18429_1	3/10/2016
18429	Delete	Fish pen	Fish pen	N 48 33' 14.450"	W 122 41' 05.770"	48.55401	-122.6849	LNM 05/15, 13th Dist	1682	18429_1	2/5/2015
18429	Delete	Fish pen	Fish pen	N 48 33' 37.850"	W 122 40' 50.630"	48.56051	-122.6807	LNM 05/15, 13th Dist	1682	18429_1	2/5/2015
