Chart: 18433, Current Edition: 6, Print Date: Apr. /2005, Haro-Strait-Middle Bank to Stuart Island
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18433	Change	Mosquito Pass Daybeacon 2	R "2" Ra Ref	N 48 34' 57.609"	W 123 10' 19.468"	48.58267	-123.1721	LNM 28/16, 13th Dist	1686	18433_1	7/14/2016
18433	Add	Acoustic recorder	Subm buoy (94 fms rep)	N 48 30' 27.630"	W 123 11' 54.350"	48.50768	-123.1984	LNM 18/16, 13th Dist	1686	18433_1	5/12/2016
18433	Add	Acoustic recorder	Subm buoy (99 fms rep)	N 48 30' 26.720"	W 123 11' 50.690"	48.50742	-123.1974	LNM 18/16, 13th Dist	1686	18433_1	5/12/2016
18433	Add	Submerged buoy	Subm buoy (103 fms rep)	N 48 30' 23.680"	W 123 12' 37.920"	48.50658	-123.2105	LNM 18/16, 13th Dist	1686	18433_1	5/12/2016
18433	Change	Zero Rock Light	Fl 4s 28ft 7M Ra Ref	N 48 31' 25.300"	W 123 17' 30.700"	48.52369	-123.2919	LNM 05/16, 13th Dist	1686	18433_1	2/4/2016
18433	Relocate	Green Point Light	Fl 4s 20ft 6M	N 48 38' 00.750"	W 123 06' 23.298"	48.63354	-123.1065	LNM 15/15, 13th Dist	1686	18433_1	4/16/2015
18433	Delete	Light symbol	Light dot and flare	N 48 36' 55.155"	W 123 10' 10.912"	48.61532	-123.1697	LNM 04/15, 13th Dist	1686	18433_1	2/5/2015
18433	Relocate	Pearl Island Pier Lights	2 F Y Priv	N 48 36' 55.200"	W 123 10' 10.920"	48.61533	-123.1697	LNM 04/15, 13th Dist	1686	18433_1	2/5/2015
18433	Substitute	Sounding in Fathoms	87 for 42  (NOS NW-23918)	N 48 30' 41.220"	W 123 13' 31.830"	48.51145	-123.2255	LNM 24/14, 13th Dist	1686	18433_1	6/26/2014
18433	Change	Lime Kiln Light	Fl 10s 45ft 14M	N 48 30' 57.000"	W 123 09' 09.000"	48.51583	-123.1525	LNM 07/14, 13th Dist	1686	18433_1	2/27/2014
18433	Relocate	Pearl Island Dock Light	Fl Y 4s Priv	N 48 37' 03.000"	W 123 09' 39.400"	48.6175	-123.1609	LNM 05/14, 13th Dist	1686	18433_1	2/20/2014
18433	Delete	FY Priv	F Y Priv	N 48 36' 55.447"	W 123 10' 11.899"	48.6154	-123.17	LNM 05/14, 13th Dist	1686	18433_1	2/20/2014
18433	Relocate	Pearl Island Pier Lights (2)	2 F Y	N 48 36' 55.681"	W 123 10' 11.179"	48.61547	-123.1698	LNM 05/14, 13th Dist	1686	18433_1	2/20/2014
18433	Relocate	Lime Kiln Light	Fl 10s 45ft 17M	N 48 30' 57.122"	W 123 09' 09.032"	48.51587	-123.1525	LNM 01/14, 13th Dist	1686	18433_1	1/23/2014
18433	Change	Lime Kiln Light	Fl 10s 45ft 17M	N 48 30' 57.122"	W 123 09' 09.032"	48.51587	-123.1525	LNM 01/14, 13th Dist	1686	18433_1	1/23/2014
18433	Add	Henry Island Outstation Light A	FY "A" Priv	N 48 36' 14.340"	W 123 10' 21.410"	48.60398	-123.1726	LNM 31/13, 13th Dist	1686	18433_1	8/8/2013
18433	Add	Henry Island Outstation Light B	FY "B" Priv	N 48 36' 13.870"	W 123 10' 19.450"	48.60385	-123.1721	LNM 31/13, 13th Dist	1686	18433_1	8/8/2013
18433	Add	Henry Island Outstation Light C	FY "C" Priv	N 48 36' 12.960"	W 123 10' 18.920"	48.6036	-123.1719	LNM 31/13, 13th Dist	1686	18433_1	8/8/2013
18433	Add	Sounding in Fathoms and Feet	0_4	N 48 26' 43.600"	W 123 16' 13.500"	48.44545	-123.2704	CNM 02/13, Canada	1686	18433_1	7/25/2013
18433	Delete	Sounding in Fathoms and Feet	2_2	N 48 26' 44.400"	W 123 16' 13.100"	48.44567	-123.2703	CNM 02/13, Canada	1686	18433_1	7/25/2013
18433	Add	Sounding in Fathoms and Feet	1_3	N 48 25' 42.500"	W 123 17' 29.700"	48.42847	-123.2916	CNM 02/13, Canada	1686	18433_1	7/25/2013
18433	Relocate	Sherman Dock Light	Fl Y 6s Priv	N 48 36' 11.297"	W 123 09' 59.101"	48.60314	-123.1664	LNM 19/13, 13th Dist	1686	18433_1	5/23/2013
18433	Add	Single Line Pier PT 1 OF 2	Chart No. 1 F14	N 48 35' 20.460"	W 123 09' 54.630"	48.58902	-123.1652	LNM 42/12, 13th Dist	1686	18433_1	10/15/2012
18433	Add	Single Line Pier PT 2 OF 2	Chart No. 1 F14	N 48 35' 20.440"	W 123 09' 56.000"	48.58901	-123.1656	LNM 42/12, 13th Dist	1686	18433_1	10/15/2012
18433	Add	Single Line Pier PT 1 OF 2	Chart No. 1 F14	N 48 35' 20.730"	W 123 09' 56.130"	48.58909	-123.1656	LNM 42/12, 13th Dist	1686	18433_1	10/15/2012
18433	Add	Single Line Pier PT 2 OF 2	Chart No. 1 F14	N 48 35' 20.130"	W 123 09' 56.130"	48.58892	-123.1656	LNM 42/12, 13th Dist	1686	18433_1	10/15/2012
18433	Add	Single Line Pier PT 1 OF 2	Chart No. 1 F14	N 48 35' 19.880"	W 123 10' 01.570"	48.58886	-123.1671	LNM 42/12, 13th Dist	1686	18433_1	10/15/2012
18433	Add	Single Line Pier PT 2 OF 2	Chart No. 1 F14	N 48 35' 20.360"	W 123 10' 03.130"	48.58899	-123.1675	LNM 42/12, 13th Dist	1686	18433_1	10/15/2012
