Chart: 18434, Current Edition: 7, Print Date: Apr. /2008, San Juan Channel
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18434	Delete	Jones Island Rock Buoy	W Or	N 48 37' 15.000"	W 123 02' 38.000"	48.62083	-123.0439	LNM 24/17, 13th Dist	1941	18434_1	6/22/2017
18434	Change	Friday Harbor Marina Entrance Light 1	Fl G 2.5s 8ft 4M "1"	N 48 32' 23.207"	W 123 00' 54.118"	48.53978	-123.015	LNM 21/17, 13th Dist	1941	18434_1	6/1/2017
18434	Add	Jones Island Rock Danger Daybeacon	W Bn	N 48 37' 12.942"	W 123 02' 34.092"	48.62026	-123.0428	LNM 20/17, 13th Dist	1941	18434_1	5/18/2017
18434	Relocate	Reid Rock Lighted Isolated Danger Buoy DR	BR "DR" Fl (2) 5s	N 48 32' 56.411"	W 122 59' 22.307"	48.549	-122.9895	LNM 43/16, 13th Dist	1941	18434_1	10/27/2016
18434	Change	Reid Rock Lighted Isolated Danger Buoy DR	BR "DR" Fl (2) 5s (two topmarks)	N 48 32' 56.411"	W 122 59' 22.307"	48.549	-122.9895	LNM 43/16, 13th Dist	1941	18434_1	10/27/2016
18434	Relocate	Twin Rocks Daybeacon	RW Bn Ra Ref	N 48 26' 45.870"	W 122 54' 44.622"	48.44608	-122.9124	LNM 32/16, 13th Dist	1941	18434_1	8/11/2016
18434	Change	Twin Rocks Daybeacon	RW Bn Ra Ref	N 48 26' 45.870"	W 122 54' 44.622"	48.44608	-122.9124	LNM 32/16, 13th Dist	1941	18434_1	8/11/2016
18434	Relocate	Richardson Daybeacon	RW Bn	N 48 26' 47.002"	W 122 54' 36.744"	48.44639	-122.9102	LNM 31/16, 13th Dist	1941	18434_1	8/4/2016
18434	Relocate	Bird Rocks Light	Fl 4s 15ft 6M	N 48 35' 52.080"	W 123 00' 55.146"	48.5978	-123.0153	LNM 26/16, 13th Dist	1941	18434_1	6/30/2016
18434	Add	Dangerous Wreck	PA	N 48 31' 49.500"	W 123 00' 00.018"	48.53042	-123	LNM 13/16, 13th Dist	1941	18434_1	4/14/2016
18434	Change	Shag Rock Daybeacon	WB Bn	N 48 35' 29.509"	W 122 52' 30.510"	48.59153	-122.8751	LNM 11/16, 13th Dist	1941	18434_1	3/17/2016
18434	Relocate	Shag Rock Daybeacon	WB Bn	N 48 35' 29.509"	W 122 52' 30.510"	48.59153	-122.8751	LNM 11/16, 13th Dist	1941	18434_1	3/17/2016
18434	Relocate	Fisherman Bay Channel Daybeacon 5	G "5"	N 48 31' 09.414"	W 122 55' 06.900"	48.51928	-122.9186	LNM 47/15, 13th Dist	1941	18434_1	11/26/2015
18434	Relocate	Fisherman Bay Channel Daybeacon 4	R "4"	N 48 31' 20.334"	W 122 55' 02.418"	48.52232	-122.9173	LNM 47/15, 13th Dist	1941	18434_1	11/26/2015
18434	Relocate	Twin Rocks Daybeacon	RW Bn	N 48 26' 45.971"	W 122 54' 44.575"	48.4461	-122.9124	LNM 38/15, 13th Dist	1941	18434_1	10/1/2015
18434	Relocate	Green Point Light	Fl 4s 20ft 6M	N 48 38' 00.750"	W 123 06' 23.298"	48.63354	-123.1065	LNM 15/15, 13th Dist	1941	18434_1	4/16/2015
18434	Change	Friday Harbor Marina Entrance Light 2	Fl R 2.5s 8ft 4M "2"	N 48 32' 23.766"	W 123 00' 52.351"	48.53994	-123.0145	LNM 12/15, 13th Dist	1941	18434_1	3/26/2015
18434	Relocate	Friday Harbor Marina Entrance Light 2	Fl R 2.5s 8ft 4M "2"	N 48 32' 23.766"	W 123 00' 52.351"	48.53994	-123.0145	LNM 12/15, 13th Dist	1941	18434_1	3/26/2015
18434	Relocate	Friday Harbor Marina Entrance Light 1	Fl G 2.5s 8ft 3M "1"	N 48 32' 23.207"	W 123 00' 54.118"	48.53978	-123.015	LNM 12/15, 13th Dist	1941	18434_1	3/26/2015
18434	Relocate	Friday Harbor Pier Lights	2 Fl R 5s Priv	N 48 32' 41.100"	W 123 00' 46.260"	48.54475	-123.0128	LNM 08/15, 13th Dist	1941	18434_1	3/5/2015
18434	Delete	Light symbol	Light dot and flare	N 48 32' 42.300"	W 123 00' 42.800"	48.54508	-123.0119	LNM 04/15, 13th Dist	1941	18434_1	2/5/2015
18434	Relocate	Friday Harbor Ferry Terminal Dolphin Light A	Fl Y4s "A" Priv SIREN (Bl 20s)	N 48 32' 10.800"	W 123 00' 47.500"	48.53633	-123.0132	LNM 04/15, 13th Dist	1941	18434_1	2/5/2015
18434	Relocate	Friday Harbor Ferry Terminal Dolphin Light C	Fl Y4s "C" Priv	N 48 32' 08.800"	W 123 00' 46.240"	48.53578	-123.0128	LNM 04/15, 13th Dist	1941	18434_1	2/5/2015
18434	Delete	Sounding in Fathoms & Feet	2_5	N 48 27' 53.300"	W 123 02' 59.300"	48.46481	-123.0498	LNM 35/14, 13th Dist	1941	18434_1	8/28/2014
18434	Add	Rock in Fathoms & Feet (Within Corresponding Depth Area)	0_5 Rk	N 48 27' 53.600"	W 123 02' 58.400"	48.46489	-123.0496	LNM 35/14, 13th Dist	1941	18434_1	8/28/2014
18434	Relocate	Friday Harbor North Breakwater Light 1 	Fl G 4s 8ft 4M "1"	N 48 32' 25.205"	W 123 00' 56.813"	48.54034	-123.0158	LNM 07/14, 13th Dist	1941	18434_1	2/27/2014
18434	Delete	Shoal Bay Aquaculture Light	Fl Y 6s Priv	N 48 33' 36.000"	W 122 52' 24.000"	48.56	-122.8733	LNM 05/14, 13th Dist	1941	18434_1	2/20/2014
18434	Add	Shoal Bay Aquaculture Lighted Buoy	Y Fl Y 6s Priv	N 48 33' 31.100"	W 122 52' 29.600"	48.55864	-122.8749	LNM 05/14, 13th Dist	1941	18434_1	2/20/2014
18434	Relocate	Friday Harbor Pier Lights (2)	2 Fl R 5s 6M Priv	N 48 32' 41.182"	W 123 00' 46.364"	48.54477	-123.0129	LNM 05/14, 13th Dist	1941	18434_1	2/20/2014
18434	Delete	Fl R 5s Priv	Fl R 5s Priv	N 48 32' 42.965"	W 123 00' 43.240"	48.54527	-123.012	LNM 05/14, 13th Dist	1941	18434_1	2/20/2014
