Chart: 18446, Current Edition: 18, Print Date: Mar. /2011, Puget Sound-Apple Cove Point to Keyport;Agate Passage
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18446	Change	Puget Sound Traffic Separation Lane Lighted Buoy SG	Y "SG" Fl Y 2.5s RACON (-.) AIS	N 47 39' 41.091"	W 122 27' 52.253"	47.66142	-122.4645	LNM 43/16, 13th Dist	1707	18446_1	10/27/2016
18446	Change	Foul Ground	Anchor and chain	N 47 41' 12.688"	W 122 24' 38.372"	47.68686	-122.4107	LNM 39/16, 13th Dist	1707	18446_1	10/13/2016
18446	Add	Obstruction	Obstn (anchor)	N 47 41' 12.688"	W 122 24' 38.372"	47.68686	-122.4107	LNM 39/16, 13th Dist	1707	18446_1	10/6/2016
18446	Delete	ACOE Shilshole Bay North Lighted Mooring Buoy	Fl 4s Priv	N 47 41' 13.400"	W 122 24' 37.900"	47.68705	-122.4105	LNM 38/16, 13th Dist	1707	18446_1	9/22/2016
18446	Add	Sewer  PT 1 OF 4	Chart No. 1: L41.1	N 47 47' 51.770"	W 122 30' 02.850"	47.79771	-122.5008	LNM 24/16, 13th Dist	1707	18446_1	6/9/2016
18446	Add	Sewer  PT 2 OF 4	Chart No. 1: L41.1	N 47 47' 39.020"	W 122 30' 00.590"	47.79417	-122.5002	LNM 24/16, 13th Dist	1707	18446_1	6/9/2016
18446	Add	Sewer  PT 3 OF 4	Chart No. 1: L41.1	N 47 47' 28.120"	W 122 29' 46.070"	47.79115	-122.4961	LNM 24/16, 13th Dist	1707	18446_1	6/9/2016
18446	Add	Sewer  PT 4 OF 4	Chart No. 1: L41.1	N 47 47' 19.900"	W 122 29' 09.990"	47.78886	-122.4861	LNM 24/16, 13th Dist	1707	18446_1	6/9/2016
18446	Add	Kingston Outfall Pipe Warning Daybeacon	W Bn Priv	N 47 47' 37.116"	W 122 29' 58.427"	47.79364	-122.4996	LNM 20/16, 13th Dist	1707	18446_1	5/26/2016
18446	Relocate	Agate Pass Fish Pen Light A	Fl Y 4s "A" Priv	N 47 42' 12.920"	W 122 34' 29.520"	47.70359	-122.5749	LNM 19/16, 13th Dist	1708	18446_2	5/19/2016
