Chart: 18447, Current Edition: 30, Print Date: Sep. /2012, Lake Washington Ship Canal and Lake Washington
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18447	Relocate	Webster Point Light 21	Fl G 4s 19ft 5M "21"	N 47 38' 51.369"	W 122 16' 33.534"	47.6476	-122.276	LNM 17/17, 13th Dist	1710	18447_2	4/27/2017
18447	Relocate	Webster Point Light 21	Fl G 4s 19ft 5M "21"	N 47 38' 51.369"	W 122 16' 33.534"	47.6476	-122.276	LNM 17/17, 13th Dist	1711	18447_3	4/27/2017
18447	Add	SR-520 Bridge East Channel NE Mooring Cable Lighted Warning Buoy	W Or Fl 2s Priv	N 47 38' 21.552"	W 122 14' 36.312"	47.63932	-122.2434	LNM 13/17, 13th Dist	1711	18447_3	4/6/2017
18447	Add	SR-520 Bridge East Channel NE Mooring Cable Warning Sign	W Bn Priv	N 47 38' 19.575"	W 122 14' 36.895"	47.63877	-122.2436	LNM 13/17, 13th Dist	1711	18447_3	4/6/2017
18447	Add	SR-520 Bridge East Channel SE Mooring Cable Lighted Warning Buoy	W Or Fl 2s Priv	N 47 38' 15.869"	W 122 14' 38.155"	47.63774	-122.2439	LNM 13/17, 13th Dist	1711	18447_3	4/6/2017
18447	Add	SR-520 Bridge East Channel SE Mooring Cable Warning Sign	W Bn Priv	N 47 38' 17.268"	W 122 14' 37.689"	47.63813	-122.2438	LNM 13/17, 13th Dist	1711	18447_3	4/6/2017
18447	Add	SR-520 Bridge West Channel NW Mooring Cable Lighted Warning Buoy	W Or Fl 2s Priv	N 47 38' 37.209"	W 122 16' 26.335"	47.64367	-122.274	LNM 13/17, 13th Dist	1711	18447_3	4/6/2017
18447	Add	SR-520 Bridge West Channel NW Mooring Cable Warning Sign	W Bn Priv	N 47 38' 36.482"	W 122 16' 26.474"	47.64347	-122.274	LNM 13/17, 13th Dist	1711	18447_3	4/6/2017
18447	Add	SR-520 Bridge West Channel SW Mooring Cable Lighted Warning Buoy	W Or Fl 2s Priv	N 47 38' 30.929"	W 122 16' 28.270"	47.64193	-122.2745	LNM 13/17, 13th Dist	1710	18447_2	4/6/2017
18447	Add	SR-520 Bridge West Channel SW Mooring Cable Lighted Warning Buoy	W Or Fl 2s Priv	N 47 38' 30.929"	W 122 16' 28.270"	47.64193	-122.2745	LNM 13/17, 13th Dist	1711	18447_3	4/6/2017
18447	Add	SR-520 Bridge West Channel SW Mooring Cable Warning Sign	W Bn Priv	N 47 38' 34.172"	W 122 16' 27.251"	47.64283	-122.2742	LNM 13/17, 13th Dist	1711	18447_3	4/6/2017
