Chart: 18449, Current Edition: 20, Print Date: Aug. /2014, Puget Sound-Seattle to Bremerton
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18449	Change	Colman Ferry Terminal North Dolphin Lights	SIREN	N 47 36' 09.890"	W 122 20' 22.100"	47.60275	-122.3395	LNM 26/17, 13th Dist	1713	18449_1	7/6/2017
18449	Change	Colman Ferry Terminal Fog Signal Note	The light showing fixed white and siren is privately maintained and operated during fog only.	N 47 36' 50.000"	W 122 20' 10.000"	47.61389	-122.3361	LNM 26/17, 13th Dist	1713	18449_1	7/6/2017
18449	Relocate	Puget Sound Traffic Separation Lane Lighted Buoy T	Y "T" Fl Y 2.5s	N 47 34' 33.352"	W 122 27' 04.467"	47.57593	-122.4512	LNM 01/17, 13th Dist	1713	18449_1	1/12/2017
18449	Change	Puget Sound Traffic Separation Lane Lighted Buoy SG	Y "SG" Fl Y 2.5s RACON (-.) AIS	N 47 39' 41.091"	W 122 27' 52.253"	47.66142	-122.4645	LNM 43/16, 13th Dist	1713	18449_1	10/27/2016
18449	Relocate	Elliot Bay Fish Pen Light B	Fl Y 6s "B" Priv	N 47 37' 19.689"	W 122 22' 02.784"	47.62214	-122.3674	LNM 19/16, 13th Dist	1713	18449_1	5/19/2016
18449	Change	Elliot Bay Fish Pen Light B	Fl Y 6s "B" Priv	N 47 37' 19.689"	W 122 22' 02.784"	47.62214	-122.3674	LNM 19/16, 13th Dist	1713	18449_1	5/19/2016
18449	Change	Elliot Bay Fish Pen Light A	Fl Y 6s "A" Priv	N 47 37' 20.705"	W 122 22' 04.213"	47.62242	-122.3678	LNM 19/16, 13th Dist	1713	18449_1	5/19/2016
18449	Relocate	Elliot Bay Fish Pen Light A	Fl Y 6s "A" Priv	N 47 37' 20.705"	W 122 22' 04.213"	47.62242	-122.3678	LNM 19/16, 13th Dist	1713	18449_1	5/19/2016
18449	Add	Wyckoff Regulatory Buoy C	W Or "C" Priv	N 47 37' 03.327"	W 122 30' 15.344"	47.61759	-122.5043	LNM 06/16, 13th Dist	1713	18449_1	2/18/2016
18449	Add	Wyckoff Regulatory Buoy D	W Or "D" Priv	N 47 37' 03.600"	W 122 30' 25.686"	47.61767	-122.5071	LNM 06/16, 13th Dist	1713	18449_1	2/18/2016
18449	Add	NOTE G CAUTION UNEXPLODED ORDNANCE	Mariners and divers are cautioned against anchoring, dredging, trawling orotherwise disturbing the bottom sediments in this vicinity due to the possibleexistence of unexploded ordnance. For additional information contact Naval BaseKitsap Public Affairs Office at (360) 396-1631.	N 47 33' 50.000"	W 122 41' 48.000"	47.56389	-122.6967	LNM 05/16, 13th Dist	1713	18449_1	1/28/2016
18449	Add	unexploded ordnance area PT 1 OF 6	(chart no.1 symbol N.g) A3	N 47 35' 17.100"	W 122 41' 01.900"	47.58809	-122.6839	LNM 05/16, 13th Dist	1713	18449_1	1/28/2016
18449	Add	unexploded ordnance area PT 2 OF 6	(chart no.1 symbol N.g) A3	N 47 35' 22.900"	W 122 41' 02.100"	47.58969	-122.6839	LNM 05/16, 13th Dist	1713	18449_1	1/28/2016
18449	Add	unexploded ordnance area PT 3 OF 6	(chart no.1 symbol N.g) A3	N 47 35' 23.100"	W 122 40' 56.300"	47.58975	-122.6823	LNM 05/16, 13th Dist	1713	18449_1	1/28/2016
18449	Add	unexploded ordnance area PT 4 OF 6	(chart no.1 symbol N.g) A3	N 47 35' 19.100"	W 122 40' 56.100"	47.58864	-122.6823	LNM 05/16, 13th Dist	1713	18449_1	1/28/2016
