Chart: 18458, Current Edition: 17, Print Date: Oct. /2010, Hood Canal-South Point to Quatsap Point including Dabob Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18458	Delete	Mooring Buoy M4	"M4"	N 47 44' 57.022"	W 122 43' 30.892"	47.74917	-122.7253	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Add	Mooring Buoy	none	N 47 45' 09.900"	W 122 43' 39.300"	47.75275	-122.7276	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Add	Mooring Buoy	none	N 47 45' 03.000"	W 122 43' 40.800"	47.75083	-122.728	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Add	Tower Lighted	TOWER (LIGHTED)	N 47 45' 01.000"	W 122 43' 34.000"	47.75028	-122.7261	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Add	Tower Lighted	TOWER (LIGHTED)	N 47 45' 03.900"	W 122 43' 33.400"	47.75108	-122.7259	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Add	Tower Lighted	TOWER (LIGHTED)	N 47 45' 06.800"	W 122 43' 32.800"	47.75189	-122.7258	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Add	Tower Lighted	TOWER (LIGHTED)	N 47 45' 06.400"	W 122 43' 28.100"	47.75178	-122.7245	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Add	Tower Lighted	TOWER (LIGHTED)	N 47 45' 03.500"	W 122 43' 28.700"	47.75097	-122.7246	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Add	Tower Lighted	TOWER (LIGHTED)	N 47 45' 00.600"	W 122 43' 29.300"	47.75017	-122.7248	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Delete	Mooring Buoy M1	"M1"	N 47 45' 10.000"	W 122 43' 26.000"	47.75278	-122.7239	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Delete	Mooring Buoy M2	"M2"	N 47 45' 05.000"	W 122 43' 28.000"	47.75139	-122.7244	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Delete	Mooring Buoy M3	"M3"	N 47 45' 01.000"	W 122 43' 29.000"	47.75028	-122.7247	WNM 41/16, NGA	1719	18458_1	10/6/2016
18458	Add	Quilcene Bay Mussel Raft Light A	Fl Y 6s "A"  Priv	N 47 47' 14.000"	W 122 51' 07.700"	47.78722	-122.8521	LNM 26/15, 13th Dist	1719	18458_1	7/9/2015
18458	Add	Quilcene Bay Mussel Raft Light B	Fl Y 6s "B" Priv	N 47 47' 22.000"	W 122 51' 06.100"	47.78944	-122.8517	LNM 26/15, 13th Dist	1719	18458_1	7/9/2015
18458	Add	Quilcene Bay Mussel Raft Light D	Fl Y 6s "D" Priv	N 47 47' 14.300"	W 122 51' 11.100"	47.7873	-122.8531	LNM 26/15, 13th Dist	1719	18458_1	7/9/2015
18458	Add	Quilcene Bay Mussel Raft Light E	Fl Y 6s "E" Priv	N 47 47' 21.900"	W 122 51' 08.900"	47.78942	-122.8525	LNM 26/15, 13th Dist	1719	18458_1	7/9/2015
18458	Add	Quilcene Bay Mussel Raft Light F	Fl Y 6s "F" Priv	N 47 47' 29.400"	W 122 51' 07.900"	47.7915	-122.8522	LNM 26/15, 13th Dist	1719	18458_1	7/9/2015
18458	Add	Quilcene Bay Mussel Raft Light C	Fl Y 6s "C" Priv	N 47 47' 29.600"	W 122 51' 05.500"	47.79156	-122.8515	LNM 26/15, 13th Dist	1719	18458_1	7/9/2015
18458	Relocate	Quilcene Bay Fish Pen Lights	2 Fl Y 6s Priv	N 47 47' 10.570"	W 122 51' 11.240"	47.78627	-122.8531	LNM 23/15, 13th Dist	1719	18458_1	6/18/2015
18458	Change	Quilcene Bay Fish Pen Lights	2 Fl Y 6s Priv	N 47 47' 10.570"	W 122 51' 11.240"	47.78627	-122.8531	LNM 23/15, 13th Dist	1719	18458_1	6/18/2015
18458	Add	Olympic View Marina Floating Breakwater Light A	Fl Y 4s "A" Priv	N 47 38' 33.960"	W 122 49' 41.400"	47.64277	-122.8282	LNM 04/15, 13th Dist	1719	18458_1	2/5/2015
18458	Add	Olympic View Marina Floating Breakwater Light B	Fl Y 4s "B" Priv	N 47 38' 34.860"	W 122 49' 43.620"	47.64302	-122.8288	LNM 04/15, 13th Dist	1719	18458_1	2/5/2015
18458	Add	Olympic View Marina Floating Breakwater Light C	Fl Y 4s "C" Priv	N 47 38' 35.760"	W 122 49' 45.840"	47.64326	-122.8294	LNM 04/15, 13th Dist	1719	18458_1	2/5/2015
18458	Add	Olympic View Marina Floating Breakwater Light D	Fl Y 4s "D" Priv	N 47 38' 36.660"	W 122 49' 48.060"	47.64352	-122.83	LNM 04/15, 13th Dist	1719	18458_1	2/5/2015
18458	Relocate	Hood Canal Light 13	Fl G 2.5s 20ft 4M "13"	N 47 39' 45.639"	W 122 47' 14.372"	47.66268	-122.7873	LNM 03/15, 13th Dist	1719	18458_1	1/29/2015
18458	Change	Hood Canal Light 13	Fl G 2.5s 20ft 4M "13"	N 47 39' 45.639"	W 122 47' 14.372"	47.66268	-122.7873	LNM 03/15, 13th Dist	1719	18458_1	1/29/2015
18458	Relocate	Hood Canal Light 8	Fl R 4s 15ft 5M "8"	N 47 48' 48.593"	W 122 42' 51.435"	47.8135	-122.7143	LNM 03/15, 13th Dist	1719	18458_1	1/29/2015
18458	Relocate	Oak Head Light 12	Fl R 4s 15ft 4M "12"	N 47 40' 54.406"	W 122 48' 40.884"	47.68178	-122.8114	LNM 03/15, 13th Dist	1719	18458_1	1/29/2015
18458	Change	Oak Head Light 12	Fl R 4s 15ft 4M "12"	N 47 40' 54.406"	W 122 48' 40.884"	47.68178	-122.8114	LNM 03/15, 13th Dist	1719	18458_1	1/29/2015
18458	Relocate	Dosewallips Flats Light 17	Fl G 4s 15ft 4M "17"	N 47 41' 25.565"	W 122 52' 38.820"	47.69043	-122.8774	LNM 45/14, 13th Dist	1719	18458_1	11/20/2014
18458	Change	Dosewallips Flats Light 17	Fl G 4s 15ft 4M "17"	N 47 41' 25.565"	W 122 52' 38.820"	47.69043	-122.8774	LNM 45/14, 13th Dist	1719	18458_1	11/20/2014
18458	Change	Tabook Point Light 18 	Fl R 6s 15ft 5M "18"	N 47 44' 47.460"	W 122 48' 38.010"	47.74652	-122.8106	LNM 48/13, 13th Dist	1719	18458_1	12/5/2013
18458	Delete	Explosives Anchorage Area limit PT 1 OF 4	Chart No. 1 N12.7	N 47 47' 59.600"	W 122 44' 30.100"	47.79989	-122.7417	LNM 18/13, 13th Dist	1719	18458_1	4/26/2013
18458	Delete	Explosives Anchorage Area limit PT 2 OF 4	Chart No. 1 N12.7	N 47 47' 30.500"	W 122 44' 30.000"	47.79181	-122.7417	LNM 18/13, 13th Dist	1719	18458_1	4/26/2013
18458	Delete	Explosives Anchorage Area limit PT 3 OF 4	Chart No. 1 N12.7	N 47 47' 30.600"	W 122 43' 30.400"	47.79183	-122.7251	LNM 18/13, 13th Dist	1719	18458_1	4/26/2013
18458	Delete	Explosives Anchorage Area limit PT 4 OF 4	Chart No. 1 N12.7	N 47 47' 59.600"	W 122 43' 30.400"	47.79989	-122.7251	LNM 18/13, 13th Dist	1719	18458_1	4/26/2013
18458	Add	Explosives Anchorage Area limit PT 1 OF 4	use Chart No. 1 N12.7	N 47 47' 59.000"	W 122 44' 30.000"	47.79972	-122.7417	LNM 18/13, 13th Dist	1719	18458_1	4/26/2013
18458	Add	Explosives Anchorage Area limit PT 2 OF 4	use Chart No. 1 N12.7	N 47 47' 30.000"	W 122 44' 30.000"	47.79167	-122.7417	LNM 18/13, 13th Dist	1719	18458_1	4/26/2013
18458	Add	Explosives Anchorage Area limit PT 3 OF 4	use Chart No. 1 N12.7	N 47 47' 30.000"	W 122 43' 30.000"	47.79167	-122.725	LNM 18/13, 13th Dist	1719	18458_1	4/26/2013
18458	Add	Explosives Anchorage Area limit PT 4 OF 4	use Chart No. 1 N12.7	N 47 47' 59.000"	W 122 43' 30.000"	47.79972	-122.725	LNM 18/13, 13th Dist	1719	18458_1	4/26/2013
18458	Change	Hazel Point Light	Fl 4s 15ft 5M Ra Ref	N 47 41' 35.011"	W 122 46' 14.780"	47.69306	-122.7708	LNM 29/12, 13th Dist	1719	18458_1	7/24/2012
18458	Change	Tskutsko Point Light	Fl 4s 15ft 5M Ra Ref	N 47 41' 29.328"	W 122 49' 59.106"	47.69148	-122.8331	LNM 29/12, 13th Dist	1719	18458_1	7/24/2012
18458	Change	Dosewallips Flats Light 17 	Fl G 4s 15ft 4M "17" Ra Ref	N 47 41' 25.692"	W 122 52' 39.120"	47.69047	-122.8775	LNM 10/12, 13th Dist	1719	18458_1	3/19/2012
18458	Add	Chartlet - Added security barriers, labels, pier, and breakwater	Chartlet	N 47 44' 37.000"	W 122 44' 04.000"	47.74361	-122.7344	LNM 06/12, 13th Dist	1719	18458_1	2/6/2012
18458	Add	Note C	Floating security barriers have been installed at various U.S. Naval installations throughout Puget Sound.  The barriers are marked by numerous flashing yellow (FI Y 2s) Navy maintained lighted buoys and approximately mark the Restricted Areas surrounding the facility.	N 47 45' 35.700"	W 122 41' 07.300"	47.75992	-122.6854	LNM 06/12, 13th Dist	1719	18458_1	2/6/2012
18458	Delete	Note C	Floating security barriers have been installed at various U.S. Naval installations throughout Puget Sound.  The barriers are marked by numerous quick flashing yellow (Q Y) lights and approximately mark the Restricted Areas surrounding the facility (CFR 334.1240 add Bremerton restricted area/security area)	N 47 45' 35.700"	W 122 41' 07.300"	47.75992	-122.6854	LNM 06/12, 13th Dist	1719	18458_1	2/6/2012
18458	Add	Bangor Carderock Pier Lights (5)	 5 Fl Y 4s Priv	N 47 43' 40.123"	W 122 44' 40.891"	47.72781	-122.7447	LNM 43/11, 13th Dist	1719	18458_1	11/3/2011
