Chart: 18477, Current Edition: 5, Print Date: 8/25/2001, Puget Sound-Entrance to Hood Canal
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18477	Change	Mats Mats Bay Channel Light 8	Fl R 4s 15ft 4M "8"	N 47 57' 23.922"	W 122 41' 12.265"	47.95665	-122.6867	LNM 09/17, 13th Dist	1938	18477_1	3/2/2017
18477	Relocate	Port Gamble Light 3	Fl G 2.5s 15ft 4M "3"	N 47 51' 43.638"	W 122 34' 36.538"	47.86212	-122.5768	LNM 40/16, 13th Dist	1938	18477_1	12/8/2016
18477	Change	Port Gamble Light 3	Fl G 2.5s 15ft 4M "3"	N 47 51' 43.638"	W 122 34' 36.538"	47.86212	-122.5768	LNM 40/16, 13th Dist	1938	18477_1	12/8/2016
18477	Add	Meydenbauer Yacht Club Mooring Pier Light	F Y Priv PA	N 47 55' 05.480"	W 122 41' 30.410"	47.91819	-122.6918	LNM 15/16, 13th Dist	1938	18477_1	4/21/2016
18477	Change	Skunk Bay Light	F R Priv	N 47 55' 09.300"	W 122 34' 11.316"	47.91925	-122.5698	LNM 13/16, 13th Dist	1938	18477_1	4/14/2016
18477	Relocate	Skunk Bay Light	F R Priv	N 47 55' 09.300"	W 122 34' 11.316"	47.91925	-122.5698	LNM 13/16, 13th Dist	1938	18477_1	4/14/2016
18477	Change	Port Gamble Light 5	Fl G 4s 18ft 4M "5"	N 47 51' 32.562"	W 122 34' 36.482"	47.85904	-122.5768	LNM 11/16, 13th Dist	1938	18477_1	3/17/2016
18477	Relocate	Mats Mats Bay Channel Light 3	Fl G 4s 15ft 4M "3"	N 47 57' 44.960"	W 122 40' 51.440"	47.96249	-122.681	LNM 52/15, 13th Dist	1938	18477_1	1/7/2016
18477	Delete	Port Gamble Range Front Daybeacon	RB Bn	N 47 52' 46.127"	W 122 34' 37.701"	47.87948	-122.5771	LNM 49/15, 13th Dist	1938	18477_1	12/17/2015
18477	Delete	Port Gamble Range Rear Daybeacon	RB Bn	N 47 52' 55.532"	W 122 34' 37.461"	47.88209	-122.5771	LNM 49/15, 13th Dist	1938	18477_1	12/17/2015
18477	Change	Point Hannon Light 2	Fl R 2.5s 15ft 5M "2"	N 47 53' 14.844"	W 122 36' 41.166"	47.88745	-122.6114	LNM 40/15, 13th Dist	1938	18477_1	10/15/2015
18477	Relocate	Case Shoal Light 6	Fl R 2.5s 15ft 4M "6"	N 47 50' 43.722"	W 122 40' 16.707"	47.84548	-122.6713	LNM 03/15, 13th Dist	1938	18477_1	1/29/2015
18477	Relocate	Hood Canal Light 8	Fl R 4s 15ft 5M "8"	N 47 48' 48.593"	W 122 42' 51.435"	47.8135	-122.7143	LNM 03/15, 13th Dist	1938	18477_1	1/29/2015
18477	Relocate	Port Ludlow Light 4	Q R 15ft 3M "4"	N 47 55' 16.048"	W 122 40' 54.779"	47.92112	-122.6819	LNM 03/15, 13th Dist	1938	18477_1	1/29/2015
18477	Relocate	Bush Point Light	Fl 2.5s 25ft 7M	N 48 01' 51.090"	W 122 36' 25.362"	48.03086	-122.607	LNM 08/14, 13th Dist	1938	18477_1	3/6/2014
18477	Delete	Klas Rocks Isolated Danger Lighted Bell Buoy DK	BR "DK" Fl (2) 5s BELL	N 47 57' 44.904"	W 122 40' 12.500"	47.96247	-122.6701	LNM 33/13, 13th Dist	1938	18477_1	8/20/2013
18477	Add	Klas Rock Light	Fl (2) 5s 15ft 5M	N 47 57' 44.904"	W 122 40' 19.140"	47.96247	-122.672	LNM 33/13, 13th Dist	1938	18477_1	8/20/2013
18477	Relocate	Mats Mats Bay Range Front Light	Q R 8ft	N 47 57' 44.084"	W 122 41' 07.182"	47.96225	-122.6853	LNM 18/13, 13th Dist	1938	18477_1	5/20/2013
18477	Relocate	Mats Mats Bay Range Rear Light	Iso R 6s 20ft	N 47 57' 43.790"	W 122 41' 09.941"	47.96216	-122.6861	LNM 18/13, 13th Dist	1938	18477_1	5/20/2013
18477	Change	Mats Mats Bay Range Front Light	Q R 8ft	N 47 57' 44.084"	W 122 41' 07.182"	47.96225	-122.6853	LNM 18/13, 13th Dist	1938	18477_1	5/20/2013
18477	Change	Mats Mats Bay Range Rear Light	Iso R 6s 20ft	N 47 57' 43.790"	W 122 41' 09.941"	47.96216	-122.6861	LNM 18/13, 13th Dist	1938	18477_1	5/20/2013
18477	Add	Explosives Anchorage Area limit PT 1 OF 4	use Chart No. 1 N12.7	N 47 47' 59.000"	W 122 44' 30.000"	47.79972	-122.7417	LNM 18/13, 13th Dist	1938	18477_1	4/26/2013
18477	Add	Explosives Anchorage Area limit PT 2 OF 4	use Chart No. 1 N12.7	N 47 47' 30.000"	W 122 44' 30.000"	47.79167	-122.7417	LNM 18/13, 13th Dist	1938	18477_1	4/26/2013
18477	Add	Explosives Anchorage Area limit PT 3 OF 4	use Chart No. 1 N12.7	N 47 47' 30.000"	W 122 43' 30.000"	47.79167	-122.725	LNM 18/13, 13th Dist	1938	18477_1	4/26/2013
18477	Add	Explosives Anchorage Area limit PT 4 OF 4	use Chart No. 1 N12.7	N 47 47' 59.000"	W 122 43' 30.000"	47.79972	-122.725	LNM 18/13, 13th Dist	1938	18477_1	4/26/2013
18477	Delete	Explosives Anchorage Area limit PT 1 OF 4	Chart No. 1 N12.7	N 47 48' 00.700"	W 122 44' 28.800"	47.80019	-122.7413	LNM 18/13, 13th Dist	1938	18477_1	4/26/2013
18477	Delete	Explosives Anchorage Area limit PT 2 OF 4	Chart No. 1 N12.7	N 47 47' 31.200"	W 122 44' 28.800"	47.792	-122.7413	LNM 18/13, 13th Dist	1938	18477_1	4/26/2013
