Chart: 18485, Current Edition: 17, Print Date: Jan. /2013, Cape Flattery
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18485	Relocate	Neah Bay Marina Breakwater Obstruction Light A	Fl Y 6s 22ft 3M "A"	N 48 22' 05.526"	W 124 36' 27.396"	48.3682	-124.6076	LNM 45/16, 13th Dist	1729	18485_1	11/17/2016
18485	Relocate	Neah Bay Marina Breakwater Obstruction Light B	Fl Y 4s 18ft 4M "B"	N 48 22' 09.048"	W 124 36' 31.585"	48.36918	-124.6088	LNM 45/16, 13th Dist	1729	18485_1	11/17/2016
18485	Change	Neah Bay Marina Breakwater Obstruction Light B	Fl Y 4s 18ft 4M "B"	N 48 22' 09.048"	W 124 36' 31.585"	48.36918	-124.6088	LNM 45/16, 13th Dist	1729	18485_1	11/17/2016
18485	Change	Neah Bay Marina Breakwater Obstruction Light A	Fl Y 6s 22ft 3M "A"	N 48 22' 05.526"	W 124 36' 27.396"	48.3682	-124.6076	LNM 45/16, 13th Dist	1729	18485_1	11/17/2016
18485	Relocate	Duntze Rock Lighted Whistle Buoy 2	R "2" Fl R 4s WHIS	N 48 24' 50.637"	W 124 45' 01.249"	48.41407	-124.7503	LNM 08/16, 13th Dist	1729	18485_1	3/3/2016
18485	Change	Neah Bay Light 4 	Fl R 2.5s 16ft 3M "4"	N 48 22' 29.640"	W 124 36' 01.260"	48.3749	-124.6003	LNM 47/13, 13th Dist	1729	18485_1	12/2/2013
18485	Relocate	Neah Bay Light 4 	Fl R 2.5s 16ft 3M "4"	N 48 22' 29.640"	W 124 36' 01.260"	48.3749	-124.6003	LNM 47/13, 13th Dist	1729	18485_1	12/2/2013
18485	Change	Cape Flattery Light	Fl (2) 20s 112ft 14M	N 48 23' 31.169"	W 124 44' 12.950"	48.39199	-124.7369	LNM 22/13, 13th Dist	1729	18485_1	6/21/2013
18485	Delete	Tower	TR	N 48 23' 32.200"	W 124 44' 11.700"	48.39228	-124.7366	LNM 23/13, 13th Dist	1729	18485_1	6/11/2013
18485	Relocate	Cape Flattery Light	Fl (2) 20s 112ft 14M	N 48 23' 31.169"	W 124 44' 12.950"	48.39199	-124.7369	LNM 22/13, 13th Dist	1729	18485_1	6/7/2013
18485	Relocate	Neah Bay Coast Guard Breakwater Obstruction Light A	Fl Y 6s 26ft 3M "A"	N 48 22' 15.857"	W 124 36' 04.378"	48.37107	-124.6012	LNM 19/13, 13th Dist	1729	18485_1	5/23/2013
18485	Relocate	Neah Bay Coast Guard Breakwater Obstruction Light B	Fl Y 4s 26ft 3M "B"	N 48 22' 16.780"	W 124 36' 07.393"	48.37133	-124.6021	LNM 19/13, 13th Dist	1729	18485_1	5/23/2013
