Chart: 18504, Current Edition: 66, Print Date: Jul. /2006, Willapa Bay;Toke Pt.
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18504	Change	Willapa River Light 59	Fl G 2.5s 15ft 4M "59"	N 46 40' 45.516"	W 123 45' 57.618"	46.67931	-123.766	LNM 11/17, 13th Dist	1925	18504_3	3/16/2017
18504	Relocate	Stanley Channel Light 4	Fl R 4s 15ft 5M "4"	N 46 29' 01.800"	W 123 57' 55.221"	46.48383	-123.9653	LNM 09/17, 13th Dist	1734	18504_1	3/2/2017
18504	Change	Stanley Channel Light 4	Fl R 4s 15ft 5M "4"	N 46 29' 01.800"	W 123 57' 55.221"	46.48383	-123.9653	LNM 09/17, 13th Dist	1734	18504_1	3/2/2017
18504	Relocate	Nahcotta Mooring Basin Light 2	Fl R 4s 15ft 5M "2"	N 46 30' 05.499"	W 124 01' 25.737"	46.50153	-124.0238	LNM 09/17, 13th Dist	1734	18504_1	3/2/2017
18504	Change	Nahcotta Mooring Basin Light 2	Fl R 4s 15ft 5M "2"	N 46 30' 05.499"	W 124 01' 25.737"	46.50153	-124.0238	LNM 09/17, 13th Dist	1734	18504_1	3/2/2017
18504	Relocate	Bay Center Channel Light 1	Fl G 2.5s 24ft 4M "1"	N 46 38' 39.782"	W 123 59' 24.736"	46.64438	-123.9902	LNM 49/16, 13th Dist	1734	18504_1	12/8/2016
18504	Relocate	Bay Center Channel Light 11	Fl G 4s 18ft 5M "11" Ra Ref	N 46 38' 51.060"	W 123 57' 05.526"	46.64752	-123.9515	LNM 39/16, 13th Dist	1734	18504_1	10/6/2016
18504	Relocate	Stanley Point Junction Daybeacon	RG Bn	N 46 27' 40.453"	W 123 56' 14.459"	46.46124	-123.9373	LNM 39/16, 13th Dist	1734	18504_1	10/6/2016
18504	Change	Bay Center Channel Light 11	Fl G 4s 18ft 5M "11" Ra Ref	N 46 38' 51.060"	W 123 57' 05.526"	46.64752	-123.9515	LNM 39/16, 13th Dist	1734	18504_1	10/6/2016
18504	Change	Stanley Point Junction Daybeacon	RG Bn	N 46 27' 40.453"	W 123 56' 14.459"	46.46124	-123.9373	LNM 39/16, 13th Dist	1734	18504_1	10/6/2016
18504	Change	Willapa Bay Entrance Light 11	Fl G 6s 15ft 4M "11"	N 46 43' 06.660"	W 124 02' 14.500"	46.71852	-124.0374	LNM 31/16, 13th Dist	1734	18504_1	8/4/2016
18504	Relocate	Stanley Channel Light 4	Fl R 4s 15ft 4M "4"	N 46 29' 01.663"	W 123 57' 55.218"	46.4838	-123.9653	LNM 46/15, 13th Dist	1734	18504_1	11/19/2015
18504	Change	Willapa River Light 33	Fl G 4s 22ft 5M "33"	N 46 42' 05.354"	W 123 49' 58.589"	46.70149	-123.8329	LNM 35/15, 13th Dist	1734	18504_1	9/10/2015
18504	Add	Willapa Bay Entrance Buoy D	Y C "D"	N 46 43' 36.085"	W 124 03' 59.671"	46.72669	-124.0666	LNM 18/15, 13th Dist	1734	18504_1	5/14/2015
18504	Add	Willapa Bay Entrance Lighted Buoy C	Y "C" Fl Y 2.5s	N 46 44' 02.584"	W 124 05' 59.873"	46.73405	-124.1	LNM 18/15, 13th Dist	1734	18504_1	5/14/2015
18504	Change	Bay Center Channel Light 11	Fl G 4s 18ft 5M "11"	N 46 38' 50.820"	W 123 57' 05.749"	46.64745	-123.9516	LNM 12/15, 13th Dist	1734	18504_1	3/26/2015
18504	Relocate	Bay Center Channel Light 11	Fl G 4s 18ft 5M "11"	N 46 38' 50.820"	W 123 57' 05.749"	46.64745	-123.9516	LNM 12/15, 13th Dist	1734	18504_1	3/26/2015
18504	Add	Sounding in Feet	4	N 46 37' 50.250"	W 123 56' 51.040"	46.63063	-123.9475	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Delete	label	(see tabublation)	N 46 37' 58.420"	W 123 56' 39.410"	46.63289	-123.9443	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Add	Sounding in Feet	4	N 46 37' 47.610"	W 123 56' 59.240"	46.62989	-123.9498	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Delete	tabulation -	BAY CENTER CHANNEL	N 46 33' 42.000"	W 123 53' 00.000"	46.56167	-123.8833	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Add	Sounding in Feet	9	N 46 37' 58.710"	W 123 56' 44.520"	46.63298	-123.9457	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Add	Sounding in Feet	6	N 46 38' 03.290"	W 123 56' 40.000"	46.63425	-123.9444	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Delete	Channel Limits PT 1 OF 6	Chart No. 1: I20	N 46 38' 04.510"	W 123 56' 41.010"	46.63459	-123.9447	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Delete	Channel Limits PT 2 OF 6	Chart No. 1: I20	N 46 37' 51.730"	W 123 56' 47.280"	46.63103	-123.9465	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Delete	Channel Limits PT 3 OF 6	Chart No. 1: I20	N 46 37' 44.530"	W 123 57' 10.530"	46.62904	-123.9529	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Delete	Channel Limits PT 4 OF 6	Chart No. 1: I20	N 46 38' 04.300"	W 123 56' 39.830"	46.63453	-123.9444	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Delete	Channel Limits PT 5 OF 6	Chart No. 1: I20	N 46 37' 50.980"	W 123 56' 46.210"	46.63083	-123.9462	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Delete	Channel Limits PT 6 OF 6	Chart No. 1: I20	N 46 37' 43.890"	W 123 57' 08.860"	46.62886	-123.9525	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
18504	Add	Sounding in Feet	9	N 46 37' 53.930"	W 123 56' 46.370"	46.63165	-123.9462	LNM 27/14, 13th Dist	1734	18504_1	7/10/2014
