Chart: 18521, Current Edition: 75, Print Date: Nov. /2013, Columbia River Pacific Ocean to Harrington Point;Ilwaco Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18521	Change	Tansy Point Range Front Light	Q R 35ft	N 46 11' 19.650"	W 123 55' 10.043"	46.18879	-123.9195	LNM 25/17, 13th Dist	1737	18521_1	6/22/2017
18521	Change	Tabulation - Columbia River Channel-Entrance to Miller Sands	Tabulation - Columbia River Channel-Entrance to Miller Sands	N 46 07' 54.000"	W 123 45' 55.000"	46.13167	-123.7653	LNM 26/17, 13th Dist	1737	18521_1	6/22/2017
18521	Change	Tabulation - Columbia River Channel-Entrance to Miller Sands	Tabulation - Columbia River Channel-Entrance to Miller Sands	N 46 07' 54.000"	W 123 45' 55.000"	46.13167	-123.7653	LNM 21/17, 13th Dist	1737	18521_1	5/18/2017
18521	Change	Baker Bay West Channel Daybeacon B	BW "B" Ra Ref	N 46 16' 59.994"	W 124 02' 52.689"	46.28333	-124.048	LNM 19/17, 13th Dist	1738	18521_2	5/11/2017
18521	Add	Baker Bay West Channel Buoy 14	R N "14"	N 46 16' 59.102"	W 124 02' 53.931"	46.28308	-124.0483	LNM 19/17, 13th Dist	1738	18521_2	5/11/2017
18521	Change	Baker Bay West Channel Daybeacon A	RW "A"	N 46 16' 46.704"	W 124 02' 13.251"	46.27964	-124.037	LNM 18/17, 13th Dist	1738	18521_2	5/4/2017
18521	Add	Baker Bay West Channel Lighted Buoy 10	R "10" Fl R 6s	N 46 16' 46.648"	W 124 02' 16.737"	46.27962	-124.038	LNM 18/17, 13th Dist	1738	18521_2	5/4/2017
18521	Relocate	Baker Bay West Channel Lighted Buoy 11	G "11" Fl G 4s	N 46 16' 50.644"	W 124 02' 28.905"	46.28074	-124.0414	LNM 18/17, 13th Dist	1738	18521_2	5/4/2017
18521	Relocate	Baker Bay West Channel Daybeacon 14	R "14" Ra Ref	N 46 16' 59.994"	W 124 02' 52.689"	46.28333	-124.048	LNM 18/17, 13th Dist	1738	18521_2	5/4/2017
18521	Change	Depth Note - CHINOOK CHANNEL to:	The controlling depth was 3 feet for the mid-width of 75 feet. Jan 2017	N 46 16' 43.340"	W 123 56' 19.860"	46.27871	-123.9389	LNM 17/17, 13th Dist	1737	18521_1	4/20/2017
