Chart: 18524, Current Edition: 37, Print Date: Jun. /2011, Columbia River Crims Island to Saint Helens
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18524	Change	Tabulation - Gull Island Turn & Channel to Saint Helens Turn	Tabulation - Gull Island Turn & Channel to Saint Helens Turn	N 46 03' 45.000"	W 122 57' 49.000"	46.0625	-122.9636	Not Yet Published	1740	18524_1	Not Yet
18524	Change	Tabulation - Gull Island Turn & Channel to Saint Helens Turn	Tabulation - Gull Island Turn & Channel to Saint Helens Turn	N 46 03' 45.000"	W 122 57' 49.000"	46.0625	-122.9636	LNM 26/17, 13th Dist	1740	18524_1	6/22/2017
18524	Change	Tabulation - Gull Island Turn & Channel to Saint Helens Turn	Tabulation - Gull Island Turn & Channel to Saint Helens Turn	N 46 03' 45.000"	W 122 57' 49.000"	46.0625	-122.9636	LNM 21/17, 13th Dist	1740	18524_1	5/18/2017
18524	Change	Tabulation - Gull Island Turn & Channel to Saint Helens Turn	Tabulation - Gull Island Turn & Channel to Saint Helens Turn	N 46 03' 45.000"	W 122 57' 49.000"	46.0625	-122.9636	LNM 17/17, 13th Dist	1740	18524_1	4/20/2017
18524	Change	Tabulation - Gull Island Turn & Channel to Saint Helens Turn	Tabulation - Gull Island Turn & Channel to Saint Helens Turn	N 46 03' 45.000"	W 122 57' 49.000"	46.0625	-122.9636	LNM 05/17, 13th Dist	1740	18524_1	1/26/2017
18524	Change	Crims Island Dike Light 6	Fl R 4s 12ft 4M "6"	N 46 10' 18.265"	W 123 06' 32.800"	46.17174	-123.1091	LNM 51/16, 13th Dist	1740	18524_1	12/22/2016
18524	Delete	Sounding in Feet	26	N 46 03' 45.240"	W 122 53' 24.291"	46.06256	-122.8901	LNM 46/16, 13th Dist	1740	18524_1	11/17/2016
18524	Delete	Obstruction in Feet	20 Obstn       Chart No. 1: K41	N 46 03' 45.237"	W 122 53' 21.744"	46.06256	-122.8894	LNM 46/16, 13th Dist	1740	18524_1	11/17/2016
18524	Add	Sounding in Feet	18	N 46 03' 45.237"	W 122 53' 21.744"	46.06256	-122.8894	LNM 46/16, 13th Dist	1740	18524_1	11/17/2016
18524	Change	Tabulation - Gull Island Turn and Channel to St Helens Turn	Tabulation - Gull Island Turn and Channel to St Helens Turn	N 46 03' 45.000"	W 122 57' 49.000"	46.0625	-122.9636	LNM 45/16, 13th Dist	1740	18524_1	11/3/2016
18524	Relocate	St. Helens Junction Lighted Buoy	RG Fl (2+1) R 6s	N 45 52' 52.363"	W 122 47' 51.507"	45.88121	-122.7976	LNM 43/16, 13th Dist	1741	18524_2	10/27/2016
18524	Delete	Obstruction	Obstn PA	N 46 03' 45.299"	W 122 53' 21.095"	46.06258	-122.8892	LNM 38/16, 13th Dist	1740	18524_1	9/22/2016
18524	Add	Obstruction with depth in feet	20 Obstn	N 46 03' 45.237"	W 122 53' 21.744"	46.06256	-122.8894	LNM 38/16, 13th Dist	1740	18524_1	9/22/2016
18524	Add	Obstruction	Obstn PA         Chart No. 1: K40	N 46 03' 45.000"	W 122 53' 21.000"	46.0625	-122.8892	LNM 33/16, 13th Dist	1740	18524_1	8/11/2016
18524	Add	Tidewater Mooring Barge Lights	2 Fl Y 6s Priv	N 45 59' 23.640"	W 122 50' 28.860"	45.9899	-122.8413	LNM 30/16, 13th Dist	1741	18524_2	7/28/2016
18524	Change	Tabulation - Columbia River Channel-Gull Island Turn & Channel to Saint Helens Turn	Tabulation - Columbia River Channel-Gull Island Turn & Channel to Saint Helens Turn	N 46 03' 45.000"	W 122 57' 49.000"	46.0625	-122.9636	LNM 25/16, 13th Dist	1740	18524_1	6/23/2016
18524	Change	Tabulation - Columbia River Channel-Gull Island Turn & Channel to Saint Helens Turn	Tabulation - Columbia River Channel-Gull Island Turn & Channel to Saint Helens Turn	N 46 03' 45.000"	W 122 57' 49.000"	46.0625	-122.9636	LNM 18/16, 13th Dist	1740	18524_1	5/5/2016
18524	Add	Saint Helens Regulatory Buoy A	W Or "A" Priv	N 45 52' 17.430"	W 122 47' 53.410"	45.87151	-122.7982	LNM 10/16, 13th Dist	1741	18524_2	3/10/2016
18524	Add	Saint Helens Regulatory Lighted Buoy B	W Or "B" Fl 2s Priv	N 45 52' 18.260"	W 122 47' 50.680"	45.87174	-122.7974	LNM 10/16, 13th Dist	1741	18524_2	3/10/2016
18524	Add	Saint Helens Regulatory Lighted Buoy C	W Or "C" Fl 2s Priv	N 45 52' 18.730"	W 122 47' 44.900"	45.87187	-122.7958	LNM 10/16, 13th Dist	1741	18524_2	3/10/2016
18524	Add	Saint Helens Regulatory Lighted Buoy D	W Or "D" Fl 2s Priv	N 45 51' 45.860"	W 122 47' 35.980"	45.86274	-122.7933	LNM 10/16, 13th Dist	1741	18524_2	3/10/2016
18524	Add	Saint Helens Regulatory Lighted Buoy E	W Or "E" Fl 2s Priv	N 45 51' 46.580"	W 122 47' 30.980"	45.86294	-122.7919	LNM 10/16, 13th Dist	1741	18524_2	3/10/2016
18524	Change	Cottonwood Island Light 41	Q G 20ft 4M "41"	N 46 03' 20.387"	W 122 52' 46.142"	46.05566	-122.8795	LNM 08/16, 13th Dist	1740	18524_1	3/3/2016
