Chart: 18528, Current Edition: 11, Print Date: Jul. /2008, Willamette River Portland to Walnut Eddy
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18528	Relocate	Bingham Landing Light 16	Fl R 6s 17ft 5M "16"	N 45 23' 49.620"	W 122 38' 16.806"	45.39712	-122.638	LNM 39/15, 13th Dist	1746	18528_1	10/8/2015
18528	Relocate	Bingham Landing Light 16	Fl R 6s 17ft 5M "16"	N 45 23' 49.620"	W 122 38' 16.806"	45.39712	-122.638	LNM 39/15, 13th Dist	1747	18528_2	10/8/2015
18528	Relocate	Clackamas Rapids Light 20	Fl R 4s 18ft 3M "20"	N 45 22' 35.868"	W 122 37' 16.116"	45.37663	-122.6211	LNM 39/15, 13th Dist	1747	18528_2	10/8/2015
18528	Relocate	Elk Rock Island Light 13	Fl G 4s 35ft 4M "13"	N 45 26' 12.588"	W 122 38' 57.708"	45.43683	-122.6494	LNM 39/15, 13th Dist	1746	18528_1	10/8/2015
18528	Relocate	Jennings Lodge Light 19	Fl G 4s 30ft 4M "19"	N 45 23' 13.572"	W 122 37' 18.690"	45.3871	-122.6219	LNM 39/15, 13th Dist	1746	18528_1	10/8/2015
18528	Relocate	Jennings Lodge Light 19	Fl G 4s 30ft 4M "19"	N 45 23' 13.572"	W 122 37' 18.690"	45.3871	-122.6219	LNM 39/15, 13th Dist	1747	18528_2	10/8/2015
18528	Relocate	Oswego Rock Daybeacon	W Bn Ra Ref	N 45 24' 41.886"	W 122 39' 31.080"	45.41164	-122.6586	LNM 39/15, 13th Dist	1746	18528_1	10/8/2015
18528	Relocate	Starkweather Landing Light 17	Fl G 6s 21ft 5M "17"	N 45 23' 32.832"	W 122 37' 33.108"	45.39245	-122.6259	LNM 39/15, 13th Dist	1746	18528_1	10/8/2015
18528	Relocate	Starkweather Landing Light 17	Fl G 6s 21ft 5M "17"	N 45 23' 32.832"	W 122 37' 33.108"	45.39245	-122.6259	LNM 39/15, 13th Dist	1747	18528_2	10/8/2015
18528	Change	Oswego Rock Daybeacon	W Bn Ra Ref	N 45 24' 41.886"	W 122 39' 31.080"	45.41164	-122.6586	LNM 39/15, 13th Dist	1746	18528_1	10/8/2015
18528	Change	Starkweather Landing Light 17	Fl G 6s 21ft 5M "17"	N 45 23' 32.832"	W 122 37' 33.108"	45.39245	-122.6259	LNM 39/15, 13th Dist	1746	18528_1	10/8/2015
18528	Change	Starkweather Landing Light 17	Fl G 6s 21ft 5M "17"	N 45 23' 32.832"	W 122 37' 33.108"	45.39245	-122.6259	LNM 39/15, 13th Dist	1747	18528_2	10/8/2015
18528	Delete	Visible Wreck	Chart No. 1: K24	N 45 17' 44.600"	W 122 39' 31.800"	45.29572	-122.6588	LNM 36/15, 13th Dist	1747	18528_2	9/3/2015
18528	Add	Dangerous Wreck	Chart No. 1: K28	N 45 17' 44.600"	W 122 39' 31.800"	45.29572	-122.6588	LNM 36/15, 13th Dist	1747	18528_2	9/3/2015
18528	Delete	Oswego Dock Deflection Boom Light	Fl Y 4s Priv	N 45 25' 07.380"	W 122 39' 19.920"	45.41872	-122.6555	LNM 27/15, 13th Dist	1746	18528_1	7/16/2015
18528	Add	Oswego Dock Deflection Boom Light	Fl Y 4s Priv	N 45 25' 07.380"	W 122 39' 19.920"	45.41872	-122.6555	LNM 43/13, 13th Dist	1746	18528_1	10/31/2013
18528	Relocate	Meldrum Bar Daybeacon 1	G "1" Priv	N 45 22' 46.405"	W 122 37' 07.809"	45.37956	-122.6188	LNM 42/13, 13th Dist	1747	18528_2	10/21/2013
18528	Relocate	Meldrum Bar Daybeacon 2	R "2" Priv	N 45 22' 44.742"	W 122 37' 05.880"	45.37909	-122.6183	LNM 42/13, 13th Dist	1747	18528_2	10/21/2013
18528	Relocate	Meldrum Bar Daybeacon 3	G "3" Priv	N 45 22' 42.542"	W 122 37' 03.220"	45.37848	-122.6176	LNM 42/13, 13th Dist	1747	18528_2	10/21/2013
18528	Relocate	Meldrum Bar Daybeacon 4	R "4" Priv	N 45 22' 39.734"	W 122 37' 01.614"	45.3777	-122.6171	LNM 42/13, 13th Dist	1747	18528_2	10/21/2013
18528	Relocate	Rocky Reef Range Front Daybeacon	RB Bn	N 45 17' 39.098"	W 122 41' 02.692"	45.29419	-122.6841	LNM 29/13, 13th Dist	1747	18528_2	9/30/2013
18528	Relocate	Rocky Reef Range Rear Daybeacon	RB Bn	N 45 17' 40.444"	W 122 41' 05.194"	45.29457	-122.6848	LNM 29/13, 13th Dist	1747	18528_2	9/30/2013
18528	Relocate	New Era Bar Range Rear Daybeacon	RW Bn	N 45 17' 17.953"	W 122 39' 34.116"	45.28832	-122.6595	LNM 17/13, 13th Dist	1747	18528_2	5/14/2013
18528	Relocate	New Era Bar Range Front Daybeacon	RW Bn	N 45 17' 18.693"	W 122 39' 34.142"	45.28852	-122.6595	LNM 17/13, 13th Dist	1747	18528_2	5/14/2013
18528	Relocate	Thesing Range Front Daybeacon	RB Bn	N 45 25' 31.005"	W 122 39' 19.014"	45.42528	-122.6553	LNM 17/13, 13th Dist	1746	18528_1	5/14/2013
18528	Relocate	Thesing Range Rear Daybeacon	RB Bn	N 45 25' 25.189"	W 122 39' 26.909"	45.42366	-122.6575	LNM 17/13, 13th Dist	1746	18528_1	5/14/2013
18528	Change	Bingham Landing Light 16	Fl R 6s 17ft 5M "16"	N 45 23' 49.500"	W 122 38' 17.400"	45.39708	-122.6382	LNM 15/13, 13th Dist	1746	18528_1	5/10/2013
18528	Change	Bingham Landing Light 16	Fl R 6s 17ft 5M "16"	N 45 23' 49.500"	W 122 38' 17.400"	45.39708	-122.6382	LNM 15/13, 13th Dist	1747	18528_2	5/10/2013
18528	Relocate	Bingham Landing Light 16	Fl R 6s 17ft 5M "16"	N 45 23' 49.500"	W 122 38' 17.400"	45.39708	-122.6382	LNM 15/13, 13th Dist	1746	18528_1	5/10/2013
18528	Relocate	Bingham Landing Light 16	Fl R 6s 17ft 5M "16"	N 45 23' 49.500"	W 122 38' 17.400"	45.39708	-122.6382	LNM 15/13, 13th Dist	1747	18528_2	5/10/2013
18528	Change	Bingham Landing Light 16 	Fl R 6s 10ft 4M "16"	N 45 23' 49.500"	W 122 38' 17.400"	45.39708	-122.6382	LNM 14/13, 13th Dist	1746	18528_1	5/6/2013
18528	Change	Bingham Landing Light 16 	Fl R 6s 10ft 4M "16"	N 45 23' 49.500"	W 122 38' 17.400"	45.39708	-122.6382	LNM 14/13, 13th Dist	1747	18528_2	5/6/2013
18528	Change	Willamette River Light 14 	Fl R 4s 18ft 3M."14"	N 45 24' 07.680"	W 122 38' 38.580"	45.40213	-122.6441	LNM 50/12, 13th Dist	1746	18528_1	12/20/2012
