Chart: 18531, Current Edition: 23, Print Date: Jun. /2012, Columbia River Vancouver to Bonneville; Bonneville Dam
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18531	Change	Tabulation - Tomahawk Bar to Bonneville Locks	Tabulation - Tomahawk Bar to Bonneville Locks	N 45 38' 08.000"	W 122 14' 55.000"	45.63556	-122.2486	LNM 17/17, 13th Dist	1752	18531_3	4/20/2017
18531	Add	Dangerous Wreck	PA	N 45 35' 16.800"	W 122 06' 36.600"	45.588	-122.1102	LNM 15/17, 13th Dist	1752	18531_3	4/13/2017
18531	Relocate	Reed Island Range Front Light	Q R 39ft	N 45 33' 06.484"	W 122 20' 23.326"	45.5518	-122.3398	LNM 13/17, 13th Dist	1750	18531_1	4/6/2017
18531	Change	Reed Island Range Front Light	Q R 39ft	N 45 33' 06.484"	W 122 20' 23.326"	45.5518	-122.3398	LNM 13/17, 13th Dist	1750	18531_1	4/6/2017
18531	Relocate	Washougal Upper Range Front Light	Q R 39ft	N 45 33' 06.484"	W 122 20' 23.326"	45.5518	-122.3398	LNM 13/17, 13th Dist	1750	18531_1	4/6/2017
18531	Change	Washougal Upper Range Front Light	Q R 39ft	N 45 33' 06.484"	W 122 20' 23.326"	45.5518	-122.3398	LNM 13/17, 13th Dist	1750	18531_1	4/6/2017
18531	Add	Visible Wreck	PA	N 45 33' 38.000"	W 122 26' 45.000"	45.56055	-122.4458	LNM 09/17, 13th Dist	1750	18531_1	3/2/2017
18531	Relocate	McGuire Island Middle Dike Light 34	Fl R 4s 40ft 3M "34"	N 45 33' 58.350"	W 122 27' 11.862"	45.56621	-122.4533	LNM 08/17, 13th Dist	1750	18531_1	2/23/2017
18531	Change	Tabulation - Tomahawk Bar to Bonneville Locks	Tabulation - Tomahawk Bar to Bonneville Locks	N 45 38' 08.000"	W 122 14' 55.000"	45.63556	-122.2486	LNM 05/17, 13th Dist	1752	18531_3	1/26/2017
18531	Relocate	Hassalo Rock Light 2	Fl R 4s 23ft 4M "2"	N 45 34' 48.600"	W 122 27' 58.200"	45.58017	-122.4662	LNM 47/16, 13th Dist	1750	18531_1	12/1/2016
18531	Change	Hassalo Rock Light 2	Fl R 4s 23ft 4M "2"	N 45 34' 48.600"	W 122 27' 58.200"	45.58017	-122.4662	LNM 47/16, 13th Dist	1750	18531_1	12/1/2016
18531	Change	Tabulation - Tomahawk Bar to Bonneville Locks	Tabulation - Tomahawk Bar to Bonneville Locks	N 45 38' 08.000"	W 122 14' 45.000"	45.63556	-122.2458	LNM 45/16, 13th Dist	1752	18531_3	11/3/2016
18531	Delete	Bonneville Pool Light 4	Fl R 4s 20ft 3M "4"	N 45 38' 30.085"	W 121 55' 56.508"	45.64169	-121.9324	LNM 34/16, 13th Dist	1751	18531_2	9/1/2016
18531	Delete	Bonneville Pool Light 4	Fl R 4s 20ft 3M "4"	N 45 38' 30.085"	W 121 55' 56.508"	45.64169	-121.9324	LNM 34/16, 13th Dist	1752	18531_3	9/1/2016
18531	Add	Bonneville Pool Lighted Buoy 4	R "4" Fl R 4s	N 45 38' 29.011"	W 121 55' 58.008"	45.64139	-121.9328	LNM 34/16, 13th Dist	1751	18531_2	9/1/2016
18531	Add	Bonneville Pool Lighted Buoy 4	R "4" Fl R 4s	N 45 38' 29.011"	W 121 55' 58.008"	45.64139	-121.9328	LNM 34/16, 13th Dist	1752	18531_3	9/1/2016
18531	Change	Tabulation - Columbia River Channel-Tomahawk Bar To Bonneville Locks	Tabulation - Columbia River Channel-Tomahawk Bar To Bonneville Locks	N 45 38' 08.000"	W 122 14' 55.000"	45.63556	-122.2486	LNM 25/16, 13th Dist	1752	18531_3	6/23/2016
18531	Change	Tabulation - Columbia River Channel-Tomahawk Bar To Bonneville Locks	Tabulation - Columbia River Channel-Tomahawk Bar To Bonneville Locks	N 45 38' 08.000"	W 122 14' 55.000"	45.63556	-122.2486	LNM 18/16, 13th Dist	1752	18531_3	5/5/2016
18531	Change	Multnomah Falls Dike Light 82	Fl R 4s 18ft 4M "82"	N 45 34' 54.678"	W 122 06' 24.768"	45.58186	-122.1069	LNM 12/16, 13th Dist	1752	18531_3	3/31/2016
18531	Change	Tabulation - Columbia River Channel-Tomahawk Bar To Bonneville Locks	Tabulation - Columbia River Channel-Tomahawk Bar To Bonneville Locks	N 45 38' 08.000"	W 122 14' 55.000"	45.63556	-122.2486	LNM 03/16, 13th Dist	1752	18531_3	1/21/2016
18531	Change	Tabulation - Columbia River Channel Depths	Tabulation - Columbia River Channel Depths	N 45 38' 08.000"	W 122 14' 55.000"	45.63556	-122.2486	LNM 47/15, 13th Dist	1752	18531_3	11/19/2015
18531	Change	Depth Legend - Alternate Barge Channel to:	17 FT APR 2015	N 45 36' 50.000"	W 122 39' 42.000"	45.61389	-122.6617	LNM 47/15, 13th Dist	1750	18531_1	11/19/2015
18531	Change	Depth Legend - Barge Channel to:	17 FT APR 2015	N 45 36' 54.000"	W 122 39' 38.000"	45.615	-122.6606	LNM 47/15, 13th Dist	1750	18531_1	11/19/2015
18531	Relocate	Chinook Landing Marine Park Light 1	Fl G 4s "1" Priv	N 45 33' 39.660"	W 122 26' 40.320"	45.56102	-122.4445	LNM 40/15, 13th Dist	1750	18531_1	10/15/2015
18531	Change	Chinook Landing Marine Park Light 1	Fl G 4s "1" Priv	N 45 33' 39.660"	W 122 26' 40.320"	45.56102	-122.4445	LNM 40/15, 13th Dist	1750	18531_1	10/15/2015
18531	Relocate	Chinook Landing Marine Park Light 2	Fl R 4s "2" Priv	N 45 33' 39.000"	W 122 26' 42.060"	45.56083	-122.445	LNM 40/15, 13th Dist	1750	18531_1	10/15/2015
18531	Change	Chinook Landing Marine Park Light 2	Fl R 4s "2" Priv	N 45 33' 39.000"	W 122 26' 42.060"	45.56083	-122.445	LNM 40/15, 13th Dist	1750	18531_1	10/15/2015
