Chart: 18532, Current Edition: 21, Print Date: May. /2006, Columbia River Bonneville To The Dalles; The Dalles; Hood River
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18532	Relocate	Bonneville Pool Light 54	Fl R 4s 21ft 4M "54"	N 45 41' 38.982"	W 121 18' 21.612"	45.69416	-121.306	LNM 47/16, 13th Dist	1756	18532_4	12/1/2016
18532	Delete	Bonneville Pool Light 4	Fl R 4s 20ft 3M "4"	N 45 38' 30.085"	W 121 55' 56.508"	45.64169	-121.9324	LNM 34/16, 13th Dist	1753	18532_2	9/1/2016
18532	Add	Bonneville Pool Lighted Buoy 4	R "4" Fl R 4s	N 45 38' 29.011"	W 121 55' 58.008"	45.64139	-121.9328	LNM 34/16, 13th Dist	1753	18532_2	9/1/2016
18532	Relocate	Bonneville Pool Daybeacon 51	G "51"	N 45 42' 19.098"	W 121 20' 25.068"	45.7053	-121.3403	LNM 19/16, 13th Dist	1756	18532_4	5/19/2016
18532	Relocate	Bonneville Pool Light 14	Q R 20ft 3M "14"	N 45 40' 55.086"	W 121 53' 17.070"	45.68197	-121.8881	LNM 19/16, 13th Dist	1753	18532_2	5/19/2016
18532	Relocate	Bonneville Pool Light 23	Fl G 6s 15ft 4M "23"	N 45 41' 48.276"	W 121 44' 13.974"	45.69674	-121.7372	LNM 19/16, 13th Dist	1753	18532_2	5/19/2016
18532	Relocate	Bonneville Pool Light 35	Fl G 4s 14ft 4M "35"	N 45 43' 37.752"	W 121 30' 41.712"	45.72715	-121.5116	LNM 19/16, 13th Dist	1754	18532_1	5/19/2016
18532	Relocate	Bonneville Pool Light 35	Fl G 4s 14ft 4M "35"	N 45 43' 37.752"	W 121 30' 41.712"	45.72715	-121.5116	LNM 19/16, 13th Dist	1756	18532_4	5/19/2016
18532	Change	Bonneville Pool Light 35	Fl G 4s 14ft 4M "35"	N 45 43' 37.752"	W 121 30' 41.712"	45.72715	-121.5116	LNM 19/16, 13th Dist	1754	18532_1	5/19/2016
18532	Change	Bonneville Pool Light 35	Fl G 4s 14ft 4M "35"	N 45 43' 37.752"	W 121 30' 41.712"	45.72715	-121.5116	LNM 19/16, 13th Dist	1756	18532_4	5/19/2016
18532	Relocate	Bonneville Pool Light 41	Fl G 2.5s 11ft 4M "41"	N 45 41' 55.788"	W 121 25' 27.642"	45.69883	-121.4243	LNM 19/16, 13th Dist	1756	18532_4	5/19/2016
18532	Relocate	Bonneville Pool Light 47	Fl G 6s 39ft 4M "47"	N 45 42' 22.656"	W 121 22' 40.026"	45.7063	-121.3778	LNM 19/16, 13th Dist	1756	18532_4	5/19/2016
18532	Relocate	Bonneville Pool Light 48	Fl R 4s 26ft 3M "48"	N 45 42' 04.464"	W 121 21' 55.314"	45.70124	-121.3654	LNM 19/16, 13th Dist	1756	18532_4	5/19/2016
18532	Relocate	Bonneville Pool Light 53	Fl G 4s 26ft 4M "53"	N 45 42' 18.282"	W 121 20' 09.792"	45.70508	-121.3361	LNM 19/16, 13th Dist	1756	18532_4	5/19/2016
18532	Relocate	Bonneville Pool Light 62	Fl R 2.5s 40ft 4M "62"	N 45 38' 55.626"	W 121 12' 06.678"	45.64878	-121.2019	LNM 19/16, 13th Dist	1756	18532_4	5/19/2016
18532	Relocate	Memaloose Island South Daybeacon 2	R "2" Ra Ref	N 45 42' 02.502"	W 121 20' 29.220"	45.7007	-121.3415	LNM 19/16, 13th Dist	1756	18532_4	5/19/2016
18532	Change	Memaloose Island South Daybeacon 2	R "2" Ra Ref	N 45 42' 02.502"	W 121 20' 29.220"	45.7007	-121.3415	LNM 19/16, 13th Dist	1756	18532_4	5/19/2016
18532	Relocate	Bonneville Pool Light 25	Fl G 4s 31ft 4M "25"	N 45 41' 50.298"	W 121 42' 23.802"	45.6973	-121.7066	LNM 18/16, 13th Dist	1753	18532_2	5/12/2016
18532	Delete	Bonneville Pool Light 67	Fl G 2.5s 21ft 4M "67"	N 45 36' 35.722"	W 121 08' 52.205"	45.60992	-121.1478	LNM 26/15, 13th Dist	1756	18532_4	7/9/2015
18532	Change	Bonneville Pool Lighted Buoy 69	G "69" Fl G 2.5s	N 45 36' 33.328"	W 121 08' 52.269"	45.60926	-121.1479	LNM 26/15, 13th Dist	1756	18532_4	7/9/2015
18532	Relocate	Bonneville Pool Lighted Buoy 69	G "69" Fl G 2.5s	N 45 36' 33.328"	W 121 08' 52.269"	45.60926	-121.1479	LNM 26/15, 13th Dist	1756	18532_4	7/9/2015
18532	Relocate	Bonneville Pool Light 41	Fl G 2.5s 11ft 4M "41"	N 45 41' 55.980"	W 121 25' 27.480"	45.69888	-121.4243	LNM 17/15, 13th Dist	1756	18532_4	5/14/2015
18532	Change	Bonneville Pool Light 41	Fl G 2.5s 11ft 4M "41"	N 45 41' 55.980"	W 121 25' 27.480"	45.69888	-121.4243	LNM 17/15, 13th Dist	1756	18532_4	5/14/2015
18532	Relocate	Bonneville Pool Light 54	Fl R 4s 21ft 4M "54"	N 45 41' 38.808"	W 121 18' 21.828"	45.69411	-121.3061	LNM 17/15, 13th Dist	1756	18532_4	5/14/2015
18532	Relocate	Memaloose Island South Light 1	Fl G 2.5s 28ft 4M "1"	N 45 42' 07.002"	W 121 20' 29.711"	45.70195	-121.3416	LNM 17/15, 13th Dist	1756	18532_4	5/14/2015
