Chart: 18533, Current Edition: 12, Print Date: Sep. /2004, Columbia River Lake Celilo
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18533	Relocate	Lake Celilo Boat Basin Light 22	Q R 17ft 4M "22"	N 45 39' 00.672"	W 120 57' 51.420"	45.65019	-120.9643	LNM 21/16, 13th Dist	1757	18533_1	6/2/2016
18533	Relocate	Lake Celilo Daybeacon 40	R "40"	N 45 40' 59.334"	W 120 47' 50.064"	45.68315	-120.7972	LNM 21/16, 13th Dist	1758	18533_2	6/2/2016
18533	Relocate	Lake Celilo Daybeacon JD	BW "JD"	N 45 42' 16.104"	W 120 43' 22.740"	45.70447	-120.723	LNM 21/16, 13th Dist	1758	18533_2	6/2/2016
18533	Relocate	Lake Celilo Light 1	Fl G 4s 21ft 4M "1"	N 45 37' 31.434"	W 121 07' 19.344"	45.6254	-121.122	LNM 21/16, 13th Dist	1757	18533_1	6/2/2016
18533	Relocate	Lake Celilo Light 12	Fl R 2.5s 15ft 3M "12"	N 45 39' 10.290"	W 121 00' 34.110"	45.65286	-121.0095	LNM 21/16, 13th Dist	1757	18533_1	6/2/2016
18533	Change	Lake Celilo Light 12	Fl R 2.5s 15ft 3M "12"	N 45 39' 10.290"	W 121 00' 34.110"	45.65286	-121.0095	LNM 21/16, 13th Dist	1757	18533_1	6/2/2016
18533	Relocate	Lake Celilo Light 7	Fl G 2.5s 17ft 3M "7"	N 45 39' 08.688"	W 121 04' 45.558"	45.65241	-121.0793	LNM 21/16, 13th Dist	1757	18533_1	6/2/2016
18533	Relocate	Lake Celilo South Channel Light 2	Fl R 6s 19ft 5M "2"	N 45 38' 52.998"	W 120 56' 06.312"	45.64806	-120.9351	LNM 21/16, 13th Dist	1757	18533_1	6/2/2016
18533	Relocate	Lake Celilo South Channel Light 2	Fl R 6s 19ft 5M "2"	N 45 38' 52.998"	W 120 56' 06.312"	45.64806	-120.9351	LNM 21/16, 13th Dist	1758	18533_2	6/2/2016
18533	Relocate	Lake Celilo South Channel Light 3	Fl G 4s 19ft 4M "3"	N 45 38' 51.042"	W 120 55' 45.036"	45.64751	-120.9292	LNM 21/16, 13th Dist	1757	18533_1	6/2/2016
18533	Relocate	Lake Celilo South Channel Light 3	Fl G 4s 19ft 4M "3"	N 45 38' 51.042"	W 120 55' 45.036"	45.64751	-120.9292	LNM 21/16, 13th Dist	1758	18533_2	6/2/2016
18533	Relocate	Lake Celilo South Channel Daybeacon 5	G "5" Ra Ref	N 45 38' 34.458"	W 120 54' 20.730"	45.64291	-120.9058	LNM 21/16, 13th Dist	1758	18533_2	6/2/2016
18533	Relocate	Lake Celilo Light 41	Fl G 4s 15ft 4M "41"	N 45 41' 22.542"	W 120 47' 19.764"	45.68959	-120.7888	LNM 52/15, 13th Dist	1758	18533_2	1/7/2016
18533	Relocate	Lake Celilo Light 3	Fl G 6s 21ft 5M "3"	N 45 37' 54.849"	W 121 06' 41.039"	45.6319	-121.1114	LNM 17/15, 13th Dist	1757	18533_1	5/14/2015
18533	Change	Lake Celilo Light 3	Fl G 6s 21ft 5M "3"	N 45 37' 54.849"	W 121 06' 41.039"	45.6319	-121.1114	LNM 17/15, 13th Dist	1757	18533_1	5/14/2015
18533	Relocate	Lake Celilo Light 4	Fl R 4s 15ft 5M "4"	N 45 38' 16.227"	W 121 05' 41.357"	45.63784	-121.0948	LNM 17/15, 13th Dist	1757	18533_1	5/14/2015
18533	Change	Lake Celilo Light 4	Fl R 4s 15ft 5M "4"	N 45 38' 16.227"	W 121 05' 41.357"	45.63784	-121.0948	LNM 17/15, 13th Dist	1757	18533_1	5/14/2015
18533	Relocate	Lake Celilo South Channel Light 2	Fl R 6s 19ft 5M "2"	N 45 38' 53.083"	W 120 56' 06.177"	45.64808	-120.9351	LNM 17/15, 13th Dist	1757	18533_1	5/14/2015
