Chart: 18539, Current Edition: 9, Print Date: Mar. /2004, Columbia River Blalock Islands to McNary Dam 
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18539	Relocate	Lake Umatilla Light 72	Fl R 4s 25ft 4M "72"	N 45 54' 58.116"	W 119 23' 39.168"	45.91614	-119.3942	LNM 35/16, 13th Dist	1766	18539_2	9/8/2016
18539	Change	Irrigon Upper Range Rear Light	Iso 6s 79ft (Visible 5.5° each side of reangeline)	N 45 55' 08.559"	W 119 27' 58.029"	45.91904	-119.4661	LNM 05/15, 13th Dist	1766	18539_2	5/21/2015
18539	Change	Lake Umatilla Light 57	Fl G 4s 16ft 5M "57"	N 45 54' 44.629"	W 119 32' 19.423"	45.9124	-119.5387	LNM 47/14, 13th Dist	1765	18539_1	12/4/2014
18539	Relocate	Lake Umatilla Light 57	Fl G 4s 16ft 5M "57"	N 45 54' 44.629"	W 119 32' 19.423"	45.9124	-119.5387	LNM 47/14, 13th Dist	1765	18539_1	12/4/2014
18539	Relocate	IRRIGON MIDDLE RANGE FRONT LIGHT 67	Q G 47ft "67"	N 45 55' 19.201"	W 119 26' 32.576"	45.922	-119.4424	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Change	IRRIGON MIDDLE RANGE FRONT LIGHT 67	Q G 47ft "67"	N 45 55' 19.201"	W 119 26' 32.576"	45.922	-119.4424	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Relocate	IRRIGON MIDDLE RANGE REAR LIGHT	Iso G 6s 73ft	N 45 55' 23.251"	W 119 26' 20.452"	45.92313	-119.439	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Change	IRRIGON MIDDLE RANGE REAR LIGHT	Iso G 6s 73ft	N 45 55' 23.251"	W 119 26' 20.452"	45.92313	-119.439	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Relocate	IRRIGON UPPER RANGE FRONT LIGHT	Q 49ft	N 45 55' 09.049"	W 119 27' 29.885"	45.91918	-119.4583	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Change	IRRIGON UPPER RANGE FRONT LIGHT	Q 49ft	N 45 55' 09.049"	W 119 27' 29.885"	45.91918	-119.4583	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Relocate	IRRIGON UPPER RANGE REAR LIGHT	Iso 6s 79ft	N 45 55' 08.559"	W 119 27' 58.029"	45.91904	-119.4661	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Change	IRRIGON UPPER RANGE REAR LIGHT	Iso 6s 79ft	N 45 55' 08.559"	W 119 27' 58.029"	45.91904	-119.4661	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Relocate	MCNARY RANGE FRONT LIGHT	Q G 58ft	N 45 56' 21.570"	W 119 18' 36.972"	45.93932	-119.3103	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Change	MCNARY RANGE FRONT LIGHT	Q G 58ft	N 45 56' 21.570"	W 119 18' 36.972"	45.93932	-119.3103	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Relocate	MCNARY RANGE REAR LIGHT	Iso G 6s 84ft	N 45 56' 28.233"	W 119 18' 21.192"	45.94118	-119.3059	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Change	MCNARY RANGE REAR LIGHT	Iso G 6s 84ft	N 45 56' 28.233"	W 119 18' 21.192"	45.94118	-119.3059	LNM 16/13, 13th Dist	1766	18539_2	5/10/2013
18539	Relocate	Irrigon Lower Range Front Light 60 	Q R 23ft "60"	N 45 54' 08.877"	W 119 30' 50.078"	45.90247	-119.5139	LNM 45/12, 13th Dist	1765	18539_1	11/15/2012
