Chart: 18541, Current Edition: 8, Print Date: 3/9/2002, Columbia River-McNary Dam to Juniper
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18541	Change	Lake Wallula Light 4	Fl R 6s 17ft 6M "4"	N 45 55' 16.704"	W 119 09' 58.038"	45.92131	-119.1661	LNM 43/16, 13th Dist	1767	18541_1	10/27/2016
18541	Change	Lake Wallula Light 4	Fl R 6s 17ft 6M "4"	N 45 55' 16.704"	W 119 09' 58.038"	45.92131	-119.1661	LNM 43/16, 13th Dist	1768	18541_2	12/8/2016
18541	Relocate	Lake Wallula Daybeacon 9	G "9"	N 45 57' 40.554"	W 119 04' 15.900"	45.96127	-119.0711	LNM 06/09, 13th Dist	1768	18541_2	2/25/2009
18541	Relocate	Lake Wallula Daybeacon 11	G "11"	N 45 57' 48.552"	W 119 03' 58.644"	45.96349	-119.0663	LNM 06/09, 13th Dist	1768	18541_2	2/25/2009
18541	Relocate	McNary Dam Buoy G	W Or C "G"	N 45 55' 51.744"	W 119 17' 28.740"	45.93104	-119.2913	LNM 14/07, 13th Dist	1767	18541_1	2/13/2008
18541	Relocate	Lake Wallula Lighted Buoy "2"	R "2" Fl R 4s	N 45 56' 27.752"	W 119 17' 16.231"	45.94104	-119.2878	LNM 31/06, 13th Dist	1767	18541_1	2/13/2008
18541	Relocate	McNary Dam Buoy "A"	W Or C "A"	N 45 56' 27.790"	W 119 17' 26.098"	45.94105	-119.2906	LNM 31/06, 13th Dist	1767	18541_1	2/13/2008
18541	Relocate	McNary Dam Buoy "B"	W Or C "B"	N 45 56' 20.984"	W 119 17' 17.837"	45.93916	-119.2883	LNM 31/06, 13th Dist	1767	18541_1	2/13/2008
18541	Relocate	McNary Dam Buoy "C"	W Or C "C"	N 45 56' 14.982"	W 119 17' 19.438"	45.9375	-119.2887	LNM 31/06, 13th Dist	1767	18541_1	2/13/2008
18541	Relocate	McNary Dam Buoy "D"	W Or C "D"	N 45 56' 08.378"	W 119 17' 20.756"	45.93566	-119.2891	LNM 31/06, 13th Dist	1767	18541_1	2/13/2008
18541	Relocate	McNary Dam Buoy "E"	W Or C "E"	N 45 56' 00.681"	W 119 17' 22.149"	45.93352	-119.2895	LNM 31/06, 13th Dist	1767	18541_1	2/13/2008
