Chart: 18542, Current Edition: 10, Print Date: 1/8/2000, Columbia River Juniper to Pasco
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18542	Relocate	Wallula Water Intake Light A	Fl Y 4s "A" Priv	N 46 05' 05.514"	W 118 55' 26.317"	46.08487	-118.924	LNM 37/16, 13th Dist	1770	18542_2	9/22/2016
18542	Relocate	Homly Center Channel Light 1	Fl G 4s 17ft 4M "1"	N 46 08' 06.036"	W 118 58' 59.497"	46.13501	-118.9832	LNM 03/16, 13th Dist	1769	18542_1	1/28/2016
18542	Relocate	Lake Wallula Daybeacon 42	R "42" Ra Ref	N 46 11' 27.857"	W 119 01' 35.522"	46.19107	-119.0265	LNM 03/16, 13th Dist	1769	18542_1	1/28/2016
18542	Relocate	Lake Wallula Light 46	Fl G 6s 16ft 5M "46"	N 46 12' 32.356"	W 119 04' 44.985"	46.20899	-119.0792	LNM 03/16, 13th Dist	1769	18542_1	1/28/2016
18542	Change	Lake Wallula Light 38	Fl R 6s 40ft 5M "38"	N 46 10' 03.282"	W 118 59' 57.486"	46.16758	-118.9993	LNM 47/15, 13th Dist	1769	18542_1	11/26/2015
18542	Add	Kalan Railroad Bridge Radiobeacon	RACON K (-.-) Priv	N 46 10' 40.780"	W 119 01' 07.410"	46.17799	-119.0187	LNM 25/15, 13th Dist	1769	18542_1	7/2/2015
18542	Add	Walla Walla Yacht Club Breakwater Light	F Y Priv	N 46 01' 41.880"	W 118 56' 09.085"	46.0283	-118.9359	LNM 45/13, 13th Dist	1770	18542_2	1/30/2014
18542	Change	Lake Wallula Light 46	Fl R 6s 16ft 5M "46"	N 46 12' 32.298"	W 119 04' 44.886"	46.20897	-119.0791	LNM 40/13, 13th Dist	1769	18542_1	10/7/2013
18542	Change	Lake Wallula West Channel Junction Light W	Fl (2+1) G 6s 24ft 4M "W"	N 46 07' 34.098"	W 118 58' 18.936"	46.12614	-118.9719	LNM 40/13, 13th Dist	1769	18542_1	10/7/2013
18542	Relocate	Lake Wallula Light 20	Fl R 6s 22ft 5M "20"	N 46 02' 42.281"	W 118 56' 25.705"	46.04508	-118.9405	LNM 39/13, 13th Dist	1770	18542_2	10/7/2013
18542	Change	Lake Wallula Light 20	Fl R 6s 22ft 5M "20"	N 46 02' 42.281"	W 118 56' 25.705"	46.04508	-118.9405	LNM 39/13, 13th Dist	1770	18542_2	10/7/2013
18542	Relocate	Kenniwick Water Intake Lights (2)	2 FY Priv	N 46 12' 53.291"	W 119 06' 16.564"	46.2148	-119.1046	LNM 35/13, 13th Dist	1769	18542_1	9/3/2013
18542	Change	Kenniwick Water Intake Lights (2)	2 FY Priv	N 46 12' 53.291"	W 119 06' 16.564"	46.2148	-119.1046	LNM 35/13, 13th Dist	1769	18542_1	9/3/2013
18542	Relocate	Snake River Mile 1 Range Front Light	Q 26ft	N 46 12' 18.888"	W 119 02' 09.240"	46.20525	-119.0359	LNM 25/12, 13th Dist	1769	18542_1	6/26/2012
18542	Relocate	Snake River Mile 1 Range Rear Light	Iso 6s 43ft	N 46 12' 30.118"	W 119 02' 13.266"	46.20837	-119.037	LNM 25/12, 13th Dist	1769	18542_1	6/26/2012
18542	Change	Lake Wallula Light 23 	Fl G 4s 16ft 4M "23"	N 46 03' 56.152"	W 118 57' 00.567"	46.0656	-118.9502	LNM 50/11, 13th Dist	1770	18542_2	12/28/2011
18542	Change	Lake Wallula Light 30 	Fl R 2.5s 23ft 4M "30"	N 46 07' 51.483"	W 118 57' 50.902"	46.13097	-118.9641	LNM 50/11, 13th Dist	1769	18542_1	12/28/2011
18542	Relocate	Lake Wallula Light 46 	Fl R 6s 5M "46"	N 46 12' 32.298"	W 119 04' 44.886"	46.20897	-119.0791	LNM 48/11, 13th Dist	1769	18542_1	12/20/2011
18542	Change	Lake Wallula Light 46 	Fl R 6s 5M "46"	N 46 12' 32.298"	W 119 04' 44.886"	46.20897	-119.0791	LNM 48/11, 13th Dist	1769	18542_1	12/20/2011
18542	Delete	Racon	RACON (-) Priv  (Chart No. 1 S3.1)	N 46 10' 41.200"	W 119 01' 07.400"	46.17811	-119.0187	LNM 44/04, 13th Dist	1769	18542_1	9/14/2011
