Chart: 18545, Current Edition: 15, Print Date: Sep. /2003, Lake Sacajawea
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18545	Add	Lower Monumental Dam Fish Bypass Pipe Light A	Fl Y 2s "A" Priv	N 46 33' 24.430"	W 118 32' 51.990"	46.55679	-118.5478	LNM 22/16, 13th Dist	1772	18545_2	6/9/2016
18545	Add	Lower Monumental Dam Fish Bypass Pipe Light B	Fl Y 4s "B" Priv	N 46 33' 25.020"	W 118 32' 53.160"	46.55695	-118.5481	LNM 22/16, 13th Dist	1772	18545_2	6/9/2016
18545	Add	Lower Monumental Dam Fish Bypass Pipe Light C	Fl Y 4s "C" Priv	N 46 33' 25.650"	W 118 32' 54.460"	46.55713	-118.5485	LNM 22/16, 13th Dist	1772	18545_2	6/9/2016
18545	Add	Lower Monumental Dam Fish Bypass Pipe Light D	Fl Y 4s "D" Priv	N 46 33' 26.260"	W 118 32' 55.650"	46.55729	-118.5488	LNM 22/16, 13th Dist	1772	18545_2	6/9/2016
18545	Relocate	Lake Sacajawea Light 55	Fl G 4s 20ft 4M "55"	N 46 32' 07.698"	W 118 34' 00.396"	46.53547	-118.5668	LNM 17/16, 13th Dist	1772	18545_2	4/28/2016
18545	Change	Lake Sacajawea Light 35	Fl G 2.5s 21ft 4M "35"	N 46 26' 07.847"	W 118 38' 38.723"	46.43551	-118.6441	LNM 12/16, 13th Dist	1772	18545_2	3/31/2016
18545	Change	Lake Sacajawea Light 47	Fl G 2.5s 18ft 5M "47"	N 46 30' 01.571"	W 118 37' 13.551"	46.50043	-118.6204	LNM 12/16, 13th Dist	1772	18545_2	3/31/2016
18545	Relocate	Lake Sacajawea Light 47	Fl G 2.5s 18ft 5M "47"	N 46 30' 01.571"	W 118 37' 13.551"	46.50043	-118.6204	LNM 12/16, 13th Dist	1772	18545_2	3/31/2016
18545	Change	Lake Sacajawea Light 56	Fl R 4s 13ft 5M "56"	N 46 31' 58.213"	W 118 33' 59.682"	46.53284	-118.5666	LNM 12/16, 13th Dist	1772	18545_2	3/31/2016
18545	Relocate	Lake Sacajawea Light 56	Fl R 4s 13ft 5M "56"	N 46 31' 58.213"	W 118 33' 59.682"	46.53284	-118.5666	LNM 12/16, 13th Dist	1772	18545_2	3/31/2016
18545	Change	Lake Sacajawea Light 59	Fl G 2.5s 13ft 4M "59"	N 46 33' 21.150"	W 118 33' 03.666"	46.55587	-118.551	LNM 09/16, 13th Dist	1772	18545_2	3/10/2016
18545	Relocate	Lake Wallula Daybeacon 42	R "42" Ra Ref	N 46 11' 27.857"	W 119 01' 35.522"	46.19107	-119.0265	LNM 03/16, 13th Dist	1771	18545_1	1/28/2016
18545	Add	Kalan Railroad Bridge Radiobeacon	RACON K (-.-) Priv	N 46 10' 40.780"	W 119 01' 07.410"	46.17799	-119.0187	LNM 25/15, 13th Dist	1771	18545_1	7/2/2015
18545	Relocate	Lake Sacajawea Light 43	Fl G 6s 21ft 4M "43"	N 46 27' 47.570"	W 118 37' 39.676"	46.46321	-118.6277	LNM 13/15, 13th Dist	1772	18545_2	4/2/2015
18545	Relocate	Lake Sacajawea Light 6	Fl R 2.5s 41ft 4M "6"	N 46 17' 03.474"	W 118 48' 46.200"	46.2843	-118.8128	LNM 13/15, 13th Dist	1771	18545_1	4/2/2015
18545	Change	Lake Sacajawea Light 6	Fl R 2.5s 41ft 4M "6"	N 46 17' 03.474"	W 118 48' 46.200"	46.2843	-118.8128	LNM 13/15, 13th Dist	1771	18545_1	4/2/2015
18545	Relocate	Snake River Buoy 12 	R N "12"	N 46 14' 30.139"	W 118 56' 23.470"	46.24171	-118.9398	LNM 43/13, 13th Dist	1771	18545_1	10/31/2013
18545	Add	Ice Harbor Lock Approach Coffer Cell Light 22	Fl R 2.5s "22" Priv	N 46 14' 59.362"	W 118 53' 15.382"	46.24982	-118.8876	LNM 19/13, 13th Dist	1771	18545_1	5/23/2013
18545	Add	Pile	Piles     Chart No. 1: F22	N 46 14' 59.780"	W 118 53' 13.410"	46.24994	-118.8871	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Add	Pile	Piles     Chart No. 1: F22	N 46 15' 00.090"	W 118 53' 11.740"	46.25003	-118.8866	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Add	Piles	Piles     Chart No. 1: F22	N 46 14' 59.500"	W 118 53' 14.900"	46.24986	-118.8875	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Add	Pile	Piles     Chart No. 1: F22	N 46 15' 00.340"	W 118 53' 10.100"	46.2501	-118.8861	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Delete	Sounding in Feet	13	N 46 15' 01.230"	W 118 53' 20.310"	46.25034	-118.889	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Add	Sounding in Feet	22	N 46 15' 00.940"	W 118 53' 19.180"	46.25026	-118.8887	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Delete	Sounding in Feet	16	N 46 14' 58.850"	W 118 53' 30.020"	46.24968	-118.8917	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Delete	Sounding in Feet	17	N 46 14' 56.070"	W 118 53' 47.300"	46.24891	-118.8965	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Substitute	Sounding in Feet	19 for 17	N 46 14' 53.750"	W 118 53' 54.860"	46.24826	-118.8986	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Add	Ice Harbor Cut Project Depth Note	The project depth of 14 ft is based on the minimum operating pool elevation of 335 ft. 	N 46 14' 30.670"	W 118 56' 31.940"	46.24185	-118.9422	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Substitute	Sounding in Feet	19 for 20	N 46 15' 02.730"	W 118 53' 07.130"	46.25076	-118.8853	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Delete	Sounding in Feet	18	N 46 15' 01.910"	W 118 53' 14.020"	46.25053	-118.8872	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Delete	Sounding in Feet	16	N 46 14' 59.380"	W 118 53' 23.650"	46.24983	-118.8899	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Substitute	Sounding in Feet	20 for 18	N 46 14' 57.250"	W 118 53' 38.080"	46.24924	-118.8939	LNM 44/12, 13th Dist	1771	18545_1	10/24/2012
18545	Relocate	Snake River Mile 1 Range Front Light	Q 26ft	N 46 12' 18.888"	W 119 02' 09.240"	46.20525	-119.0359	LNM 25/12, 13th Dist	1771	18545_1	6/26/2012
18545	Relocate	Snake River Mile 1 Range Rear Light	Iso 6s 43ft	N 46 12' 30.118"	W 119 02' 13.266"	46.20837	-119.037	LNM 25/12, 13th Dist	1771	18545_1	6/26/2012
18545	Relocate	Snake River Mile 4 Range Front Light	Q R 44ft	N 46 13' 33.621"	W 118 59' 32.993"	46.22601	-118.9925	LNM 25/12, 13th Dist	1771	18545_1	6/26/2012
18545	Relocate	Snake River Mile 4 Range Rear Light	Iso R 6s 56ft	N 46 13' 34.701"	W 118 59' 29.401"	46.22631	-118.9915	LNM 25/12, 13th Dist	1771	18545_1	6/26/2012
18545	Relocate	Snake River Mile 5 Range Front Light	Q G 97ft	N 46 14' 28.623"	W 118 58' 23.973"	46.24128	-118.9733	LNM 25/12, 13th Dist	1771	18545_1	6/26/2012
18545	Relocate	Snake River Mile 5 Range Rear Light	iso G 6s 128ft	N 46 14' 34.424"	W 118 58' 16.045"	46.2429	-118.9711	LNM 25/12, 13th Dist	1771	18545_1	6/26/2012
18545	Relocate	Snake River Mile 6 Range Front Light	Q 26ft	N 46 14' 25.279"	W 118 57' 51.481"	46.24036	-118.9643	LNM 25/12, 13th Dist	1771	18545_1	6/26/2012
18545	Relocate	Snake River Mile 6 Range Rear Light	iso 6s 45ft	N 46 14' 33.531"	W 118 57' 25.331"	46.24265	-118.957	LNM 25/12, 13th Dist	1771	18545_1	6/26/2012
18545	Relocate	Windust Range Front Light	Q 25ft	N 46 31' 58.817"	W 118 34' 51.771"	46.533	-118.581	LNM 25/12, 13th Dist	1772	18545_2	6/26/2012
18545	Relocate	Windust Range Rear Light	Iso 6s 30ft 	N 46 32' 06.126"	W 118 34' 42.920"	46.53503	-118.5786	LNM 25/12, 13th Dist	1772	18545_2	6/26/2012
18545	Delete	Racon	RACON (-) Priv  (Chart No. 1 S3.1)	N 46 10' 41.200"	W 119 01' 07.400"	46.17811	-119.0187	LNM 44/04, 13th Dist	1771	18545_1	9/14/2011
18545	Relocate	Lake Sacajawea Light 13 	Fl G 2.5s 28ft 3M "13"	N 46 20' 03.814"	W 118 45' 41.164"	46.33439	-118.7614	LNM 19/11, 13th Dist	1771	18545_1	5/18/2011
18545	Add	Obstn,dotted circle, blue tint	(10 ft rep); Chart No 1:K40	N 46 14' 43.393"	W 118 55' 11.078"	46.24539	-118.9197	LNM 11/10, 13th Dist	1771	18545_1	4/1/2010
18545	Relocate	Lake Wallula Daybeacon 42	R "42" Ra Ref	N 46 11' 27.846"	W 119 01' 32.280"	46.19107	-119.0256	LNM 07/10, 13th Dist	1771	18545_1	2/24/2010
18545	Relocate	Lake Sacajawea Light 10	Fl R 4s 30ft 3M "10"	N 46 18' 01.986"	W 118 45' 43.170"	46.30055	-118.762	LNM 22/09, 13th Dist	1771	18545_1	6/12/2009
18545	Relocate	Lake Sacajawea Light 25	Fl G 4s 20ft 6M "25"	N 46 22' 57.606"	W 118 41' 37.680"	46.38267	-118.6938	LNM 06/09, 13th Dist	1772	18545_2	2/25/2009
18545	Relocate	Snake River Daybeacon 4	R "4" Ra Ref	N 46 13' 43.482"	W 118 59' 21.966"	46.22874	-118.9894	LNM 06/09, 13th Dist	1771	18545_1	2/25/2009
18545	Relocate	Snake River Light 9	Fl G 2.5s 28ft 4M "9"	N 46 14' 27.456"	W 118 57' 13.506"	46.24096	-118.9538	LNM 06/09, 13th Dist	1771	18545_1	2/25/2009
18545	Relocate	Snake River Light 11	Fl G 6s 15ft 4M "11"	N 46 14' 33.912"	W 118 56' 25.004"	46.24275	-118.9403	LNM 06/09, 13th Dist	1771	18545_1	2/25/2009
18545	Relocate	Lake Sacajawea Light 9	Fl G 4s 20ft 4M "9"	N 46 17' 27.984"	W 118 46' 51.348"	46.29111	-118.7809	LNM 06/09, 13th Dist	1771	18545_1	2/25/2009
18545	Relocate	Lake Sacajawea Light 32	Fl R 6s 46ft 4M "32"	N 46 24' 42.384"	W 118 37' 59.664"	46.41177	-118.6332	LNM 06/09, 13th Dist	1772	18545_2	2/25/2009
18545	Relocate	Lower Monumental Dam Buoy A	W Or C "A"	N 46 33' 50.470"	W 118 31' 57.273"	46.56402	-118.5326	LNM 38/08, 13th Dist	1772	18545_2	9/26/2008
18545	Relocate	Ice Harbor Research Lighted Float	Y Fl Y 6s Priv	N 46 15' 00.510"	W 118 52' 05.080"	46.25014	-118.8681	LNM 29/08, 13th Dist	1771	18545_1	9/26/2008
18545	Delete	Lake Sacajawea Light 16	Fl R 4s 40ft 3M "16" Ra Ref	N 46 21' 15.948"	W 118 44' 43.026"	46.35443	-118.7453	LNM 26/08, 13th Dist	1771	18545_1	9/26/2008
18545	Delete	Lake Sacajawea Light 16	Fl R 4s 40ft 3M "16" Ra Ref	N 46 21' 15.948"	W 118 44' 43.026"	46.35443	-118.7453	LNM 26/08, 13th Dist	1772	18545_2	9/26/2008
18545	Delete	Snake River Buoy 5	G C "5"	N 46 14' 05.886"	W 118 58' 57.738"	46.23497	-118.9827	LNM 10/08, 13th Dist	1771	18545_1	3/24/2008
18545	Add	Snake River Lighted Buoy 5	G "5" Fl G 2.5s	N 46 14' 05.886"	W 118 58' 57.738"	46.23497	-118.9827	LNM 10/08, 13th Dist	1771	18545_1	3/24/2008
18545	Delete	Lake Sacajawea Daybeacon 31	G "31"	N 46 25' 04.620"	W 118 38' 20.425"	46.41795	-118.639	LNM 52/07, 13th Dist	1772	18545_2	2/13/2008
