Chart: 18546, Current Edition: 10, Print Date: Feb. /2004, Snake River-Lake Herbert G. West
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18546	Relocate	Lower Monumental Light 27	Fl G 2.5s 17ft 4M "27"	N 46 36' 09.804"	W 118 14' 53.894"	46.60272	-118.2483	LNM 08/17, 13th Dist	1774	18546_2	2/23/2017
18546	Relocate	Lower Monumental Light 37	Fl G 4s 80ft 4M "37"	N 46 33' 36.487"	W 118 06' 47.870"	46.56013	-118.1133	LNM 08/17, 13th Dist	1774	18546_2	2/23/2017
18546	Relocate	Lower Monumental Light 4	Fl R 4s 10ft 3M "4"	N 46 34' 11.562"	W 118 30' 39.420"	46.56988	-118.5109	LNM 49/16, 13th Dist	1773	18546_1	12/8/2016
18546	Change	Lower Monumental Light 5	Fl G 2.5s 15ft 3M "5"	N 46 34' 44.388"	W 118 29' 46.290"	46.579	-118.4962	LNM 49/16, 13th Dist	1773	18546_1	12/8/2016
18546	Relocate	Lower Monumental Light 5	Fl G 2.5s 15ft 3M "5" Ra Ref	N 46 34' 44.388"	W 118 29' 46.290"	46.579	-118.4962	LNM 35/16, 13th Dist	1773	18546_1	9/8/2016
18546	Relocate	Lower Monumental Light 20	Fl R 4s 10ft 4M "20"	N 46 36' 06.943"	W 118 19' 57.552"	46.60193	-118.3327	LNM 35/16, 13th Dist	1773	18546_1	9/8/2016
18546	Add	Lower Monumental Dam Fish Bypass Pipe Light A	Fl Y 2s "A" Priv	N 46 33' 24.430"	W 118 32' 51.990"	46.55679	-118.5478	LNM 22/16, 13th Dist	1773	18546_1	6/9/2016
18546	Add	Lower Monumental Dam Fish Bypass Pipe Light B	Fl Y 4s "B" Priv	N 46 33' 25.020"	W 118 32' 53.160"	46.55695	-118.5481	LNM 22/16, 13th Dist	1773	18546_1	6/9/2016
18546	Add	Lower Monumental Dam Fish Bypass Pipe Light C	Fl Y 4s "C" Priv	N 46 33' 25.650"	W 118 32' 54.460"	46.55713	-118.5485	LNM 22/16, 13th Dist	1773	18546_1	6/9/2016
18546	Add	Lower Monumental Dam Fish Bypass Pipe Light D	Fl Y 4s "D" Priv	N 46 33' 26.260"	W 118 32' 55.650"	46.55729	-118.5488	LNM 22/16, 13th Dist	1773	18546_1	6/9/2016
