Chart: 18548, Current Edition: 5, Print Date: Dec. /2002, Snake River-Lower Granite Lake
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18548	Delete	Hells Gate Marina Entrance Lighted Buoy 1	G "1" Fl G 4s Priv	N 46 22' 16.295"	W 117 03' 21.639"	46.37119	-117.056	LNM 10/17, 13th Dist	1780	18548_3	3/9/2017
18548	Delete	Hells Gate Marina Entrance Lighted Buoy 2	R "2" Fl R 4s Priv	N 46 22' 15.550"	W 117 03' 23.086"	46.37099	-117.0564	LNM 10/17, 13th Dist	1780	18548_3	3/9/2017
18548	Relocate	Lower Granite Reservoir Light 10	Fl R 2.5s 23ft 3M "10"	N 46 34' 48.426"	W 117 20' 06.150"	46.58012	-117.335	LNM 30/16, 13th Dist	1778	18548_1	12/8/2016
18548	Relocate	Lower Granite Reservoir Light 11	Fl G 4s 13ft 4M "11"	N 46 34' 46.008"	W 117 17' 53.082"	46.57944	-117.2981	LNM 30/16, 13th Dist	1778	18548_1	12/8/2016
18548	Delete	Overhead Power Cable Label	OVHD PWR CAB AUTH CL 80 FT	N 46 38' 53.131"	W 117 24' 31.252"	46.64809	-117.4087	LNM 26/16, 13th Dist	1778	18548_1	6/23/2016
18548	Delete	Overhead Power Cables (set of 4) PT 1 OF 2	Chart No. 1: D26  	N 46 39' 03.722"	W 117 24' 31.068"	46.65104	-117.4086	LNM 26/16, 13th Dist	1778	18548_1	6/23/2016
18548	Delete	Overhead Power Cables (set of 4) PT 2 OF 2	Chart No. 1: D26  	N 46 39' 29.826"	W 117 24' 14.461"	46.65828	-117.404	LNM 26/16, 13th Dist	1778	18548_1	6/23/2016
18548	Relocate	Lower Granite Reservoir Light 26	Fl R 2.5s 16ft 3M "26"	N 46 25' 37.392"	W 117 08' 10.656"	46.42705	-117.1363	LNM 24/15, 13th Dist	1779	18548_2	6/25/2015
18548	Relocate	Lower Granite Reservoir Light 4	Fl R 4s 33ft 3M "4"	N 46 38' 58.104"	W 117 23' 49.086"	46.64948	-117.397	LNM 24/15, 13th Dist	1778	18548_1	6/25/2015
18548	Relocate	Lower Granite Reservoir Light 16	Fl R 4s 16ft 3M "6"	N 46 28' 18.354"	W 117 14' 27.738"	46.47176	-117.241	LNM 22/15, 13th Dist	1778	18548_1	6/11/2015
18548	Delete	Knoxway Warning Lighted Buoy	W Or C Fl 2s Priv	N 46 34' 39.241"	W 117 18' 43.620"	46.57757	-117.3121	LNM 03/15, 13th Dist	1778	18548_1	3/19/2015
18548	Delete	dam, (use Chart No. 1: F44)	None	N 46 26' 00.000"	W 116 57' 15.250"	46.43333	-116.9542	LNM 07/14, 13th Dist	1779	18548_2	2/13/2014
18548	Add	Knoxway Warning Lighted Buoy	W Or C Fl 2s Priv	N 46 34' 39.241"	W 117 18' 43.620"	46.57757	-117.3121	LNM 46/12, 13th Dist	1778	18548_1	11/28/2012
18548	Add	Chief Timothy No Wake Buoy A	W Or C "A" Priv	N 46 24' 56.464"	W 117 11' 49.150"	46.41568	-117.197	LNM 46/12, 13th Dist	1779	18548_2	11/28/2012
18548	Add	Chief Timothy Regulatory Daybeacon C	W Or "C" Priv	N 46 24' 54.363"	W 117 11' 44.115"	46.4151	-117.1956	LNM 46/12, 13th Dist	1779	18548_2	11/28/2012
18548	Add	Chief Timothy Regulatory Buoy E	W Or C "E" Priv	N 46 24' 48.246"	W 117 11' 34.578"	46.4134	-117.1929	LNM 46/12, 13th Dist	1779	18548_2	11/28/2012
18548	Add	Chief Timothy Regulatory Buoy F	W Or C "F" Priv	N 46 24' 48.992"	W 117 11' 33.878"	46.41361	-117.1927	LNM 46/12, 13th Dist	1779	18548_2	11/28/2012
18548	Add	Chief Timothy Regulatory Buoy G	W Or C "G" Priv	N 46 24' 50.128"	W 117 11' 32.804"	46.41393	-117.1924	LNM 46/12, 13th Dist	1779	18548_2	11/28/2012
18548	Add	Chief Timothy No Wake Buoy H	W Or C "H" Priv	N 46 24' 58.778"	W 117 10' 53.672"	46.41633	-117.1816	LNM 46/12, 13th Dist	1779	18548_2	11/28/2012
18548	Add	Chief Timothy No Wake Buoy J	W Or C "J" Priv	N 46 24' 58.327"	W 117 10' 51.938"	46.4162	-117.1811	LNM 46/12, 13th Dist	1779	18548_2	11/28/2012
18548	Add	Chief Timothy No Wake Buoy K	W Or C "K" Priv	N 46 24' 58.123"	W 117 10' 49.123"	46.41615	-117.1803	LNM 46/12, 13th Dist	1779	18548_2	11/28/2012
18548	Add	Hells Canyon Marina Sand Bar Warning Buoy A	W Or C "A" Priv	N 46 25' 21.016"	W 117 04' 20.413"	46.4225	-117.0723	LNM 46/12, 13th Dist	1779	18548_2	11/28/2012
18548	Add	Hells Canyon Marina Sand Bar Warning Buoy B	W Or C "B" Priv	N 46 25' 21.245"	W 117 04' 19.263"	46.42257	-117.072	LNM 46/12, 13th Dist	1779	18548_2	11/28/2012
