Chart: 18553, Current Edition: 7, Print Date: Apr. /2004, FRANKLIN D. ROOSEVELT LAKE Northern part
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18553	Change	Franklin D. Roosevelt Lake Light AA	Fl 4s 10ft 4M "AA"	N 48 29' 48.420"	W 118 11' 08.802"	48.49678	-118.1858	LNM 18/17, 13th Dist	1784	18553_2	5/4/2017
18553	Change	Franklin D. Roosevelt Lake Light V	Fl 2.5s 15ft 4M "V"	N 48 14' 30.786"	W 118 08' 44.214"	48.24189	-118.1456	LNM 18/17, 13th Dist	1783	18553_1	5/4/2017
18553	Change	Franklin D. Roosevelt Lake Light CC	Fl 2.5s30ft 4M "CC"	N 48 34' 49.830"	W 118 07' 52.980"	48.58051	-118.1314	LNM 41/16, 13th Dist	1784	18553_2	10/20/2016
18553	Change	Franklin D. Roosevelt Lake Light T	Fl 4s10ft 4M "T"	N 48 08' 49.416"	W 118 11' 26.562"	48.14706	-118.1907	LNM 41/16, 13th Dist	1783	18553_1	10/20/2016
18553	Add	Gifford Ferry Dock Light	Fl Y 4s Priv	N 48 16' 40.079"	W 118 08' 20.972"	48.2778	-118.1392	LNM 26/14, 13th Dist	1783	18553_1	7/10/2014
18553	Add	Inchelium Ferry Dock Light	Fl Y 4s Priv	N 48 16' 41.405"	W 118 09' 08.200"	48.27817	-118.1523	LNM 26/14, 13th Dist	1783	18553_1	7/10/2014
18553	Add	Kettle River Boom Support Buoy B	Or "B" Priv	N 48 40' 12.655"	W 118 06' 27.273"	48.67018	-118.1076	LNM 14/14, 13th Dist	1784	18553_2	4/17/2014
18553	Add	Kettle River Boom Support Buoy A	Or "A" Priv	N 48 40' 07.406"	W 118 06' 30.855"	48.66872	-118.1086	LNM 14/14, 13th Dist	1784	18553_2	4/17/2014
18553	Add	Kettle River Boom Passage Gate Buoy 1	G "1" Priv	N 48 40' 22.526"	W 118 06' 26.423"	48.67292	-118.1073	LNM 14/14, 13th Dist	1784	18553_2	4/17/2014
18553	Add	Kettle River Boom Passage Gate Buoy 2	R "2" Priv	N 48 40' 27.051"	W 118 06' 32.587"	48.67418	-118.1091	LNM 14/14, 13th Dist	1784	18553_2	4/17/2014
18553	Add	Kettle River Boom Passage Gate Buoy 3	G "3" Priv	N 48 40' 23.984"	W 118 06' 35.734"	48.67333	-118.1099	LNM 14/14, 13th Dist	1784	18553_2	4/17/2014
18553	Add	Kettle River Boom Passage Gate Buoy 4	R "4" Priv	N 48 40' 26.522"	W 118 06' 35.251"	48.67403	-118.1098	LNM 14/14, 13th Dist	1784	18553_2	4/17/2014
18553	Add	Kettle River Boom Support Buoy C	Or "C" Priv	N 48 40' 31.465"	W 118 06' 23.018"	48.67541	-118.1064	LNM 14/14, 13th Dist	1784	18553_2	4/17/2014
18553	Add	Kettle River Boom Support Buoy E	Or "E" Priv	N 48 40' 33.038"	W 118 06' 36.629"	48.67584	-118.1102	LNM 14/14, 13th Dist	1784	18553_2	4/17/2014
18553	Add	Kettle River Boom Support Buoy F	Or "F" Priv	N 48 40' 32.905"	W 118 06' 41.749"	48.67581	-118.1116	LNM 14/14, 13th Dist	1784	18553_2	4/17/2014
18553	Add	Kettle River Boom Support Buoy D	Or "D" Priv	N 48 40' 33.160"	W 118 06' 30.614"	48.67588	-118.1085	LNM 14/14, 13th Dist	1784	18553_2	4/17/2014
18553	Add	Rickey Point Sailing Club Lighted Buoy	Fl 10s Priv	N 48 33' 41.010"	W 118 07' 22.900"	48.56139	-118.123	LNM 45/13, 13th Dist	1784	18553_2	11/14/2013
18553	Relocate	Franklin D. Roosevelt Lake Buoy 20	R N "20"	N 48 42' 06.072"	W 118 01' 40.224"	48.70169	-118.0278	LNM LN/LN, 13th Dist	1784	18553_2	7/10/2010
18553	Relocate	Franklin D. Roosevelt Lake Light U	Fl 6s 12ft 5M "U"	N 48 12' 26.616"	W 118 11' 58.194"	48.20739	-118.1995	LNM 09/10, 13th Dist	1783	18553_1	3/17/2010
18553	Relocate	Franklin D. Roosevelt Lake Light V	Fl 2.5s 15ft 5M "V"	N 48 14' 30.786"	W 118 08' 44.214"	48.24189	-118.1456	LNM 09/10, 13th Dist	1783	18553_1	3/17/2010
18553	Relocate	Franklin D. Roosevelt Lake Light X	Fl 6s 16ft 5M "X"	N 48 21' 37.932"	W 118 11' 15.360"	48.36054	-118.1876	LNM 09/10, 13th Dist	1783	18553_1	3/17/2010
