Chart: 18580, Current Edition: 23, Print Date: Mar. /2014, Cape Blanco to Yaquina Head
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18580	Delete	OSU Yaquina Research Lighted Buoy	Y Fl Y 4s Priv	N 44 38' 24.000"	W 124 18' 13.800"	44.64	-124.3038	LNM 25/17, 13th Dist	1791	18580_1	6/22/2017
18580	Add	OSU Cape Arago Research Lighted Buoy	Y Fl  Y 4s Priv	N 43 18' 00.000"	W 124 32' 00.000"	43.3	-124.5333	LNM 25/17, 13th Dist	1791	18580_1	6/22/2017
18580	Add	Wave-Rider Lighted Buoy	Y Fl Y 2.5s	N 43 45' 36.000"	W 124 13' 48.000"	43.76	-124.23	WNM 25/17, NGA	1791	18580_1	6/22/2017
18580	Add	Wave-Rider Lighted Buoy	Y Fl Y 2.5s	N 43 34' 48.000"	W 124 17' 24.000"	43.58	-124.29	WNM 25/17, NGA	1791	18580_1	6/22/2017
18580	Change	Yaquina Bay Approach Lighted Whistle Buoy Y	RW "Y" Mo (A) WHIS AIS	N 44 35' 51.761"	W 124 06' 46.811"	44.59771	-124.113	LNM 49/16, 13th Dist	1791	18580_1	12/8/2016
18580	Change	Yaquina Bay South Jetty Light 4	Fl R 2.5s 17ft 4M "4" AIS	N 44 36' 33.906"	W 124 04' 45.834"	44.60942	-124.0794	LNM 49/16, 13th Dist	1791	18580_1	12/8/2016
18580	Relocate	Yaquina Bay South Jetty Light 4	Fl R 2.5s 17ft 4M "4" AIS	N 44 36' 33.906"	W 124 04' 45.834"	44.60942	-124.0794	LNM 49/16, 13th Dist	1791	18580_1	12/8/2016
18580	Change	Heceta Head Lighthouse	Fl 10s 205ft Priv	N 44 08' 14.715"	W 124 07' 41.582"	44.13742	-124.1282	LNM 48/16, 13th Dist	1791	18580_1	12/1/2016
18580	Relocate	OSU Waldport Offshore Research Lighted Buoy	Y Fl Y 4s Priv	N 44 22' 15.000"	W 124 56' 52.500"	44.37083	-124.9479	LNM 44/16, 13th Dist	1791	18580_1	11/10/2016
18580	Add	Submarine Cable  PT 2 OF 7	Chart No. 1: L30.1	N 44 38' 14.450"	W 124 18' 20.000"	44.63735	-124.3056	LNM 39/16, 13th Dist	1791	18580_1	11/10/2016
18580	Add	Submarine Cable  PT 1 OF 7	Chart No. 1: L30.1	N 44 40' 59.000"	W 124 20' 07.070"	44.68306	-124.3353	LNM 39/16, 13th Dist	1791	18580_1	11/10/2016
18580	Add	Submarine Cable  PT 3 OF 7	Chart No. 1: L30.1	N 44 34' 08.330"	W 125 08' 52.530"	44.56898	-125.1479	LNM 39/16, 13th Dist	1791	18580_1	11/10/2016
18580	Add	Submarine Cable  PT 4 OF 7	Chart No. 1: L30.1	N 44 33' 36.210"	W 125 09' 02.710"	44.56006	-125.1507	LNM 39/16, 13th Dist	1791	18580_1	11/10/2016
18580	Add	Submarine Cable  PT 5 OF 7	Chart No. 1: L30.1	N 44 32' 27.680"	W 125 09' 09.670"	44.54102	-125.1527	LNM 39/16, 13th Dist	1791	18580_1	11/10/2016
18580	Add	Submarine Cable  PT 6 OF 7	Chart No. 1: L30.1	N 44 31' 43.250"	W 125 09' 09.670"	44.52868	-125.1527	LNM 39/16, 13th Dist	1791	18580_1	11/10/2016
18580	Add	Submarine Cable  PT 7 OF 7	Chart No. 1: L30.1	N 44 28' 56.210"	W 125 08' 54.670"	44.48228	-125.1485	LNM 39/16, 13th Dist	1791	18580_1	11/10/2016
18580	Relocate	Yaquina Bay South Jetty Light 4	Fl R 2.5s 17ft 3M "4"	N 44 36' 33.900"	W 124 04' 45.830"	44.60942	-124.0794	LNM 37/16, 13th Dist	1791	18580_1	11/10/2016
18580	Change	Yaquina Bay South Jetty Light 4	Fl R 2.5s 17ft 3M "4"	N 44 36' 33.900"	W 124 04' 45.830"	44.60942	-124.0794	LNM 37/16, 13th Dist	1791	18580_1	11/10/2016
18580	Relocate	NOAA Environmental Lighted Buoy 46015	Y "46015" Fl (4) Y 20s	N 42 45' 57.032"	W 124 49' 58.856"	42.76584	-124.833	LNM 47/15, 13th Dist	1791	18580_1	11/26/2015
18580	Change	NOAA Environmental Lighted Buoy 46015	Y "46015" Fl (4) Y 20s	N 42 45' 57.032"	W 124 49' 58.856"	42.76584	-124.833	LNM 47/15, 13th Dist	1791	18580_1	11/26/2015
18580	Change	Coos Bay Approach Lighted Whistle Buoy K	RW "K" Mo (A) WHIS AIS	N 43 22' 14.975"	W 124 23' 05.493"	43.37083	-124.3849	LNM 42/15, 13th Dist	1791	18580_1	10/29/2015
18580	Relocate	NOAA Environmental Lighted Buoy 46050	Y "46050" Fl (4) Y 20s	N 44 39' 22.000"	W 124 31' 33.000"	44.65611	-124.5258	LNM 42/15, 13th Dist	1791	18580_1	10/29/2015
18580	Change	NOAA Environmental Lighted Buoy 46050	Y "46050" Fl (4) Y 20s	N 44 39' 22.000"	W 124 31' 33.000"	44.65611	-124.5258	LNM 42/15, 13th Dist	1791	18580_1	10/29/2015
18580	Add	OSU Waldport Offshore Research Lighted Buoy	Y Fl Y 4s Priv	N 44 22' 00.120"	W 124 56' 39.480"	44.3667	-124.9443	LNM 15/15, 13th Dist	1791	18580_1	4/16/2015
18580	Add	OSU Newport Shelf Research Lighted Buoy	Y Fl Y 4s Priv	N 44 38' 20.040"	W 124 18' 13.680"	44.6389	-124.3038	LNM 14/15, 13th Dist	1791	18580_1	4/16/2015
18580	Delete	Due to chart scale - Suislaw River Entrance Rear Light	Iso R	N 44 01' 00.780"	W 124 07' 37.439"	44.01688	-124.1271	LNM 09/15, 13th Dist	1791	18580_1	3/5/2015
18580	Delete	Due to chart scale - black range line PT 1 OF 2	None	N 44 01' 01.000"	W 124 07' 40.000"	44.01694	-124.1278	LNM 09/15, 13th Dist	1791	18580_1	3/5/2015
18580	Delete	Due to chart scale - black range line PT 2 OF 2	None	N 44 01' 06.000"	W 124 09' 16.000"	44.01833	-124.1544	LNM 09/15, 13th Dist	1791	18580_1	3/5/2015
18580	Delete	Due to chart scale - Suislaw River Entrance Front Light	Q R	N 44 01' 01.441"	W 124 07' 49.570"	44.01707	-124.1304	LNM 09/15, 13th Dist	1791	18580_1	3/5/2015
18580	Delete	Cleft Of The Rock Light	Al WR 10s 110ft Priv	N 44 17' 30.000"	W 124 06' 30.000"	44.29167	-124.1083	LNM 03/15, 13th Dist	1791	18580_1	1/29/2015
