Chart: 18584, Current Edition: 48, Print Date: May. /2007, Umpqua River Pacific Ocean to Reedsport
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18584	Relocate	Umpqua River Light 20	Fl R 6s 15ft 4M "20"	N 43 44' 52.883"	W 124 08' 21.318"	43.74802	-124.1393	LNM 26/17, 13th Dist	1795	18584_1	7/6/2017
18584	Change	Tabulation - Umpqua River Channel Depths	Tabulation - Umpqua River Channel Depths	N 43 39' 37.000"	W 124 07' 18.000"	43.66028	-124.1217	LNM 24/17, 13th Dist	1795	18584_1	6/8/2017
18584	Change	Tabulation - Umpqua River Channel Depths	Tabulation - Umpqua River Channel Depths	N 43 39' 37.000"	W 124 07' 18.000"	43.66028	-124.1217	LNM 20/17, 13th Dist	1795	18584_1	5/11/2017
18584	Change	Tabulation - UMPQUA RIVER CHANNEL DEPTHS	Tabulation - UMPQUA RIVER CHANNEL DEPTHS	N 43 39' 37.000"	W 124 07' 18.000"	43.66028	-124.1217	LNM 16/17, 13th Dist	1795	18584_1	4/13/2017
18584	Change	Tabulation - UMPQUA RIVER CHANNEL DEPTHS	Tabulation - UMPQUA RIVER CHANNEL DEPTHS	N 43 39' 37.000"	W 124 07' 18.000"	43.66028	-124.1217	LNM 04/17, 13th Dist	1795	18584_1	1/19/2017
18584	Change	Tabulation - UMPQUA RIVER CHANNEL DEPTHS	Tabulation - UMPQUA RIVER CHANNEL DEPTHS	N 43 39' 37.000"	W 124 07' 18.000"	43.66028	-124.1217	LNM 43/16, 13th Dist	1795	18584_1	10/20/2016
18584	Change	Tabulation - Umpqua River Channel Depths	Tabulation - Umpqua River Channel Depths	N 43 39' 37.000"	W 124 07' 18.000"	43.66028	-124.1217	LNM 38/16, 13th Dist	1795	18584_1	9/15/2016
18584	Change	Tabulation - Umpqua River Channel Depths	Tabulation - Umpqua River Channel Depths	N 43 39' 37.000"	W 124 07' 18.000"	43.66028	-124.1217	LNM 32/16, 13th Dist	1795	18584_1	8/4/2016
18584	Relocate	Salmon Harbor Entrance Light 2	Fl R 4s 15ft 3M "2"	N 43 41' 07.572"	W 124 10' 54.468"	43.68544	-124.1818	LNM 24/16, 13th Dist	1795	18584_1	6/16/2016
18584	Relocate	Scholfield Creek Channel Daybeacon 2	R "2" Ra Ref	N 43 42' 36.446"	W 124 06' 23.548"	43.71012	-124.1065	LNM 24/16, 13th Dist	1795	18584_1	6/16/2016
18584	Relocate	Scholfield Creek Channel Daybeacon 3	G "3"	N 43 42' 35.654"	W 124 06' 22.341"	43.7099	-124.1062	LNM 24/16, 13th Dist	1795	18584_1	6/16/2016
