Chart: 18587, Current Edition: 71, Print Date: Apr. /2011, Coos Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18587	Change	Tabulation - Coos Bay, Isthmus Slough and Charleston Channel Depths	Tabulation - Coos Bay, Isthmus Slough and Charleston Channel Depths	N 43 22' 51.000"	W 124 15' 07.000"	43.38083	-124.2519	LNM 24/17, 13th Dist	1796	18587_1	6/8/2017
18587	Change	Tabulation - COOS BAY, ISTHMUS SLOUGH AND CHARLESTON CHANNEL DEPTHS	Tabulation - COOS BAY, ISTHMUS SLOUGH AND CHARLESTON CHANNEL DEPTHS	N 43 22' 51.000"	W 124 15' 07.000"	43.38083	-124.2519	LNM 23/17, 13th Dist	1796	18587_1	6/8/2017
18587	Change	Tabulation - Coos Bay, Isthmus Slough and Charleston Channels	Tabulation - Coos Bay, Isthmus Slough and Charleston Channels	N 43 22' 45.000"	W 124 14' 42.000"	43.37917	-124.245	LNM 15/17, 13th Dist	1796	18587_1	3/30/2017
18587	Relocate	Jarvis Upper Range B Front Light	Q 22ft	N 43 25' 41.810"	W 124 13' 24.042"	43.42828	-124.2233	LNM 07/17, 13th Dist	1796	18587_1	2/16/2017
18587	Change	Jarvis Upper Range B Front Light	Q 22ft	N 43 25' 41.810"	W 124 13' 24.042"	43.42828	-124.2233	LNM 07/17, 13th Dist	1796	18587_1	2/16/2017
18587	Relocate	Jarvis Upper Range B Rear Light	Iso 6s 45ft	N 43 25' 44.169"	W 124 13' 06.729"	43.42894	-124.2185	LNM 07/17, 13th Dist	1796	18587_1	2/16/2017
18587	Change	Jarvis Upper Range B Rear Light	Iso 6s 45ft	N 43 25' 44.169"	W 124 13' 06.729"	43.42894	-124.2185	LNM 07/17, 13th Dist	1796	18587_1	2/16/2017
18587	Relocate	Jarvis Upper Range B Front Light	Q 24ft	N 43 25' 41.754"	W 124 13' 24.431"	43.42826	-124.2234	LNM 03/17, 13th Dist	1796	18587_1	1/26/2017
18587	Change	Jarvis Upper Range B Front Light	Q 24ft	N 43 25' 41.754"	W 124 13' 24.431"	43.42826	-124.2234	LNM 03/17, 13th Dist	1796	18587_1	1/26/2017
18587	Change	Tabulation - COOS BAY, ISTHMUS SLOUGH AND CHARLESTON CHANNEL DEPTHS	Tabulation - COOS BAY, ISTHMUS SLOUGH AND CHARLESTON CHANNEL DEPTHS	N 43 22' 51.000"	W 124 15' 07.000"	43.38083	-124.2519	LNM 05/17, 13th Dist	1796	18587_1	1/26/2017
18587	Change	Tabulation - COOS BAY, ISTHMUS SLOUGH AND CHARLESTON CHANNEL DEPTHS	Tabulation - COOS BAY, ISTHMUS SLOUGH AND CHARLESTON CHANNEL DEPTHS	N 43 22' 51.000"	W 124 15' 07.000"	43.38083	-124.2519	LNM 43/16, 13th Dist	1796	18587_1	10/27/2016
18587	Change	Tabulation - Coos Bay, Isthmus Slough and Charleston Channel Depths	Tabulation - Coos Bay, Isthmus Slough and Charleston Channel Depths	N 43 22' 51.000"	W 124 15' 07.000"	43.38083	-124.2519	LNM 39/16, 13th Dist	1796	18587_1	10/27/2016
18587	Change	South Slough Light 4	Fl R 4s 15ft 4M "4"	N 43 21' 10.296"	W 124 19' 07.506"	43.35286	-124.3187	LNM 37/16, 13th Dist	1796	18587_1	9/22/2016
18587	Change	Tabulation - COOS BAY, ISTHMUS SLOUGH AND CHARLESTON CHANNEL DEPTHS	Tabulation - COOS BAY, ISTHMUS SLOUGH AND CHARLESTON CHANNEL DEPTHS	N 43 22' 51.000"	W 124 15' 07.000"	43.38083	-124.2519	LNM 33/16, 13th Dist	1796	18587_1	8/11/2016
18587	Add	Dangerous Wreck	PA	N 43 21' 21.000"	W 124 19' 45.000"	43.35583	-124.3292	LNM 23/16, 13th Dist	1796	18587_1	6/9/2016
18587	Change	Tabulation - Coos Bay, Isthmus Slough and Charleston Channel	Tabulation - Coos Bay, Isthmus Slough and Charleston Channel	N 43 22' 51.000"	W 124 15' 07.000"	43.38083	-124.2519	LNM 16/16, 13th Dist	1796	18587_1	4/14/2016
