Chart: 18588, Current Edition: 37, Print Date: Apr. /2003, Coquille River Entrance
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18588	Delete	Tabulation - Coquille River Channel	Tabulation - Coquille River Channel	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 23/17, 13th Dist	1797	18588_1	6/8/2017
18588	Change	Tabulation - Coquille River Channel	Tabulation - Coquille River Channel	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 38/16, 13th Dist	1797	18588_1	9/15/2016
18588	Change	Tabulation - COQUILLE RIVER CHANNEL	Tabulation - COQUILLE RIVER CHANNEL	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 31/16, 13th Dist	1797	18588_1	7/28/2016
18588	Change	Tabulation - COQUILLE RIVER CHANNEL	Tabulation - COQUILLE RIVER CHANNEL	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 06/16, 13th Dist	1797	18588_1	2/4/2016
18588	Change	tabulation - COQUILLE RIVER CHANNEL	tabulation - COQUILLE RIVER CHANNEL	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 41/15, 13th Dist	1797	18588_1	10/8/2015
18588	Change	tabulation - COQUILLE RIVER CHANNEL	tabulation - COQUILLE RIVER CHANNEL	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 41/15, 13th Dist	1797	18588_1	9/24/2015
18588	Change	tabulation - COQUILLE RIVER CHANNEL	tabulation - COQUILLE RIVER CHANNEL	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 38/14, 13th Dist	1797	18588_1	9/18/2014
18588	Delete	Sounding in Feet	9	N 43 07' 27.100"	W 124 25' 47.370"	43.1242	-124.4298	LNM 38/14, 13th Dist	1797	18588_1	9/18/2014
18588	Add	Sounding in Feet	5	N 43 07' 27.100"	W 124 25' 48.040"	43.1242	-124.43	LNM 38/14, 13th Dist	1797	18588_1	9/18/2014
18588	Change	tabulation - COQUILLE RIVER CHANNEL	tabulation - COQUILLE RIVER CHANNEL	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 21/14, 13th Dist	1797	18588_1	5/22/2014
18588	Change	tabulation - COQUILLE RIVER CHANNEL	tabulation - COQUILLE RIVER CHANNEL	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 02/14, 13th Dist	1797	18588_1	1/16/2014
18588	Change	tabulation - Coquille River Channel	tabulation - Coquille River Channel	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 30/13, 13th Dist	1797	18588_1	7/19/2013
18588	Add	Sounding in Feet	4	N 43 07' 27.600"	W 124 25' 55.000"	43.12433	-124.4319	LNM 14/13, 13th Dist	1797	18588_1	4/2/2013
18588	Delete	Sounding in Feet	14	N 43 07' 27.600"	W 124 25' 54.500"	43.12433	-124.4318	LNM 14/13, 13th Dist	1797	18588_1	4/2/2013
18588	Change	tabulation - Coquille River Channel	tabulation - Coquille River Channel	N 43 06' 54.000"	W 124 25' 05.000"	43.115	-124.4181	LNM 08/13, 13th Dist	1797	18588_1	2/14/2013
18588	Relocate	Coquille River Entrance Range Front Light	Q 21ft	N 43 07' 15.044"	W 124 24' 44.759"	43.12085	-124.4124	LNM 43/12, 13th Dist	1797	18588_1	10/31/2012
18588	Change	Coquille River Entrance Range Front Light	Q 21ft	N 43 07' 15.044"	W 124 24' 44.759"	43.12085	-124.4124	LNM 43/12, 13th Dist	1797	18588_1	10/31/2012
