Chart: 18589, Current Edition: 16, Print Date: Oct. /2007, Port Orford to Cape Blanco;Port Orford
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18589	Change	Depth Legend - Port Orford Turning Basin to:	2 FT FOR A WIDTH OF 90 FEET MAY 2016	N 42 44' 20.123"	W 124 29' 52.678"	42.73892	-124.498	LNM 36/16, 13th Dist	1799	18589_2	9/1/2016
18589	Add	Low Water Area PT 1 OF 5	None	N 42 44' 22.381"	W 124 29' 54.339"	42.73955	-124.4984	LNM 36/16, 13th Dist	1799	18589_2	9/1/2016
18589	Add	Low Water Area PT 2 OF 5	None	N 42 44' 22.400"	W 124 29' 53.921"	42.73956	-124.4983	LNM 36/16, 13th Dist	1799	18589_2	9/1/2016
18589	Add	Low Water Area PT 3 OF 5	None	N 42 44' 22.223"	W 124 29' 53.784"	42.73951	-124.4983	LNM 36/16, 13th Dist	1799	18589_2	9/1/2016
18589	Add	Low Water Area PT 4 OF 5	None	N 42 44' 22.203"	W 124 29' 53.270"	42.7395	-124.4981	LNM 36/16, 13th Dist	1799	18589_2	9/1/2016
18589	Add	Low Water Area PT 5 OF 5	None	N 42 44' 22.580"	W 124 29' 53.188"	42.7396	-124.4981	LNM 36/16, 13th Dist	1799	18589_2	9/1/2016
18589	Delete	Sounding in Fathoms & Fractions	2 1/2	N 42 44' 21.100"	W 124 29' 52.700"	42.73919	-124.498	LNM 07/16, 13th Dist	1799	18589_2	2/11/2016
18589	Add	Depth Legend - Port Orford, OR	11 FEET FOR A WIDTH OF 90 FEET SEP 2015	N 42 44' 20.200"	W 124 29' 52.600"	42.73895	-124.4979	LNM 07/16, 13th Dist	1799	18589_2	2/11/2016
18589	Delete	Sounding in Fathoms 	1/4	N 42 44' 22.500"	W 124 29' 53.700"	42.73958	-124.4983	LNM 07/16, 13th Dist	1799	18589_2	2/11/2016
18589	Delete	Sounding in Fathoms & Fractions	1 1/2	N 42 44' 21.500"	W 124 29' 53.500"	42.73931	-124.4982	LNM 07/16, 13th Dist	1799	18589_2	2/11/2016
18589	Delete	Sounding in Fathoms & Fractions	2 3/4	N 42 44' 20.400"	W 124 29' 52.800"	42.739	-124.498	LNM 07/16, 13th Dist	1799	18589_2	2/11/2016
18589	Delete	Sounding in Fathoms 	3	N 42 44' 19.900"	W 124 29' 52.100"	42.73886	-124.4978	LNM 07/16, 13th Dist	1799	18589_2	2/11/2016
18589	Delete	Sounding in Fathoms 	3	N 42 44' 19.400"	W 124 29' 51.000"	42.73872	-124.4975	LNM 07/16, 13th Dist	1799	18589_2	2/11/2016
18589	Delete	Sounding in Fathoms 	3	N 42 44' 19.000"	W 124 29' 49.900"	42.73861	-124.4972	LNM 07/16, 13th Dist	1799	18589_2	2/11/2016
18589	Delete	Sounding in Fathoms 	1	N 42 44' 20.430"	W 124 29' 52.920"	42.73901	-124.498	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Delete	Sounding in Fathoms 	2	N 42 44' 21.450"	W 124 29' 53.670"	42.73929	-124.4982	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Delete	Sounding in Fathoms & Fractions	1/4	N 42 44' 22.990"	W 124 29' 53.600"	42.73972	-124.4982	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Delete	Sounding in Fathoms & Fractions	3/4	N 42 44' 19.890"	W 124 29' 52.170"	42.73886	-124.4978	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Delete	Sounding in Fathoms & Fractions	2 1/2	N 42 44' 18.980"	W 124 29' 49.720"	42.73861	-124.4971	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Delete	Sounding in Fathoms & Fractions	1 1/2	N 42 44' 19.450"	W 124 29' 51.070"	42.73874	-124.4975	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Delete	Sounding in Fathoms & Fractions	3/4	N 42 44' 21.180"	W 124 29' 52.860"	42.73922	-124.498	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Delete	Sounding in Fathoms & Fractions	1/2	N 42 44' 22.150"	W 124 29' 53.250"	42.73949	-124.4981	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Add	Sounding in Fathoms & Fractions	1/4	N 42 44' 22.520"	W 124 29' 53.760"	42.73959	-124.4983	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Add	Sounding in Fathoms & Fractions	2 3/4	N 42 44' 20.380"	W 124 29' 52.980"	42.73899	-124.498	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Add	Sounding in Fathoms 	3	N 42 44' 19.460"	W 124 29' 51.000"	42.73874	-124.4975	LNM 36/15, 13th Dist	1799	18589_2	9/3/2015
18589	Delete	Sounding in Fathoms & Fractions	2 1/4	N 42 44' 20.500"	W 124 29' 51.700"	42.73903	-124.4977	LNM 36/14, 13th Dist	1799	18589_2	9/11/2014
18589	Add	Sounding in Fathoms & Fractions	1	N 42 44' 20.700"	W 124 29' 51.700"	42.73908	-124.4977	LNM 36/14, 13th Dist	1799	18589_2	9/11/2014
18589	Substitute	Sounding in Fathom and Fraction	1/4 for 1 1/2	N 42 44' 23.280"	W 124 29' 54.540"	42.7398	-124.4985	LNM 19/14, 13th Dist	1799	18589_2	5/8/2014
18589	Substitute	Sounding in Fathom and Fraction	1/2 for 2 1/4	N 42 44' 20.700"	W 124 29' 53.030"	42.73908	-124.4981	LNM 19/14, 13th Dist	1799	18589_2	5/8/2014
18589	Substitute	Sounding in Fathom and Fraction	3/4 for 2	N 42 44' 20.140"	W 124 29' 52.630"	42.73893	-124.498	LNM 19/14, 13th Dist	1799	18589_2	5/8/2014
18589	Substitute	Sounding in Fathom and Fraction	1 1/2 for 2 1/4	N 42 44' 19.400"	W 124 29' 51.000"	42.73872	-124.4975	LNM 19/14, 13th Dist	1799	18589_2	5/8/2014
18589	Delete	Sounding in Fathom	2	N 42 44' 21.500"	W 124 29' 53.310"	42.73931	-124.4981	LNM 19/14, 13th Dist	1799	18589_2	5/8/2014
18589	Add	Sounding in Fathom and Fraction	1/2	N 42 44' 21.500"	W 124 29' 53.310"	42.73931	-124.4981	LNM 19/14, 13th Dist	1799	18589_2	5/8/2014
18589	Delete	Port Orford Jetty Light 3	Fl G 2.5s 3M "3"	N 42 44' 16.392"	W 124 29' 50.377"	42.73789	-124.4973	LNM 52/13, 13th Dist	1799	18589_2	1/9/2014
18589	Delete	Port Orford Jetty Light 3	Fl G 2.5s 3M "3"	N 42 44' 16.392"	W 124 29' 50.377"	42.73789	-124.4973	LNM 52/13, 13th Dist	1798	18589_1	1/9/2014
18589	Delete	Depth Legend - Port Orford 	12 FT FOR WIDTH OF 90 FT SEP 2010	N 42 44' 20.200"	W 124 29' 52.600"	42.73895	-124.4979	LNM 14/11, 13th Dist	1799	18589_2	3/30/2011
18589	Add	Sounding in Fathoms 	2	N 42 44' 21.500"	W 124 29' 53.300"	42.73931	-124.4981	LNM 14/11, 13th Dist	1799	18589_2	3/30/2011
18589	Add	Sounding in Fathoms & Fractions	2 1/4	N 42 44' 19.500"	W 124 29' 51.000"	42.73875	-124.4975	LNM 14/11, 13th Dist	1799	18589_2	3/30/2011
18589	Add	Sounding in Fathoms 	3	N 42 44' 18.700"	W 124 29' 49.100"	42.73853	-124.497	LNM 14/11, 13th Dist	1799	18589_2	3/30/2011
18589	Add	Sounding in Fathoms & Fractions	1/4	N 42 44' 22.800"	W 124 29' 53.600"	42.73967	-124.4982	LNM 14/11, 13th Dist	1799	18589_2	3/30/2011
18589	Add	Sounding in Fathoms & Fractions	1/2	N 42 44' 22.100"	W 124 29' 53.900"	42.73947	-124.4983	LNM 14/11, 13th Dist	1799	18589_2	3/30/2011
18589	Add	Sounding in Fathoms & Fractions	2 1/4	N 42 44' 20.600"	W 124 29' 53.000"	42.73906	-124.4981	LNM 14/11, 13th Dist	1799	18589_2	3/30/2011
18589	Add	Sounding in Fathoms 	2	N 42 44' 20.000"	W 124 29' 52.500"	42.73889	-124.4979	LNM 14/11, 13th Dist	1799	18589_2	3/30/2011
18589	Delete	Sounding in Fathoms & Fractions	1/4	N 42 44' 22.700"	W 124 29' 53.500"	42.73964	-124.4982	LNM 11/11, 13th Dist	1799	18589_2	3/14/2011
18589	Delete	Sounding in Fathoms & Fractions	1/2	N 42 44' 21.600"	W 124 29' 53.100"	42.73933	-124.4981	LNM 11/11, 13th Dist	1799	18589_2	3/14/2011
18589	Delete	Sounding in Fathoms & Fractions	1/2	N 42 44' 20.800"	W 124 29' 53.300"	42.73911	-124.4981	LNM 11/11, 13th Dist	1799	18589_2	3/14/2011
18589	Delete	Sounding in Fathoms & Fractions	1/4	N 42 44' 22.100"	W 124 29' 53.900"	42.73947	-124.4983	LNM 11/11, 13th Dist	1799	18589_2	3/14/2011
18589	Delete	Sounding in Fathoms & Fractions	2 1/4	N 42 44' 19.900"	W 124 29' 52.400"	42.73886	-124.4979	LNM 11/11, 13th Dist	1799	18589_2	3/14/2011
18589	Delete	Sounding in Fathoms & Fractions	2 3/4	N 42 44' 19.100"	W 124 29' 50.900"	42.73864	-124.4975	LNM 11/11, 13th Dist	1799	18589_2	3/14/2011
18589	Add	Depth Legend - Port Orford:	12 FT FOR WIDTH OF 90 FT SEP 2010	N 42 44' 20.200"	W 124 29' 52.600"	42.73895	-124.4979	LNM 11/11, 13th Dist	1799	18589_2	3/14/2011
18589	Delete	Sounding in Fathoms & Fractions	3 1/2	N 42 44' 18.600"	W 124 29' 49.000"	42.7385	-124.4969	LNM 11/11, 13th Dist	1799	18589_2	3/14/2011
18589	Delete	Mooring buoy	"CG"	N 42 44' 00.000"	W 124 30' 00.000"	42.73333	-124.5	LNM 46/10, 13th Dist	1798	18589_1	11/23/2010
18589	Change	Port Orford Ent LT Buoy 1	G "1" Fl G 4s 	N 42 43' 17.523"	W 124 30' 38.950"	42.72153	-124.5108	LNM 36/10, 13th Dist	1798	18589_1	9/10/2010
18589	Add	Sounding in Fathoms & Fractions	1/2	N 42 44' 20.800"	W 124 29' 53.300"	42.73911	-124.4981	LNM 19/10, 13th Dist	1799	18589_2	5/13/2010
18589	Add	Sounding in Fathoms & Fractions	2 1/4	N 42 44' 19.900"	W 124 29' 52.400"	42.73886	-124.4979	LNM 19/10, 13th Dist	1799	18589_2	5/13/2010
18589	Add	Sounding in Fathoms & Fractions	2 3/4	N 42 44' 19.100"	W 124 29' 50.900"	42.73864	-124.4975	LNM 19/10, 13th Dist	1799	18589_2	5/13/2010
18589	Add	Sounding in Fathoms & Fractions	3 1/2	N 42 44' 18.600"	W 124 29' 49.000"	42.7385	-124.4969	LNM 19/10, 13th Dist	1799	18589_2	5/13/2010
18589	Add	Sounding in Fathoms & Fractions	1/4	N 42 44' 22.100"	W 124 29' 53.900"	42.73947	-124.4983	LNM 19/10, 13th Dist	1799	18589_2	5/13/2010
18589	Delete	Depth Legend - PORT ORFORD to:	11 FT FOR WIDTH OF 90 FT AUG 2009	N 42 44' 20.200"	W 124 29' 52.600"	42.73895	-124.4979	LNM 19/10, 13th Dist	1799	18589_2	5/13/2010
18589	Add	Sounding in Fathoms & Fractions	1/4	N 42 44' 22.700"	W 124 29' 53.500"	42.73964	-124.4982	LNM 19/10, 13th Dist	1799	18589_2	5/13/2010
18589	Add	Sounding in Fathoms & Fractions	1/2	N 42 44' 21.600"	W 124 29' 53.100"	42.73933	-124.4981	LNM 19/10, 13th Dist	1799	18589_2	5/13/2010
18589	Change	Depth Legend - Port Orford to:	11 FT FOR WIDTH OF 90 FT AUG 2009	N 42 44' 20.200"	W 124 29' 52.600"	42.73895	-124.4979	LNM 09/10, 13th Dist	1799	18589_2	3/4/2010
18589	Delete	Sounding in Fathoms & Fractions	1 3/4	N 42 44' 23.400"	W 124 29' 54.100"	42.73983	-124.4984	LNM 09/10, 13th Dist	1799	18589_2	3/4/2010
18589	Add	Channel Limits - Port Orford Turning Basin PT 1 OF 6	Chart No. 1 I20	N 42 44' 18.770"	W 124 29' 47.940"	42.73855	-124.4967	LNM 50/09, 13th Dist	1799	18589_2	12/10/2009
18589	Add	Channel Limits - Port Orford Turning Basin PT 2 OF 6	Chart No. 1 I20	N 42 44' 20.440"	W 124 29' 52.330"	42.73901	-124.4979	LNM 50/09, 13th Dist	1799	18589_2	12/10/2009
18589	Add	Channel Limits - Port Orford Turning Basin PT 3 OF 6	Chart No. 1 I20	N 42 44' 23.690"	W 124 29' 53.590"	42.73991	-124.4982	LNM 50/09, 13th Dist	1799	18589_2	12/10/2009
18589	Add	Channel Limits - Port Orford Turning Basin PT 4 OF 6	Chart No. 1 I20	N 42 44' 23.450"	W 124 29' 54.740"	42.73985	-124.4985	LNM 50/09, 13th Dist	1799	18589_2	12/10/2009
18589	Add	Channel Limits - Port Orford Turning Basin PT 5 OF 6	Chart No. 1 I20	N 42 44' 19.830"	W 124 29' 53.350"	42.73884	-124.4982	LNM 50/09, 13th Dist	1799	18589_2	12/10/2009
18589	Add	Channel Limits - Port Orford Turning Basin PT 6 OF 6	Chart No. 1 I20	N 42 44' 17.980"	W 124 29' 48.490"	42.73833	-124.4968	LNM 50/09, 13th Dist	1799	18589_2	12/10/2009
18589	Add	Depth Legend -  Port Orford Turning Basin: 14 FT FOR WIDTH OF 90 FT JUN 2009	 14 FT FOR WIDTH OF 90 FT JUN 2009	N 42 44' 20.160"	W 124 29' 52.850"	42.73893	-124.498	LNM 50/09, 13th Dist	1799	18589_2	12/10/2009
18589	Add	Sounding in Fathoms & Fractions	1 1/2	N 42 44' 23.350"	W 124 29' 54.590"	42.73982	-124.4985	LNM 50/09, 13th Dist	1799	18589_2	12/10/2009
18589	Add	Sounding in Fathoms & Fractions	1 3/4	N 42 44' 23.450"	W 124 29' 54.070"	42.73985	-124.4984	LNM 50/09, 13th Dist	1799	18589_2	12/10/2009
18589	Substitute	Sounding in Fathoms & Fractions	1/4	N 42 44' 20.700"	W 124 29' 53.000"	42.73908	-124.4981	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
18589	Add	Sounding in Fathoms & Fractions	1 1/2	N 42 44' 19.800"	W 124 29' 52.600"	42.73883	-124.4979	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
18589	Delete	Sounding in Fathoms & Fractions	1/2	N 42 44' 20.300"	W 124 29' 52.600"	42.73897	-124.4979	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
18589	Delete	Sounding in Fathoms & Fractions	1/2	N 42 44' 19.600"	W 124 29' 51.800"	42.73878	-124.4977	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
18589	Delete	Sounding in Fathoms & Fractions	1/4	N 42 44' 19.400"	W 124 29' 52.800"	42.73872	-124.498	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
18589	Add	Sounding in Fathoms & Fractions	3/4	N 42 44' 23.370"	W 124 29' 47.190"	42.73983	-124.4964	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
18589	Substitute	Sounding in Fathoms 	1	N 42 44' 21.200"	W 124 29' 49.600"	42.73922	-124.4971	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
18589	Substitute	Sounding in Fathoms & Fractions	1/4	N 42 44' 20.900"	W 124 29' 51.300"	42.73914	-124.4976	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
18589	Substitute	Sounding in Fathoms & Fractions	1/2	N 42 44' 23.570"	W 124 29' 48.390"	42.73988	-124.4968	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
18589	Substitute	Sounding in Fathoms & Fractions	3/4	N 42 44' 22.410"	W 124 29' 47.970"	42.73956	-124.4967	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
18589	Substitute	Sounding in Fathoms & Fractions	1 3/4	N 42 44' 21.400"	W 124 29' 46.250"	42.73928	-124.4962	LNM 14/08, 13th Dist	1799	18589_2	4/3/2008
