Chart: 18601, Current Edition: 14, Print Date: Feb. /2007, Cape Sebastian to Humbug Mountain
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18601	Change	Tabulation - Rogue River Channel Depths	Tabulation - Rogue River Channel Depths	N 42 28' 25.000"	W 124 22' 13.000"	42.47361	-124.3703	LNM 23/17, 13th Dist	1801	18601_1	6/8/2017
18601	Change	Tabulation - ROGUE RIVER CHANNEL DEPTHS	Tabulation - ROGUE RIVER CHANNEL DEPTHS	N 42 28' 25.000"	W 124 22' 13.000"	42.47361	-124.3703	LNM 14/17, 13th Dist	1801	18601_1	3/30/2017
18601	Change	Tabulation - Rogue River Channel	Tabulation - Rogue River Channel	N 42 28' 25.000"	W 124 22' 13.000"	42.47361	-124.3703	LNM 04/17, 13th Dist	1801	18601_1	1/19/2017
18601	Change	Tabulation - Rogue River Channel Depths	Tabulation - Rogue River Channel Depths	N 42 28' 25.000"	W 124 22' 13.000"	42.47361	-124.3703	LNM 40/16, 13th Dist	1801	18601_1	9/29/2016
18601	Change	Tabulation - Rogue River Channel Depths	Tabulation - Rogue River Channel Depths	N 42 28' 25.000"	W 124 22' 13.000"	42.47361	-124.3703	LNM 35/16, 13th Dist	1801	18601_1	9/1/2016
18601	Change	Tabulation - Rogue River Channel Depths	Tabulation - Rogue River Channel Depths	N 42 28' 25.000"	W 124 22' 13.000"	42.47361	-124.3703	Not Yet Published	1801	18601_1	2/11/2016
18601	Change	Rogue River Approach Lighted Whistle Buoy R	RW "R" Mo (A) WHIS AIS	N 42 23' 37.546"	W 124 28' 35.402"	42.39376	-124.4765	LNM 42/15, 13th Dist	1801	18601_1	10/29/2015
18601	Add	Channel Limits PT 1 OF 12	Chart No. 1: I20	N 42 24' 32.530"	W 124 26' 41.020"	42.40903	-124.4447	LNM 42/15, 13th Dist	1801	18601_1	10/15/2015
18601	Add	Channel Limits PT 2 OF 12	Chart No. 1: I20	N 42 25' 21.770"	W 124 25' 41.870"	42.42271	-124.4283	LNM 42/15, 13th Dist	1801	18601_1	10/15/2015
18601	Add	Channel Limits PT 3 OF 12	Chart No. 1: I20	N 42 25' 26.380"	W 124 25' 34.960"	42.424	-124.4264	LNM 42/15, 13th Dist	1801	18601_1	10/15/2015
18601	Add	Channel Limits PT 4 OF 12	Chart No. 1: I20	N 42 25' 30.240"	W 124 25' 13.770"	42.42507	-124.4205	LNM 42/15, 13th Dist	1801	18601_1	10/15/2015
18601	Add	Channel Limits PT 5 OF 12	Chart No. 1: I20	N 42 25' 19.800"	W 124 25' 09.530"	42.42216	-124.4193	LNM 42/15, 13th Dist	1801	18601_1	10/15/2015
