Chart: 18643, Current Edition: 18, Print Date: Dec. /2009, Bodega and Tomales Bays;Bodega Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18643	Change	Depth Legend - Bodega Harbor to:	10 FT AUG 2014	N 38 19' 51.100"	W 123 03' 19.100"	38.33086	-123.0553	LNM 48/14, 11th Dist	1818	18643_2	11/27/2014
18643	Change	tabulation - Bodega Harbor Channel	tabulation - Bodega Harbor Channel	N 38 19' 21.000"	W 122 59' 13.000"	38.3225	-122.9869	LNM 47/14, 11th Dist	1817	18643_1	11/27/2014
18643	Change	Bodega Harbor Channel Light 36	Q R 15ft 3M "36"	N 38 19' 52.522"	W 123 03' 07.420"	38.33126	-123.0521	LNM 34/14, 11th Dist	1818	18643_2	9/4/2014
18643	Relocate	Bodega Harbor Channel Light 36	Q R 3M "36"	N 38 19' 52.522"	W 123 03' 07.420"	38.33126	-123.0521	LNM 21/14, 11th Dist	1818	18643_2	6/5/2014
18643	Change	Bodega Harbor Channel Light 36	Q R 3M "36"	N 38 19' 52.522"	W 123 03' 07.420"	38.33126	-123.0521	LNM 21/14, 11th Dist	1818	18643_2	6/5/2014
18643	Relocate	BODEGA HARBOR CHANNEL LIGHT 33	Fl G 2.5s 13ft 3M "33"	N 38 19' 48.893"	W 123 03' 10.100"	38.33025	-123.0528	LNM 02/14, 11th Dist	1818	18643_2	1/30/2014
18643	Change	BODEGA HARBOR ENTRANCE LIGHT	Fl 4s 20ft 5M HORN	N 38 18' 17.626"	W 123 02' 57.559"	38.3049	-123.0493	LNM 50/13, 11th Dist	1818	18643_2	12/18/2013
18643	Change	BODEGA HARBOR ENTRANCE LIGHT	Fl 4s 20ft 5M HORN	N 38 18' 17.626"	W 123 02' 57.559"	38.3049	-123.0493	LNM 50/13, 11th Dist	1817	18643_1	12/18/2013
18643	Relocate	BODEGA HARBOR CHANNEL LIGHT 24	Fl R 4s 15ft 3M "24"	N 38 19' 16.055"	W 123 03' 07.289"	38.32113	-123.052	LNM 44/13, 11th Dist	1818	18643_2	11/6/2013
18643	Change	BODEGA HARBOR CHANNEL RANGE B FRONT LT 5	Q G 18ft 4M "5"	N 38 18' 24.022"	W 123 03' 26.732"	38.30667	-123.0574	LNM 43/13, 11th Dist	1818	18643_2	10/28/2013
18643	Relocate	SPUD POINT MARINA BUOY 3	G C "3"	N 38 19' 50.445"	W 123 03' 15.760"	38.33068	-123.0544	LNM 33/13, 11th Dist	1818	18643_2	8/16/2013
18643	Relocate	BODEGA HARBOR CHANNEL A FRL 3	Q G 18ft "3"	N 38 18' 19.169"	W 123 03' 24.601"	38.30532	-123.0568	LNM 03/13, 11th Dist	1818	18643_2	1/23/2013
18643	Change	BODEGA HARBOR CHANNEL A FRL 3	Q G 18ft "3"	N 38 18' 19.169"	W 123 03' 24.601"	38.30532	-123.0568	LNM 03/13, 11th Dist	1818	18643_2	1/23/2013
18643	Relocate	BODEGA HARBOR CHANNEL AB RRL 	Iso G 6s 30ft	N 38 18' 19.101"	W 123 03' 30.279"	38.30531	-123.0584	LNM 03/13, 11th Dist	1818	18643_2	1/23/2013
18643	Change	BODEGA HARBOR CHANNEL AB RRL 	Iso G 6s 30ft	N 38 18' 19.101"	W 123 03' 30.279"	38.30531	-123.0584	LNM 03/13, 11th Dist	1818	18643_2	1/23/2013
18643	Relocate	BODEGA HARBOR CHANNEL B FRL 5	Q G 18ft "5"	N 38 18' 24.022"	W 123 03' 26.732"	38.30667	-123.0574	LNM 03/13, 11th Dist	1818	18643_2	1/23/2013
18643	Change	BODEGA HARBOR CHANNEL B FRL 5	Q G 18ft "5"	N 38 18' 24.022"	W 123 03' 26.732"	38.30667	-123.0574	LNM 03/13, 11th Dist	1818	18643_2	1/23/2013
