Chart: 18645, Current Edition: 28, Print Date: May. /2013, Gulf of the Farallones;Southeast Farallon
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18645	Change	Depth Note - NOTE G MAIN SHIP CHANNEL SAN FRANCISCO ENTRANCE to:	Depths entering from seaward, surveys to MAR 2017Left outside quarter.....50.0 ftLeft inside quarter........54.0 ftRight inside quarter.....54.0 ft        Right outside quarter...53.0 ft	N 37 42' 19.300"	W 122 27' 14.180"	37.70536	-122.4539	LNM 23/17, 11th Dist	1819	18645_1	6/8/2017
18645	Relocate	Scripps Waverider Lighted Research Buoy 142	Y "142" Fl (5) Y 20s Priv	N 37 47' 10.200"	W 122 38' 03.000"	37.78617	-122.6342	LNM 01/17, 11th Dist	1819	18645_1	1/12/2017
18645	Relocate	Noonday Rock Lighted Bell Buoy 28	R "28" Fl R 4s BELL	N 37 47' 31.670"	W 123 10' 40.491"	37.79213	-123.1779	LNM 31/16, 11th Dist	1819	18645_1	8/11/2016
18645	Change	Point Bonita Light	Oc 4s 124ft 18M HORN MRASS (see note K) AIS	N 37 48' 56.120"	W 122 31' 46.266"	37.81559	-122.5295	LNM 05/16, 11th Dist	1819	18645_1	2/11/2016
18645	Change	Point Bonita Light	Oc 4s 124ft 18M HORN MRASS (see Note K)	N 37 48' 56.120"	W 122 31' 46.266"	37.81559	-122.5295	LNM 39/15, 11th Dist	1819	18645_1	10/15/2015
18645	Relocate	Point Bonita Light	Oc 4s 124ft 18M HORN	N 37 48' 56.120"	W 122 31' 46.266"	37.81559	-122.5295	LNM 39/15, 11th Dist	1819	18645_1	10/15/2015
18645	Add	NOTE K	MARINER ACTIVATED SOUND SIGNAL (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 81A- horn will operate for thirty minutes. 	N 37 32' 30.000"	W 122 28' 45.000"	37.54167	-122.4792	LNM 39/15, 11th Dist	1819	18645_1	10/15/2015
18645	Change	Pillar Point Harbor Entrance Light	Fl 5s 50ft 9M	N 37 29' 38.473"	W 122 29' 04.948"	37.49402	-122.4847	LNM 22/15, 11th Dist	1819	18645_1	6/11/2015
18645	Change	San Francisco Approach Inbound Northern TSS V-AIS 1N	Radio Calling-In Point Chart 1: M40.1 V-AIS "1N" Channel 12	N 37 47' 10.980"	W 122 48' 31.980"	37.78638	-122.8089	LNM 02/15, 11th Dist	1819	18645_1	1/22/2015
18645	Change	San Francisco Approach Inbound Northern TSS V-AIS 2N	Radio Calling-In Point Chart 1: M40.1 V-AIS "2N" Channel 12	N 37 57' 16.980"	W 123 10' 43.980"	37.95472	-123.1789	LNM 02/15, 11th Dist	1819	18645_1	1/22/2015
18645	Change	San Francisco Approach Inbound Southern TSS V-AIS 1S	Radio Calling-In Point Chart 1: M40.1 V-AIS "1S" Channel 12	N 37 39' 10.980"	W 122 39' 47.220"	37.65305	-122.6631	LNM 02/15, 11th Dist	1819	18645_1	1/22/2015
18645	Change	San Francisco Approach Inbound Western TSS V-AIS 1W	Radio Calling-In Point Chart 1: M40.1 V-AIS "1W" Channel 12	N 37 40' 43.980"	W 122 46' 46.980"	37.67888	-122.7797	LNM 02/15, 11th Dist	1819	18645_1	1/22/2015
