Chart: 18654, Current Edition: 45, Print Date: Jan. /2011, San Pablo Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18654	Change	Tabulation - Napa River	Tabulation - Napa River	N 38 15' 51.000"	W 122 18' 51.000"	38.26417	-122.3142	Not Yet Published	1846	18654_1	6/15/2017
18654	Change	Tabulation - PINOLE SHOAL CHANNEL DEPTHS	Tabulation - PINOLE SHOAL CHANNEL DEPTHS	N 37 58' 51.000"	W 122 14' 41.000"	37.98083	-122.2447	LNM 17/17, 11th Dist	1846	18654_1	4/20/2017
18654	Delete	Overhead Power Cable 	OVERHEAD CABLE AUTH CL 70 FT Chart No. 1: D26  	N 38 13' 42.390"	W 122 36' 51.610"	38.22844	-122.6143	LNM 11/17, 11th Dist	1847	18654_2	3/9/2017
18654	Change	Tabulation - NAPA RIVER	Tabulation - NAPA RIVER	N 38 15' 44.200"	W 122 18' 47.050"	38.26228	-122.3131	LNM 08/17, 11th Dist	1846	18654_1	2/16/2017
18654	Change	Tabulation - PINOLE SHOAL CHANNEL DEPTHS	Tabulation - PINOLE SHOAL CHANNEL DEPTHS	N 37 58' 51.000"	W 122 14' 41.000"	37.98083	-122.2447	LNM 49/16, 11th Dist	1846	18654_1	12/1/2016
18654	Delete	NOTE: CAUTION	Fixed and floating obstructions, some submerged, may exist within the magenta tinted bridge construction area. Mariners are advised to proceed with caution.	N 38 12' 02.000"	W 122 36' 55.000"	38.20055	-122.6153	LNM 44/16, 11th Dist	1847	18654_2	10/27/2016
18654	Add	Fixed Bridge Label	FIXED BRIDGE HOR CL 100 FT VERT CL 70 FT	N 38 13' 53.888"	W 122 37' 12.760"	38.23164	-122.6202	LNM 44/16, 11th Dist	1847	18654_2	10/27/2016
18654	Delete	Bridge Construction Label	Bridge under construction	N 38 13' 54.500"	W 122 37' 14.500"	38.2318	-122.6207	LNM 44/16, 11th Dist	1847	18654_2	10/27/2016
18654	Change	Fixed Bridge PT 1 OF 2	Chart No. 1: D22	N 38 13' 44.500"	W 122 36' 56.200"	38.22903	-122.6156	LNM 44/16, 11th Dist	1847	18654_2	10/27/2016
18654	Change	Fixed Bridge PT 2 OF 2	Chart No. 1: D22	N 38 13' 42.400"	W 122 36' 55.100"	38.22844	-122.6153	LNM 44/16, 11th Dist	1847	18654_2	10/27/2016
