Chart: 18655, Current Edition: 59, Print Date: Oct. /2006, Mare Island Strait
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18655	Add	Carquinez Strait Bridge South Channel Fog Signal	BELL Priv	N 38 03' 27.720"	W 122 13' 30.120"	38.0577	-122.225	LNM 12/15, 11th Dist	2914	18655_1	4/2/2015
18655	Relocate	Vallejo Yacht Club Light 1	Fl G 4s 5ft "1" Priv	N 38 06' 17.100"	W 122 16' 03.900"	38.10475	-122.2678	LNM 47/14, 11th Dist	2909	18655_2	12/4/2014
18655	Relocate	Vallejo Yacht Club Light 1	Fl G 4s 5ft "1" Priv	N 38 06' 17.100"	W 122 16' 03.900"	38.10475	-122.2678	LNM 47/14, 11th Dist	2914	18655_1	12/4/2014
18655	Relocate	Vallejo Yacht Club Light 2	Fl R 4s 5ft "2" Priv	N 38 06' 16.600"	W 122 16' 03.400"	38.10461	-122.2676	LNM 47/14, 11th Dist	2909	18655_2	12/4/2014
18655	Relocate	Vallejo Yacht Club Light 2	Fl R 4s 5ft "2" Priv	N 38 06' 16.600"	W 122 16' 03.400"	38.10461	-122.2676	LNM 47/14, 11th Dist	2914	18655_1	12/4/2014
18655	Add	Obstruction in Feet	17 Obstn       	N 38 03' 41.200"	W 122 17' 47.200"	38.06144	-122.2964	LNM 09/14, 11th Dist	2914	18655_1	2/27/2014
18655	Add	Sounding in Feet	17	N 38 05' 42.900"	W 122 15' 50.900"	38.09525	-122.2641	LNM 47/12, 11th Dist	2914	18655_1	11/15/2012
18655	Delete	Sounding in Feet	4	N 38 05' 41.100"	W 122 15' 49.200"	38.09475	-122.2637	LNM 47/12, 11th Dist	2914	18655_1	11/15/2012
18655	Add	Sounding in Feet	25	N 38 05' 41.900"	W 122 15' 48.600"	38.09497	-122.2635	LNM 47/12, 11th Dist	2914	18655_1	11/15/2012
18655	Add	Sounding in Feet	15	N 38 05' 49.300"	W 122 15' 57.000"	38.09703	-122.2658	LNM 47/12, 11th Dist	2914	18655_1	11/15/2012
