Chart: 18656, Current Edition: 56, Print Date: Aug. /2010, Suisun Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18656	Change	Depth Legend - Suisun Bay Side Channel to:	34 FT FEB 2017	N 38 02' 08.500"	W 122 07' 47.500"	38.03569	-122.1299	LNM 15/17, 11th Dist	1849	18656_1	4/13/2017
18656	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 10' 25.000"	W 121 51' 23.000"	38.17361	-121.8564	LNM 15/17, 11th Dist	1849	18656_1	4/13/2017
18656	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 10' 25.000"	W 121 51' 23.000"	38.17361	-121.8564	LNM 06/17, 11th Dist	1849	18656_1	2/2/2017
18656	Change	Tabulation - SUISUN BAY	Tabulation - SUISUN BAY	N 38 10' 25.000"	W 121 51' 23.000"	38.17361	-121.8564	LNM 01/17, 11th Dist	1849	18656_1	1/5/2017
18656	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 10' 25.000"	W 121 51' 23.000"	38.17361	-121.8564	LNM 44/16, 11th Dist	1849	18656_1	10/27/2016
18656	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 10' 25.000"	W 121 51' 23.000"	38.17361	-121.8564	LNM 35/16, 11th Dist	1849	18656_1	9/1/2016
18656	Relocate	New York Slough Light 7	Fl G 4s 15ft 4M "7"	N 38 01' 55.046"	W 121 51' 27.686"	38.03196	-121.8577	LNM 32/16, 11th Dist	1849	18656_1	8/18/2016
18656	Change	Depth Legend - Suisun Point Reach Side Channel to:	32 FT JUN 2016	N 38 02' 05.300"	W 122 07' 55.000"	38.03481	-122.1319	LNM 32/16, 11th Dist	1849	18656_1	8/4/2016
18656	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 10' 25.000"	W 121 51' 23.000"	38.17361	-121.8564	LNM 32/16, 11th Dist	1849	18656_1	8/4/2016
18656	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 10' 25.000"	W 121 51' 23.000"	38.17361	-121.8564	LNM 26/16, 11th Dist	1849	18656_1	6/23/2016
18656	Add	Obstruction in Feet	6 Obstn       Chart No. 1: K41	N 38 04' 35.400"	W 122 05' 02.900"	38.0765	-122.0841	LNM 19/16, 11th Dist	1849	18656_1	5/5/2016
18656	Add	Obstruction in Feet	19 Obstn       Chart No. 1: K41	N 38 04' 23.600"	W 122 05' 21.100"	38.07322	-122.0892	LNM 19/16, 11th Dist	1849	18656_1	5/5/2016
18656	Add	Wreck in Feet	13 Wk      Chart No. 1: K26	N 38 03' 47.400"	W 122 06' 24.300"	38.06317	-122.1068	LNM 19/16, 11th Dist	1849	18656_1	5/5/2016
18656	Change	Depth Legend - Suisun Pt. Reach Side Channel to:	36 FT JUL 2015	N 38 02' 05.300"	W 122 07' 55.000"	38.03481	-122.1319	LNM 41/15, 11th Dist	1849	18656_1	10/8/2015
18656	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 10' 25.000"	W 121 51' 23.000"	38.17361	-121.8564	LNM 40/15, 11th Dist	1849	18656_1	10/8/2015
18656	Change	Suisun Bay Plains Products Pier Light A	Fl R 4s 18ft "A" Priv	N 38 02' 41.000"	W 122 06' 09.000"	38.04472	-122.1025	LNM 38/15, 11th Dist	1849	18656_1	10/1/2015
18656	Change	Depth Legend - Suisun Pt. Reach Side Channel to:	33 FT FEB 2015	N 38 02' 08.500"	W 122 07' 47.500"	38.03569	-122.1299	LNM 26/15, 11th Dist	1849	18656_1	6/25/2015
18656	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 01' 51.000"	W 122 05' 28.000"	38.03083	-122.0911	LNM 26/15, 11th Dist	1849	18656_1	6/25/2015
18656	Change	Tabulation - SUISUN BAY	Tabulation - SUISUN BAY	N 38 10' 25.000"	W 121 51' 23.000"	38.17361	-121.8564	LNM 26/15, 11th Dist	1849	18656_1	6/25/2015
18656	Add	Carquinez Strait Bridge South Channel Fog Signal	BELL Priv	N 38 03' 27.720"	W 122 13' 30.120"	38.0577	-122.225	LNM 12/15, 11th Dist	1849	18656_1	4/2/2015
18656	Change	Suisun Bay North Channel Light 4	Fl R 6s 15ft 4M "4"	N 38 03' 53.354"	W 122 05' 48.073"	38.06482	-122.0967	LNM 07/15, 11th Dist	1849	18656_1	2/26/2015
18656	Change	Sacramento River Deep Water Ship Channel Light 5	Fl G 2.5s 15ft 3M "5"	N 38 03' 56.797"	W 121 50' 08.953"	38.06578	-121.8358	LNM 07/15, 11th Dist	1849	18656_1	2/26/2015
18656	Change	San Joaquin River Light 3	Fl G 2.5s 16ft 3M "3"	N 38 01' 43.334"	W 121 49' 29.862"	38.02871	-121.825	LNM 07/15, 11th Dist	1849	18656_1	2/26/2015
18656	Change	Suisun Bay Light 31	Fl G 6s 15ft 4M "31"	N 38 02' 57.992"	W 121 53' 15.463"	38.04944	-121.8876	LNM 07/15, 11th Dist	1849	18656_1	2/26/2015
18656	Change	Suisun Bay Light 33	Fl G 2.5s 15ft 4M "33"	N 38 03' 39.883"	W 121 52' 18.587"	38.06108	-121.8718	LNM 07/15, 11th Dist	1849	18656_1	2/26/2015
18656	Change	Suisun Slough Entrance Light 10	Fl R 4s 15ft 3M "10"	N 38 07' 08.624"	W 122 03' 43.693"	38.11906	-122.0621	LNM 07/15, 11th Dist	1849	18656_1	2/26/2015
18656	Change	Suisun Slough Entrance Light 9	Fl G 4s 15ft 4M "9"	N 38 06' 29.345"	W 122 03' 22.195"	38.10815	-122.0562	LNM 07/15, 11th Dist	1849	18656_1	2/26/2015
18656	Change	Depth Note - Sacramento River Deep Water Ship Channel to:	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL 162.205 (see note A) Controlling depth for a width of 200 feet was 25.0 feet from the channel entrance (38°03'46.7"N, 121°51'17"W) to Lt. "40", thence 28.0 feet to Lt. "52", thence 31.0 feet to Lt. "60", thence 25.0 feet to the turning basin and 26.0 feet in the turning basin at West Sacramento. April 2014	N 38 09' 29.600"	W 121 48' 59.200"	38.15822	-121.8164	LNM 03/15, 11th Dist	1849	18656_1	1/15/2015
18656	Relocate	Seal Islands Channel Daybeacon 5	G "5"	N 38 03' 12.885"	W 122 03' 22.241"	38.05358	-122.0562	LNM 49/14, 11th Dist	1849	18656_1	12/18/2014
18656	Change	tabulation - Suisun Bay	tabulation - Suisun Bay	N 38 10' 25.000"	W 121 51' 23.000"	38.17361	-121.8564	LNM 50/14, 11th Dist	1849	18656_1	12/11/2014
18656	Delete	Visible Wreck	Chart No. 1: K24	N 38 01' 09.800"	W 121 49' 05.900"	38.01939	-121.8183	LNM 47/14, 11th Dist	1849	18656_1	11/27/2014
