Chart: 18657, Current Edition: 19, Print Date: Nov. /2005, Carquinez Strait
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18657	Change	Depth Legend - Suisun Bay Side Channel to:	34 FEET FOR A WIDTH OF 400 FT FEB 2017	N 38 02' 08.500"	W 122 07' 47.500"	38.03569	-122.1299	LNM 15/17, 11th Dist	1850	18657_1	4/13/2017
18657	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 01' 51.000"	W 122 05' 28.000"	38.03083	-122.0911	LNM 15/17, 11th Dist	1850	18657_1	4/13/2017
18657	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 01' 51.000"	W 122 05' 28.000"	38.03083	-122.0911	LNM 06/17, 11th Dist	1850	18657_1	2/2/2017
18657	Change	Tabulation - SUISUN BAY	Tabulation - SUISUN BAY	N 38 01' 51.000"	W 122 05' 28.000"	38.03083	-122.0911	LNM 01/17, 11th Dist	1850	18657_1	1/5/2017
18657	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 01' 51.000"	W 122 05' 28.000"	38.03083	-122.0911	LNM 44/16, 11th Dist	1850	18657_1	10/27/2016
18657	Change	Depth Legend - Suisun Point Reach Side Channel to:	32 FT FOR A WIDTH OF 400 FT JUN 2016	N 38 02' 08.500"	W 122 07' 47.500"	38.03569	-122.1299	LNM 32/16, 11th Dist	1850	18657_1	8/4/2016
18657	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 01' 51.000"	W 122 05' 28.000"	38.03083	-122.0911	LNM 32/16, 11th Dist	1850	18657_1	8/4/2016
18657	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 01' 51.000"	W 122 05' 28.000"	38.03083	-122.0911	LNM 26/16, 11th Dist	1850	18657_1	6/23/2016
18657	Add	Obstruction in Feet	6 Obstn       Chart No. 1: K41	N 38 04' 35.400"	W 122 05' 02.900"	38.0765	-122.0841	LNM 19/16, 11th Dist	1850	18657_1	5/5/2016
18657	Add	Obstruction in Feet	19 Obstn       Chart No. 1: K41	N 38 04' 23.600"	W 122 05' 21.100"	38.07322	-122.0892	LNM 19/16, 11th Dist	1850	18657_1	5/5/2016
18657	Add	Wreck in Feet	13 Wk      Chart No. 1: K26	N 38 03' 47.400"	W 122 06' 24.300"	38.06317	-122.1068	LNM 19/16, 11th Dist	1850	18657_1	5/5/2016
18657	Change	Depth Legend - Suisun Pt. Reach Side Channel to:	36 FEET FOR WIDTH OF 400 FT JUL 2015	N 38 02' 08.500"	W 122 07' 47.500"	38.03569	-122.1299	LNM 41/15, 11th Dist	1850	18657_1	10/8/2015
18657	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 01' 51.000"	W 122 05' 28.000"	38.03083	-122.0911	LNM 40/15, 11th Dist	1850	18657_1	10/8/2015
18657	Change	Suisun Bay Plains Products Pier Light A	Fl R 4s 18ft "A" Priv	N 38 02' 41.000"	W 122 06' 09.000"	38.04472	-122.1025	LNM 38/15, 11th Dist	1850	18657_1	10/1/2015
18657	Change	Suisun Bay Plains Products Pier Light B	Fl R 4s 18ft "B" Priv	N 38 02' 43.000"	W 122 06' 06.000"	38.04528	-122.1017	LNM 38/15, 11th Dist	1850	18657_1	10/1/2015
18657	Change	Suisun Bay Plains Products Pier Light C	Fl R 4s 18ft "C" Priv	N 38 02' 45.000"	W 122 06' 02.000"	38.04583	-122.1006	LNM 38/15, 11th Dist	1850	18657_1	10/1/2015
18657	Change	Suisun Bay Plains Products Pier Light D	Fl R 4s 18ft "D" Priv	N 38 02' 46.000"	W 122 05' 59.000"	38.04611	-122.0997	LNM 38/15, 11th Dist	1850	18657_1	10/1/2015
18657	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 01' 51.000"	W 122 05' 28.000"	38.03083	-122.0911	LNM 26/15, 11th Dist	1850	18657_1	6/25/2015
18657	Change	Depth Legend - Suisun Pt. Reach Side Channel to:	33 FEET FOR WIDTH OF 400 FT FEB 2015	N 38 02' 08.500"	W 122 07' 47.500"	38.03569	-122.1299	LNM 26/15, 11th Dist	1850	18657_1	6/25/2015
18657	Change	Obstruction in Feet	24 Obstn       Chart No. 1: K41	N 38 02' 44.900"	W 122 06' 38.800"	38.04581	-122.1108	LNM 18/15, 11th Dist	1850	18657_1	5/7/2015
18657	Change	Obstruction in Feet	35 Obstn       Chart No. 1: K41	N 38 01' 42.300"	W 122 08' 28.900"	38.02842	-122.1414	LNM 17/15, 11th Dist	1850	18657_1	4/30/2015
18657	Change	Suisun Bay North Channel Light 4	Fl R 6s 15ft 4M "4"	N 38 03' 53.354"	W 122 05' 48.073"	38.06482	-122.0967	LNM 07/15, 11th Dist	1850	18657_1	2/26/2015
18657	Change	tabulation - Suisun Bay	tabulation - Suisun Bay	N 38 01' 51.000"	W 122 05' 28.000"	38.03083	-122.0911	LNM 50/14, 11th Dist	1850	18657_1	12/11/2014
18657	Add	Shoaling Label	Shoaling 2014	N 38 02' 03.790"	W 122 09' 44.920"	38.03439	-122.1625	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 1 OF 16	dashed black line	N 38 02' 36.750"	W 122 10' 03.780"	38.04354	-122.1677	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 2 OF 16	dashed black line	N 38 02' 35.100"	W 122 09' 55.150"	38.04308	-122.1653	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 3 OF 16	dashed black line	N 38 02' 33.130"	W 122 09' 47.960"	38.04254	-122.1633	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 4 OF 16	dashed black line	N 38 02' 24.650"	W 122 09' 29.630"	38.04018	-122.1582	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 5 OF 16	dashed black line	N 38 02' 15.400"	W 122 09' 18.490"	38.03761	-122.1551	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 6 OF 16	dashed black line	N 38 02' 10.690"	W 122 09' 18.490"	38.0363	-122.1551	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 7 OF 16	dashed black line	N 38 02' 05.630"	W 122 09' 20.720"	38.0349	-122.1558	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 8 OF 16	dashed black line	N 38 02' 01.500"	W 122 09' 27.450"	38.03375	-122.1576	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 9 OF 16	dashed black line	N 38 01' 57.070"	W 122 09' 36.390"	38.03252	-122.1601	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 10 OF 16	dashed black line	N 38 01' 56.720"	W 122 09' 41.190"	38.03242	-122.1614	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 11 OF 16	dashed black line	N 38 01' 57.750"	W 122 09' 44.360"	38.03271	-122.1623	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 12 OF 16	dashed black line	N 38 02' 02.380"	W 122 09' 49.240"	38.03399	-122.1637	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 13 OF 16	dashed black line	N 38 02' 09.830"	W 122 09' 54.900"	38.03606	-122.1653	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 14 OF 16	dashed black line	N 38 02' 22.340"	W 122 10' 00.460"	38.03954	-122.1668	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 15 OF 16	dashed black line	N 38 02' 35.850"	W 122 10' 04.870"	38.04329	-122.168	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling PT 16 OF 16	dashed black line	N 38 02' 36.750"	W 122 10' 03.780"	38.04354	-122.1677	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
18657	Add	Shoaling Label	Shoaling 2014	N 38 02' 19.810"	W 122 09' 33.680"	38.03884	-122.1594	LNM 37/14, 11th Dist	1850	18657_1	9/18/2014
