Chart: 18658, Current Edition: 31, Print Date: Sep. /2007, SUISUN BAY-Roe Island and vicinity
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18658	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 15/17, 11th Dist	1851	18658_1	4/13/2017
18658	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 06/17, 11th Dist	1851	18658_1	2/2/2017
18658	Change	Tabulation - SUISUN BAY	Tabulation - SUISUN BAY	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 01/17, 11th Dist	1851	18658_1	1/5/2017
18658	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 44/16, 11th Dist	1851	18658_1	10/27/2016
18658	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 32/16, 11th Dist	1851	18658_1	8/4/2016
18658	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 26/16, 11th Dist	1851	18658_1	6/23/2016
18658	Add	Obstruction in Feet	6 Obstn       Chart No. 1: K41	N 38 04' 35.400"	W 122 05' 02.900"	38.0765	-122.0841	LNM 19/16, 11th Dist	1851	18658_1	5/5/2016
18658	Add	Obstruction in Feet	19 Obstn       Chart No. 1: K41	N 38 04' 23.600"	W 122 05' 21.100"	38.07322	-122.0892	LNM 19/16, 11th Dist	1851	18658_1	5/5/2016
18658	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 40/15, 11th Dist	1851	18658_1	10/29/2015
18658	Change	Suisun Bay Plains Products Pier Light B	Fl R 4s 18ft "B" Priv	N 38 02' 43.000"	W 122 06' 06.000"	38.04528	-122.1017	LNM 38/15, 11th Dist	1851	18658_1	10/1/2015
18658	Change	Suisun Bay Plains Products Pier Light C	Fl R 4s 18ft "C" Priv	N 38 02' 45.000"	W 122 06' 02.000"	38.04583	-122.1006	LNM 38/15, 11th Dist	1851	18658_1	10/1/2015
18658	Change	Suisun Bay Plains Products Pier Light D	Fl R 4s 18ft "D" Priv	N 38 02' 46.000"	W 122 05' 59.000"	38.04611	-122.0997	LNM 38/15, 11th Dist	1851	18658_1	10/1/2015
18658	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 26/15, 11th Dist	1851	18658_1	6/25/2015
18658	Change	Obstruction in Feet	11 Obstn       Chart No. 1: K41	N 38 03' 41.800"	W 121 59' 44.800"	38.06161	-121.9958	LNM 18/15, 11th Dist	1851	18658_1	5/7/2015
18658	Change	Wreck in Feet	23 Wk      Chart No. 1: K26	N 38 03' 46.100"	W 122 01' 04.400"	38.06281	-122.0179	LNM 18/15, 11th Dist	1851	18658_1	5/7/2015
18658	Change	Obstruction in Feet	26 Obstn       Chart No. 1: K41	N 38 03' 41.500"	W 122 00' 14.900"	38.06153	-122.0041	LNM 17/15, 11th Dist	1851	18658_1	4/30/2015
18658	Change	Obstruction in Feet	33 Obstn       Chart No. 1: K41	N 38 03' 38.800"	W 122 00' 15.400"	38.06078	-122.0043	LNM 17/15, 11th Dist	1851	18658_1	4/30/2015
18658	Change	Suisun Bay North Channel Light 4	Fl R 6s 15ft 4M "4"	N 38 03' 53.354"	W 122 05' 48.073"	38.06482	-122.0967	LNM 07/15, 11th Dist	1851	18658_1	2/26/2015
18658	Relocate	Seal Islands Channel Daybeacon 5	G "5"	N 38 03' 12.885"	W 122 03' 22.241"	38.05358	-122.0562	LNM 49/14, 11th Dist	1851	18658_1	12/18/2014
18658	Change	tabulation - Suisun Bay	tabulation - Suisun Bay	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 50/14, 11th Dist	1851	18658_1	12/11/2014
18658	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 26/14, 11th Dist	1851	18658_1	6/26/2014
18658	Change	tabulation - SUISAN BAY	tabulation - SUISAN BAY	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 02/14, 11th Dist	1851	18658_1	1/9/2014
18658	Delete	SUISUN BAY BUOY 1	G C "1"	N 38 03' 56.573"	W 122 00' 52.026"	38.06572	-122.0145	LNM 47/13, 11th Dist	1851	18658_1	12/3/2013
18658	Delete	SUISUN BAY BUOY 2	R N "2"	N 38 03' 52.643"	W 122 00' 53.550"	38.06462	-122.0149	LNM 47/13, 11th Dist	1851	18658_1	12/3/2013
18658	Delete	SUISUN BAY BUOY 4	R N "4"	N 38 03' 50.693"	W 122 00' 43.152"	38.06408	-122.012	LNM 47/13, 11th Dist	1851	18658_1	12/3/2013
18658	Delete	SUISUN BAY BUOY 5	G C "5"	N 38 03' 50.272"	W 122 00' 27.071"	38.06396	-122.0075	LNM 47/13, 11th Dist	1851	18658_1	12/3/2013
18658	Delete	SUISUN BAY BUOY 6	R N "6"	N 38 03' 47.915"	W 122 00' 29.166"	38.06331	-122.0081	LNM 47/13, 11th Dist	1851	18658_1	12/3/2013
18658	Delete	SUISUN BAY BUOY 3	G C "3"	N 38 03' 56.673"	W 122 00' 40.732"	38.06574	-122.0113	LNM 47/13, 11th Dist	1851	18658_1	12/3/2013
18658	Add	SUISUN BAY BUOY A	Y "A"	N 38 03' 49.959"	W 122 00' 53.524"	38.06388	-122.0149	LNM 47/13, 11th Dist	1851	18658_1	12/3/2013
18658	Add	SUISUN BAY BUOY B	Y "B"	N 38 03' 43.992"	W 122 00' 19.975"	38.06222	-122.0055	LNM 47/13, 11th Dist	1851	18658_1	12/3/2013
18658	Delete	SUISUN BAY BUOY 8	R N "8"	N 38 03' 44.260"	W 122 00' 11.672"	38.06229	-122.0032	LNM 47/13, 11th Dist	1851	18658_1	12/3/2013
18658	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 02' 11.000"	W 122 02' 30.000"	38.03639	-122.0417	LNM 28/13, 11th Dist	1851	18658_1	7/4/2013
18658	Relocate	POINT EDITH CROSSING SOUTH RF LT	Q 25ft Ra Ref	N 38 02' 56.106"	W 122 05' 23.270"	38.04892	-122.0898	LNM 17/13, 11th Dist	1851	18658_1	5/6/2013
18658	Change	POINT EDITH CROSSING SOUTH RF LT	Q 25ft Ra Ref	N 38 02' 56.106"	W 122 05' 23.270"	38.04892	-122.0898	LNM 17/13, 11th Dist	1851	18658_1	5/6/2013
18658	Relocate	POINT EDITH CROSSING SOUTH RR LT	Iso 6s 31ft Ra Ref	N 38 02' 48.911"	W 122 05' 36.854"	38.04692	-122.0936	LNM 17/13, 11th Dist	1851	18658_1	5/6/2013
18658	Change	POINT EDITH CROSSING SOUTH RR LT	Iso 6s 31ft Ra Ref	N 38 02' 48.911"	W 122 05' 36.854"	38.04692	-122.0936	LNM 17/13, 11th Dist	1851	18658_1	5/6/2013
18658	Add	Safety Zone Label	SAFETY ZONE 165.1198 (see note A)	N 38 03' 06.600"	W 121 58' 45.900"	38.05183	-121.9794	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 1 OF 7	None	N 38 03' 09.300"	W 122 03' 35.700"	38.05258	-122.0599	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 2 OF 7	None	N 38 03' 27.200"	W 122 03' 38.100"	38.05756	-122.0606	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 3 OF 7	None	N 38 04' 00.000"	W 122 03' 30.200"	38.06667	-122.0584	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 4 OF 7	None	N 38 04' 34.700"	W 122 03' 00.000"	38.07631	-122.05	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 5 OF 7	None	N 38 05' 00.000"	W 122 01' 42.900"	38.08333	-122.0286	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 6 OF 7	None	N 38 05' 01.600"	W 122 01' 23.200"	38.08378	-122.0231	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 7 OF 7	None	N 38 05' 01.900"	W 122 01' 14.900"	38.08386	-122.0208	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone Label	SAFETY ZONE 165.1198 (see note A)	N 38 03' 34.200"	W 122 03' 15.500"	38.0595	-122.0543	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone Label	SAFETY ZONE 165.1198 (see note A)	N 38 04' 54.300"	W 122 01' 38.800"	38.08175	-122.0274	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone Label	SAFETY ZONE 165.1198 (see note A)	N 38 04' 35.300"	W 121 59' 32.400"	38.07647	-121.9923	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone Label	SAFETY ZONE 165.1198 (see note A)	N 38 04' 07.000"	W 122 02' 21.100"	38.06861	-122.0392	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone Label	SAFETY ZONE 165.1198 (see note A)	N 38 03' 58.600"	W 122 00' 30.300"	38.06628	-122.0084	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 1 OF 2	None	N 38 04' 35.500"	W 121 58' 51.600"	38.07653	-121.981	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 2 OF 2	None	N 38 04' 28.000"	W 121 58' 39.700"	38.07444	-121.9777	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 1 OF 2	None	N 38 04' 54.200"	W 121 59' 59.800"	38.08172	-121.9999	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Add	Safety Zone PT 2 OF 2	None	N 38 04' 50.400"	W 121 59' 30.600"	38.08067	-121.9918	LNM 17/13, 11th Dist	1851	18658_1	4/15/2013
18658	Delete	SUISAN BAY BUOY 7	G C "7"	N 38 03' 47.591"	W 122 00' 10.110"	38.06322	-122.0028	LNM 14/13, 11th Dist	1851	18658_1	4/8/2013
18658	Relocate	ROE ISLAND CHANNEL RF LT	Q 23ft	N 38 04' 00.335"	W 122 02' 47.956"	38.06676	-122.0467	LNM 43/12, 11th Dist	1851	18658_1	10/31/2012
18658	Change	ROE ISLAND CHANNEL RF LT	Q 23ft	N 38 04' 00.335"	W 122 02' 47.956"	38.06676	-122.0467	LNM 43/12, 11th Dist	1851	18658_1	10/31/2012
