Chart: 18661, Current Edition: 30, Print Date: Mar. /2009, Sacramento and San Joaquin Rivers Old River, Middle River and San Joaquin River extension;Sherman Island
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18661	Change	Tabulation - SAN JOAQUIN RIVER - STOCKTON DEEP WATER CHANNEL	Tabulation - SAN JOAQUIN RIVER - STOCKTON DEEP WATER CHANNEL	N 38 06' 52.000"	W 121 22' 44.000"	38.11444	-121.3789	LNM 09/17, 11th Dist	1855	18661_1	2/23/2017
18661	Change	Tabulation - SAN JOAQUIN RIVER - STOCKTON DEEP WATER CHANNEL	Tabulation - SAN JOAQUIN RIVER - STOCKTON DEEP WATER CHANNEL	N 38 01' 53.000"	W 121 20' 00.000"	38.03139	-121.3333	LNM 09/17, 11th Dist	1855	18661_1	2/23/2017
18661	Add	Obstruction reported	Obstn Rep (2016)	N 38 07' 22.000"	W 121 41' 55.000"	38.12278	-121.6986	WNM 50/16, NGA	1855	18661_1	12/8/2016
18661	Change	Overhead Power Cable	TOWER OVHD PWR CAB AUTH CL 120.7 FT”	N 38 03' 31.000"	W 121 46' 44.000"	38.05861	-121.7789	WNM 49/16, NGA	1855	18661_1	12/1/2016
18661	Add	Visible Wreck	Chart No. 1: K24	N 38 02' 49.900"	W 121 29' 59.650"	38.0472	-121.4999	LNM 06/16, 11th Dist	1855	18661_1	2/4/2016
18661	Delete	Overhead Power Cable  PT 1 OF 2	Chart No. 1: D26  	N 37 56' 57.525"	W 121 20' 13.397"	37.94931	-121.3371	LNM 06/16, 11th Dist	1855	18661_1	2/4/2016
18661	Delete	Overhead Power Cable  PT 2 OF 2	Chart No. 1: D26  	N 37 56' 56.933"	W 121 20' 08.462"	37.94915	-121.3357	LNM 06/16, 11th Dist	1855	18661_1	2/4/2016
18661	Delete	Overhead Power Cable  PT 1 OF 2	Chart No. 1: D26  	N 37 57' 04.819"	W 121 18' 51.129"	37.95134	-121.3142	LNM 06/16, 11th Dist	1855	18661_1	2/4/2016
18661	Delete	Overhead Power Cable  PT 2 OF 2	Chart No. 1: D26  	N 37 57' 05.003"	W 121 18' 47.365"	37.95139	-121.3132	LNM 06/16, 11th Dist	1855	18661_1	2/4/2016
18661	Add	Fixed Bridge	Chart No. 1: D22	N 37 57' 09.000"	W 121 18' 20.500"	37.9525	-121.3057	LNM 06/16, 11th Dist	1855	18661_1	2/4/2016
