Chart: 18662, Current Edition: 22, Print Date: May. /2009, Sacramento River Andrus Island to Sacramento
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18662	Change	Depth Note - Sacramento River Deep Water Ship Channel to:	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL 162.205 (see note A) Controlling depth for a width of 200 feet was 25.0 feet from the channel entrance (38°03'46.7"N, 121°51'17"W) to Lt. "40", thence 28.0 feet to Lt. "52", thence 31.0 feet to Lt. "60", thence 25.0 feet to the turning basin and 26.0 feet in the turning basin at West Sacramento. April 2014	N 38 31' 25.100"	W 121 36' 20.400"	38.52364	-121.6057	LNM 03/15, 11th Dist	1857	18662_1	1/15/2015
18662	Change	Depth Note - Sacramento River Deep Water Ship Channel to:	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL 162.205 (see note A) Controlling depth for a width of 200 feet was 25.0 feet from the channel entrance (38°03'46.7"N, 121°51'17"W) to Lt. "40", thence 28.0 feet to Lt. "52", thence 31.0 feet to Lt. "60", thence 25.0 feet to the turning basin and 26.0 feet in the turning basin at West Sacramento. April 2014	N 38 14' 40.591"	W 121 38' 21.878"	38.24461	-121.6394	LNM 03/15, 11th Dist	1857	18662_1	1/15/2015
18662	Change	Sacramento River Deep Water Ship Channel Light 71	Fl G 4s 18ft 4M "71"	N 38 28' 24.460"	W 121 35' 07.210"	38.47346	-121.5853	LNM 50/14, 11th Dist	1857	18662_1	12/25/2014
18662	Add	 Obstruction	Obstn	N 38 30' 17.400"	W 121 35' 04.200"	38.50483	-121.5845	LNM 39/14, 11th Dist	1857	18662_1	10/9/2014
18662	Change	Sacramento River Deep Water Ship Channel Light 81	Fl G 4s 22ft 4M "81"	N 38 33' 16.550"	W 121 34' 39.324"	38.5546	-121.5776	LNM 24/14, 11th Dist	1857	18662_1	6/26/2014
18662	Change	Sacramento River Deep Water Ship Channel Light 84	Fl R 4s 22ft 4M "84"	N 38 33' 31.376"	W 121 34' 02.239"	38.55872	-121.5673	LNM 24/14, 11th Dist	1857	18662_1	6/26/2014
18662	Change	Sacramento River Deep Water Ship Channel Light 85	Fl G 4s 22ft 4M "85"	N 38 33' 43.000"	W 121 33' 24.555"	38.56194	-121.5568	LNM 24/14, 11th Dist	1857	18662_1	6/26/2014
18662	Change	Sacramento River Deep Water Ship Channel Light 86	Fl R 4s 22ft 4M "86"	N 38 33' 37.868"	W 121 33' 23.391"	38.56052	-121.5565	LNM 24/14, 11th Dist	1857	18662_1	6/26/2014
18662	Relocate	Sacramento River Deep Water Ship Channel Light 84	Fl R 4s 22ft 4M "84"	N 38 33' 31.376"	W 121 34' 02.239"	38.55872	-121.5673	LNM 24/14, 11th Dist	1857	18662_1	6/26/2014
18662	Relocate	Sacramento River Deep Water Ship Channel Light 85	Fl G 4s 22ft 4M "85"	N 38 33' 43.000"	W 121 33' 24.555"	38.56194	-121.5568	LNM 24/14, 11th Dist	1857	18662_1	6/26/2014
18662	Relocate	Sacramento River Deep Water Ship Channel Light 86	Fl R 4s 22ft 4M "86"	N 38 33' 37.868"	W 121 33' 23.391"	38.56052	-121.5565	LNM 24/14, 11th Dist	1857	18662_1	6/26/2014
18662	Change	Sacramento River Deep Water Ship Channel Light 67	Fl G 4s 18ft 4M "67"	N 38 26' 10.929"	W 121 36' 07.691"	38.43637	-121.6021	LNM 23/14, 11th Dist	1857	18662_1	6/19/2014
18662	Change	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LT 74	Fl R 4s 22ft 4M "74"	N 38 30' 22.482"	W 121 35' 00.939"	38.50624	-121.5836	LNM 10/14, 11th Dist	1857	18662_1	3/20/2014
18662	Change	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LT 57	Fl G 4s 23ft 4M "57"	N 38 18' 24.246"	W 121 39' 17.352"	38.30674	-121.6548	LNM 09/14, 11th Dist	1857	18662_1	3/13/2014
18662	Relocate	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LT 55	Fl G 4s 25ft 4M "55"	N 38 16' 32.789"	W 121 39' 43.735"	38.27578	-121.6621	LNM 08/14, 11th Dist	1857	18662_1	3/6/2014
18662	Change	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LT 72	Fl R 2.5s 23ft 4M "72"	N 38 28' 25.290"	W 121 35' 00.570"	38.47369	-121.5835	LNM 08/14, 11th Dist	1857	18662_1	3/6/2014
18662	Add	Pier PT 1 OF 2	None	N 38 32' 09.800"	W 121 31' 02.300"	38.53606	-121.5173	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Add	Pier PT 2 OF 2	None	N 38 32' 09.200"	W 121 31' 01.500"	38.53589	-121.5171	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Add	Pier PT 1 OF 3	None	N 38 32' 04.900"	W 121 31' 09.800"	38.53469	-121.5194	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Add	Pier PT 2 OF 3	None	N 38 32' 06.800"	W 121 31' 06.000"	38.53522	-121.5183	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Add	Pier PT 3 OF 3	None	N 38 32' 12.000"	W 121 30' 59.700"	38.53667	-121.5166	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Delete	Ruins PT 1 OF 2	Ruins    	N 38 32' 09.200"	W 121 31' 03.600"	38.53589	-121.5177	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Delete	Ruins PT 2 OF 2	Ruins    	N 38 32' 08.370"	W 121 31' 02.370"	38.53566	-121.5173	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Add	Pier PT 1 OF 2	None	N 38 32' 05.900"	W 121 31' 07.900"	38.53497	-121.5189	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Add	Pier PT 2 OF 2	None	N 38 32' 05.100"	W 121 31' 07.400"	38.53475	-121.5187	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Delete	ruins and label PT 1 OF 2	Ruins	N 38 32' 04.900"	W 121 31' 10.400"	38.53469	-121.5196	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Delete	ruins and label PT 2 OF 2	Ruins	N 38 32' 11.200"	W 121 31' 00.800"	38.53645	-121.5169	LNM 43/13, 11th Dist	1857	18662_1	10/21/2013
18662	Change	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LIGHT 66	Fl R 4s 18ft 4M "66"	N 38 24' 16.010"	W 121 36' 52.413"	38.40445	-121.6146	LNM 35/13, 11th Dist	1857	18662_1	9/3/2013
18662	Change	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LIGHT 80	Fl R 2.5s 22ft 4M "80"	N 38 32' 46.215"	W 121 34' 54.717"	38.54617	-121.5819	LNM 35/13, 11th Dist	1857	18662_1	9/3/2013
18662	Change	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LT 51	Q G 25ft 4M "51"	N 38 14' 14.679"	W 121 40' 26.100"	38.23741	-121.6739	LNM 14/13, 11th Dist	1857	18662_1	4/8/2013
18662	Change	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LT 54	Fl R 4s 15ft 4M "54" 	N 38 15' 21.517"	W 121 39' 58.906"	38.25598	-121.6664	LNM 14/13, 11th Dist	1857	18662_1	4/8/2013
18662	Change	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LT 60	Fl R 4s 25ft 4M "60" 	N 38 19' 59.725"	W 121 38' 47.819"	38.33326	-121.6466	LNM 14/13, 11th Dist	1857	18662_1	4/8/2013
18662	Change	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LT 62	Fl R 4s 25ft 4M "62" 	N 38 20' 29.420"	W 121 38' 37.586"	38.34151	-121.6438	LNM 14/13, 11th Dist	1857	18662_1	4/8/2013
18662	Relocate	SACRAMENTO RIVER DEEP WATER SHIP CHANNEL LT 62	Fl R 4s 25ft 4M "62" 	N 38 20' 29.420"	W 121 38' 37.586"	38.34151	-121.6438	LNM 14/13, 11th Dist	1857	18662_1	4/8/2013
18662	Relocate	SACRAMENTO DEEP WATER CHANNEL RANGE B REAR LT	Iso 6s 38ft	N 38 20' 49.081"	W 121 38' 39.465"	38.34697	-121.6443	LNM 51/12, 11th Dist	1857	18662_1	1/7/2013
18662	Change	SACRAMENTO DEEP WATER CHANNEL RANGE B REAR LT	Iso 6s 38ft	N 38 20' 49.081"	W 121 38' 39.465"	38.34697	-121.6443	LNM 51/12, 11th Dist	1857	18662_1	1/7/2013
18662	Relocate	SACRAMENTO DEEP WATER CHANNEL RANGE A FRONT LT 59	Q G 26ft "59"	N 38 20' 00.825"	W 121 38' 54.288"	38.33356	-121.6484	LNM 51/12, 11th Dist	1857	18662_1	1/7/2013
18662	Change	SACRAMENTO DEEP WATER CHANNEL RANGE A FRONT LT 59	Q G 26ft "59"	N 38 20' 00.825"	W 121 38' 54.288"	38.33356	-121.6484	LNM 51/12, 11th Dist	1857	18662_1	1/7/2013
18662	Change	SACRAMENTO DEEP WATER CHANNEL RANGE A REAR LT	Iso 6s 41ft	N 38 19' 45.909"	W 121 39' 01.211"	38.32942	-121.6503	LNM 51/12, 11th Dist	1857	18662_1	1/7/2013
18662	Relocate	SACRAMENTO DEEP WATER CHANNEL RANGE B FRONT LT 61	Q G 27ft "61"	N 38 20' 31.184"	W 121 38' 43.732"	38.342	-121.6455	LNM 51/12, 11th Dist	1857	18662_1	1/7/2013
18662	Change	SACRAMENTO DEEP WATER CHANNEL RANGE B FRONT LT 61	Q G 27ft "61"	N 38 20' 31.184"	W 121 38' 43.732"	38.342	-121.6455	LNM 51/12, 11th Dist	1857	18662_1	1/7/2013
18662	Relocate	SACRAMENTO DEEP WATER CHANNEL RANGE C FRONT LT 70	Q R 21ft "70"	N 38 28' 10.356"	W 121 35' 03.927"	38.46954	-121.5844	LNM 51/12, 11th Dist	1857	18662_1	1/7/2013
18662	Change	SACRAMENTO DEEP WATER CHANNEL RANGE C FRONT LT 70	Q R 21ft "70"	N 38 28' 10.356"	W 121 35' 03.927"	38.46954	-121.5844	LNM 51/12, 11th Dist	1857	18662_1	1/7/2013
