Chart: 18663, Current Edition: 6, Print Date: Apr. /2006, San Joaquin River Stockton Deep Water Channel Medford Island to Stockton
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18663	Add	Visible Wreck	Chart No. 1: K24	N 38 02' 49.930"	W 121 29' 59.320"	38.0472	-121.4998	LNM 06/16, 11th Dist	1945	18663_1	2/11/2016
18663	Add	Visible Wreck	Chart No. 1: K24	N 38 02' 49.490"	W 121 30' 00.170"	38.04708	-121.5	LNM 06/16, 11th Dist	1945	18663_1	2/11/2016
18663	Delete	Overhead Power Cable  PT 1 OF 2	Chart No. 1: D26  	N 37 56' 57.525"	W 121 20' 13.397"	37.94931	-121.3371	LNM 06/16, 11th Dist	1945	18663_1	2/11/2016
18663	Delete	Overhead Power Cable  PT 2 OF 2	Chart No. 1: D26  	N 37 56' 56.933"	W 121 20' 08.462"	37.94915	-121.3357	LNM 06/16, 11th Dist	1945	18663_1	2/11/2016
18663	Delete	Overhead Power Cable  PT 1 OF 2	Chart No. 1: D26  	N 37 57' 04.819"	W 121 18' 51.129"	37.95134	-121.3142	LNM 06/16, 11th Dist	1945	18663_1	2/11/2016
18663	Delete	Overhead Power Cable  PT 2 OF 2	Chart No. 1: D26  	N 37 57' 05.003"	W 121 18' 47.365"	37.95139	-121.3132	LNM 06/16, 11th Dist	1945	18663_1	2/11/2016
18663	Add	Fixed Bridge	Chart No. 1: D22	N 37 57' 09.000"	W 121 18' 20.500"	37.9525	-121.3057	LNM 06/16, 11th Dist	1945	18663_1	2/11/2016
18663	Add	Dangerous Wreck	Chart No. 1: K28	N 38 02' 45.980"	W 121 29' 58.820"	38.0461	-121.4997	LNM 06/16, 11th Dist	1945	18663_1	2/11/2016
18663	Change	tabulation - San Joaquin River - Stockton Deep Water Channel	tabulation - San Joaquin River - Stockton Deep Water Channel	N 37 59' 01.000"	W 121 26' 22.000"	37.98361	-121.4394	LNM 41/15, 11th Dist	1945	18663_1	10/29/2015
18663	Relocate	Stockton Channel Range H Rear Light	Iso G 6s 43ft	N 37 59' 00.090"	W 121 23' 04.701"	37.98336	-121.3846	LNM 34/15, 11th Dist	1945	18663_1	9/3/2015
18663	Change	Stockton Channel Range H Rear Light	Iso G 6s 43ft	N 37 59' 00.090"	W 121 23' 04.701"	37.98336	-121.3846	LNM 34/15, 11th Dist	1945	18663_1	9/3/2015
18663	Change	Stockton Channel Range E Front Light	Q G 23ft	N 38 01' 24.312"	W 121 27' 55.373"	38.02342	-121.4654	LNM 07/15, 11th Dist	1945	18663_1	2/26/2015
18663	Change	tabulation - San Joaquin River-Stockton Deep Water Channel	tabulation - San Joaquin River-Stockton Deep Water Channel	N 37 59' 01.000"	W 121 26' 22.000"	37.98361	-121.4394	LNM 38/14, 11th Dist	1945	18663_1	9/18/2014
