Chart: 18665, Current Edition: 11, Print Date: Aug. /2004, Lake Tahoe
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18665	Relocate	Lake Tahoe Buoy I	W Or C "I"	N 39 10' 31.996"	W 120 06' 52.839"	39.17556	-120.1147	LNM 33/16, 11th Dist	1865	18665_1	8/25/2016
18665	Relocate	Lake Tahoe Restricted Area Daybeacon H	W "H"	N 38 56' 16.927"	W 120 01' 45.381"	38.93803	-120.0293	LNM 49/14, 11th Dist	1865	18665_1	12/18/2014
18665	Relocate	Lake Tahoe Restricted Area Daybeacon A	W "A"	N 38 56' 41.223"	W 120 04' 09.098"	38.94479	-120.0692	LNM 48/14, 11th Dist	1865	18665_1	12/11/2014
18665	Relocate	Lake Tahoe Restricted Area Daybeacon B	W "B"	N 38 56' 35.983"	W 120 03' 52.341"	38.94333	-120.0645	LNM 48/14, 11th Dist	1865	18665_1	12/11/2014
18665	Relocate	Lake Tahoe Restricted Area Daybeacon C	W "C"	N 38 56' 30.577"	W 120 03' 35.641"	38.94183	-120.0599	LNM 48/14, 11th Dist	1865	18665_1	12/11/2014
18665	Relocate	Lake Tahoe Restricted Area Daybeacon D	W "D"	N 38 56' 31.484"	W 120 03' 22.763"	38.94208	-120.0563	LNM 48/14, 11th Dist	1865	18665_1	12/11/2014
18665	Relocate	Lake Tahoe Restricted Area Daybeacon E	W "E"	N 38 56' 32.154"	W 120 03' 13.033"	38.94226	-120.0536	LNM 48/14, 11th Dist	1865	18665_1	12/11/2014
18665	Relocate	Lake Tahoe Restricted Area Daybeacon F	W "F"	N 38 56' 26.845"	W 120 02' 50.974"	38.94079	-120.0475	LNM 48/14, 11th Dist	1865	18665_1	12/11/2014
18665	Relocate	Lake Tahoe Restricted Area Daybeacon G	W "G"	N 38 56' 18.541"	W 120 02' 02.924"	38.93848	-120.0341	LNM 48/14, 11th Dist	1865	18665_1	12/11/2014
18665	Relocate	Lake Tahoe Restricted Area Daybeacon I	W "I"	N 38 56' 16.018"	W 120 01' 27.706"	38.93778	-120.0244	LNM 48/14, 11th Dist	1865	18665_1	12/11/2014
18665	Relocate	Lake Tahoe Restricted Area Daybeacon J	W "J"	N 38 56' 14.814"	W 120 01' 09.930"	38.93745	-120.0194	LNM 48/14, 11th Dist	1865	18665_1	12/11/2014
18665	Relocate	Lake Tahoe Restricted Area Daybeacon M	W "M"	N 38 58' 54.905"	W 119 57' 22.473"	38.98192	-119.9562	LNM 48/14, 11th Dist	1865	18665_1	12/11/2014
18665	Relocate	Lake Tahoe Buoy A	W Or C "A"	N 39 13' 10.277"	W 120 00' 16.151"	39.21952	-120.0045	LNM 33/14, 11th Dist	1865	18665_1	8/28/2014
18665	Delete	Restricted Area Day beacon "K"	W "K"	N 38 58' 34.000"	W 119 57' 12.000"	38.97611	-119.9533	LNM 32/14, 11th Dist	1865	18665_1	8/21/2014
18665	Delete	Lake Tahoe Buoy K	W Or C "K"	N 39 02' 42.930"	W 120 06' 32.496"	39.04526	-120.109	LNM 30/14, 11th Dist	1865	18665_1	8/7/2014
18665	Delete	Lake Tahoe Buoy L	W Or C "L"	N 39 02' 35.627"	W 120 06' 53.197"	39.04323	-120.1148	LNM 30/14, 11th Dist	1865	18665_1	8/7/2014
18665	Delete	Lake Tahoe Buoy M	W Or C "M"	N 39 01' 12.034"	W 120 06' 50.005"	39.02001	-120.1139	LNM 30/14, 11th Dist	1865	18665_1	8/7/2014
18665	Delete	Lake Tahoe Buoy N	W Or C "N"	N 39 00' 42.621"	W 120 06' 31.160"	39.01184	-120.1087	LNM 30/14, 11th Dist	1865	18665_1	8/7/2014
