Chart: 18666, Current Edition: 1, Print Date: 11/24/2001, Suisun Bay Middle Ground to New York Slough
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18666	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 15/17, 11th Dist	2991	18666_1	4/13/2017
18666	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 06/17, 11th Dist	2991	18666_1	2/2/2017
18666	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 44/16, 11th Dist	2991	18666_1	10/27/2016
18666	Change	Tabulation - Suisun Bay	Tabulation - Suisun Bay	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 32/16, 11th Dist	2991	18666_1	8/4/2016
18666	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 40/15, 11th Dist	2991	18666_1	10/1/2015
18666	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 26/15, 11th Dist	2991	18666_1	6/25/2015
18666	Change	Tabulation - SUISUN BAY	Tabulation - SUISUN BAY	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 26/15, 11th Dist	2991	18666_1	6/25/2015
18666	Change	Suisun Bay Light 31	Fl G 6s 15ft 4M "31"	N 38 02' 57.992"	W 121 53' 15.463"	38.04944	-121.8876	LNM 07/15, 11th Dist	2991	18666_1	2/26/2015
18666	Change	tabulation - Suisun Bay	tabulation - Suisun Bay	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 50/14, 11th Dist	2991	18666_1	12/11/2014
18666	Change	tabulation - SUISUN BAY	tabulation - SUISAN BAY	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 26/14, 11th Dist	2991	18666_1	6/26/2014
18666	Change	tabulation - SUISAN BAY	tabulation - SUISAN BAY	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 02/14, 11th Dist	2991	18666_1	1/9/2014
18666	Change	tabulation - SUISUN BAY	tabulation - SUISUN BAY	N 38 01' 45.000"	W 121 56' 34.500"	38.02917	-121.9429	LNM 28/13, 11th Dist	2991	18666_1	7/4/2013
18666	Add	Security Zone PT 1 OF 5	None	N 38 03' 40.150"	W 122 00' 04.940"	38.06115	-122.0014	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Security Zone PT 2 OF 5	None	N 38 03' 37.900"	W 121 59' 52.620"	38.06053	-121.9979	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Security Zone PT 3 OF 5	None	N 38 03' 32.940"	W 121 59' 42.330"	38.05915	-121.9951	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Security Zone PT 4 OF 5	None	N 38 03' 27.460"	W 121 59' 36.980"	38.05763	-121.9936	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Security Zone PT 5 OF 5	None	N 38 03' 17.110"	W 121 59' 33.670"	38.05475	-121.9927	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Security Zone Label	SECURITY ZONE 165.1199 (see note A))	N 38 03' 32.720"	W 121 59' 47.080"	38.05909	-121.9964	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone Label	SAFETY ZONE 165.1198 (see note A)	N 38 04' 28.500"	W 121 59' 28.800"	38.07458	-121.9913	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone Label	SAFETY ZONE 165.1198 (see note A)	N 38 03' 06.600"	W 121 58' 45.900"	38.05183	-121.9794	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone PT 1 OF 4	None	N 38 04' 17.000"	W 121 58' 26.700"	38.07139	-121.9741	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone PT 2 OF 4	None	N 38 03' 43.500"	W 121 58' 05.200"	38.06208	-121.9681	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone PT 3 OF 4	None	N 38 03' 18.400"	W 121 58' 00.600"	38.05511	-121.9668	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone PT 4 OF 4	None	N 38 02' 53.900"	W 121 58' 04.400"	38.04831	-121.9679	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone Label	SAFETY ZONE 165.1198 (see note A)	N 38 03' 19.400"	W 121 58' 47.700"	38.05539	-121.9799	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone PT 1 OF 2	None	N 38 04' 54.100"	W 121 59' 58.800"	38.0817	-121.9997	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone PT 2 OF 2	None	N 38 04' 50.900"	W 121 59' 32.900"	38.08081	-121.9925	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone PT 1 OF 2	None	N 38 04' 36.400"	W 121 58' 53.100"	38.07678	-121.9814	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone PT 2 OF 2	None	N 38 04' 28.400"	W 121 58' 40.400"	38.07455	-121.9779	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone Label	SAFETY ZONE 165.1198 (see note A)	N 38 04' 35.300"	W 121 59' 32.400"	38.07647	-121.9923	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone PT 1 OF 2	None	N 38 04' 35.500"	W 121 58' 51.600"	38.07653	-121.981	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
18666	Add	Safety Zone PT 2 OF 2	None	N 38 04' 28.000"	W 121 58' 39.700"	38.07444	-121.9777	LNM 17/13, 11th Dist	2991	18666_1	4/15/2013
