Chart: 18685, Current Edition: 34, Print Date: Sep. /2012, Monterey Bay;Monterey Harbor;Moss Landing Harbor;Santa Cruz Small Craft Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18685	Relocate	Point Pinos Lighted Bell Buoy 2	R "2" Fl R 6s BELL	N 36 38' 50.983"	W 121 56' 38.762"	36.6475	-121.9441	LNM 16/17, 11th Dist	1868	18685_1	4/27/2017
18685	Delete	Scripps Waverider Lighted Research Buoy 156	Y "156" Fl (5) Y 20s Priv	N 36 45' 38.820"	W 121 56' 48.660"	36.76078	-121.9469	LNM 04/17, 11th Dist	1868	18685_1	2/2/2017
18685	Relocate	Santa Cruz Light	Fl 5s Priv	N 36 57' 05.340"	W 122 01' 36.360"	36.95148	-122.0268	LNM 49/16, 11th Dist	1868	18685_1	12/15/2016
18685	Change	Santa Cruz Light	Fl 5s Priv	N 36 57' 05.340"	W 122 01' 36.360"	36.95148	-122.0268	LNM 49/16, 11th Dist	1868	18685_1	12/15/2016
18685	Delete	Terrace Point 1 MBARI Research Buoy	Y "MBARI" Fl Y 4s Priv	N 36 56' 39.000"	W 122 04' 49.000"	36.94417	-122.0803	LNM 33/16, 11th Dist	1868	18685_1	8/25/2016
18685	Relocate	Moss Landing Harbor Channel Buoy 1	G C "1"	N 36 48' 20.842"	W 121 47' 33.358"	36.80579	-121.7926	LNM 24/16, 13th Dist	1870	18685_3	6/23/2016
18685	Relocate	Moss Landing Harbor Channel Buoy 1	G C "1"	N 36 48' 20.842"	W 121 47' 33.358"	36.80579	-121.7926	LNM 24/16, 13th Dist	1868	18685_1	6/23/2016
18685	Relocate	Moss Landing Harbor Channel Buoy 1	G C "1"	N 36 48' 20.000"	W 121 47' 33.000"	36.80556	-121.7925	LNM 23/16, 11th Dist	1870	18685_3	6/16/2016
18685	Relocate	Moss Landing Harbor Channel Buoy 1	G C "1"	N 36 48' 20.000"	W 121 47' 33.000"	36.80556	-121.7925	LNM 23/16, 11th Dist	1868	18685_1	6/16/2016
18685	Change	tabulation - Moss Landing Harbor	tabulation - Moss Landing Harbor	N 37 01' 17.000"	W 121 53' 49.000"	37.02139	-121.8969	LNM 38/14, 11th Dist	1868	18685_1	9/25/2014
18685	Delete	MONTEREY BAY SPECIAL PURPOSE BUOY MY3	Y "MY3" Fl Y 4s Priv	N 36 38' 42.000"	W 121 55' 24.000"	36.645	-121.9233	LNM 06/14, 11th Dist	1868	18685_1	2/27/2014
18685	Delete	MONTEREY BAY SPECIAL BUOY MY6	Y "MY6" Fl Y 4s Priv	N 36 38' 18.000"	W 121 51' 18.000"	36.63833	-121.855	LNM 06/14, 11th Dist	1868	18685_1	2/27/2014
18685	Delete	MONTEREY BAY SPECIAL BUOY MY7	Y "MY7" Fl Y 4s Priv	N 36 36' 54.000"	W 121 52' 30.000"	36.615	-121.875	LNM 06/14, 11th Dist	1868	18685_1	2/27/2014
18685	Relocate	MOSS LANDING HARBOR ENTRANCE RFL	Q G 15ft	N 36 48' 33.651"	W 121 47' 07.748"	36.80935	-121.7855	LNM 49/13, 11th Dist	1870	18685_3	12/17/2013
18685	Relocate	MOSS LANDING HARBOR ENTRANCE RRL	Iso G 6s 25ft	N 36 48' 34.806"	W 121 47' 05.878"	36.80967	-121.785	LNM 49/13, 11th Dist	1870	18685_3	12/17/2013
18685	Change	SANTA CRUZ LIGHT	Fl 5s 60ft Priv	N 36 57' 05.340"	W 122 01' 36.360"	36.95148	-122.0268	LNM 45/13, 11th Dist	1868	18685_1	11/14/2013
18685	Delete	LIGHTED BUOY	Fl (3) 25s Priv	N 36 53' 24.000"	W 122 04' 22.000"	36.89	-122.0728	LNM 33/13, 11th Dist	1868	18685_1	8/16/2013
18685	Delete	MONTEREY BAY SPECIAL PURPOSE BUOY MY4	Y "MY4" Fl Y 4s Priv	N 36 40' 00.000"	W 121 54' 24.000"	36.66667	-121.9067	LNM 27/13, 11th Dist	1868	18685_1	7/25/2013
18685	Delete	UCSC SOQUEL POINT RESEARCH BUOY	2 Y S	N 36 56' 18.900"	W 121 58' 30.600"	36.93858	-121.9752	LNM 46/12, 11th Dist	1868	18685_1	11/16/2012
18685	Delete	MONTEREY HARBOR NORTH CHNL LTD BUOY 3	G "3" Fl G 6s Priv	N 36 36' 30.900"	W 121 53' 31.600"	36.60858	-121.8921	LNM 41/12, 11th Dist	1871	18685_4	10/17/2012
