Chart: 18687, Current Edition: 13, Print Date: Nov. /2002, Lake Mead
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18687	Relocate	Lake Mead Boulder Canyon Light 18	Q R "18"	N 36 09' 03.000"	W 114 34' 10.000"	36.15083	-114.5694	LNM 39/15, 11th Dist	1873	18687_1	10/15/2015
18687	Add	Lake Mead Ramshead Rock Lighted Buoy 8A	R "8A" Q R	N 36 16' 00.000"	W 114 24' 29.000"	36.26667	-114.4081	LNM 14/15, 11th Dist	1874	18687_5	4/16/2015
18687	Add	Delmar Butte Lighted Bouy 33	G "33" Fl G 4s	N 36 03' 28.000"	W 114 17' 46.000"	36.05778	-114.2961	LNM 30/14, 11th Dist	1873	18687_1	8/7/2014
18687	Delete	Delmar Butte Light 33	Fl G 4s "33"	N 36 03' 37.000"	W 114 17' 24.000"	36.06028	-114.29	LNM 29/14, 11th Dist	1873	18687_1	8/7/2014
18687	Delete	South Cove Light 4	Fl R 4s "4"	N 36 05' 17.000"	W 114 06' 10.000"	36.08805	-114.1028	LNM 26/14, 11th Dist	1873	18687_1	7/10/2014
18687	Add	South Cove Lighted Buoy 4	R "4" Fl R 4s 	N 36 05' 18.000"	W 114 06' 46.000"	36.08833	-114.1128	LNM 26/14, 11th Dist	1873	18687_1	7/10/2014
18687	Delete	Lake Mead Overton Arm Light 19	Q G "19"	N 36 23' 12.000"	W 114 22' 33.000"	36.38667	-114.3758	LNM 20/14, 11th Dist	1874	18687_5	5/29/2014
18687	Add	Lake Mead Overton Arm Lighted Buoy 19	G "19" Fl G 4s	N 36 22' 27.000"	W 114 22' 23.000"	36.37417	-114.3731	LNM 20/14, 11th Dist	1874	18687_5	5/29/2014
18687	Delete	LIGHT CHARACTERISTIC	Fl R 4s "2"	N 36 01' 55.000"	W 114 45' 41.000"	36.03194	-114.7614	LNM 17/14, 11th Dist	1873	18687_1	5/8/2014
18687	Relocate	LAKE MEAD BIGHORN ISLAND NORTH LT 13	Fl G 4s "13"	N 36 17' 32.000"	W 114 23' 46.400"	36.29222	-114.3962	LNM 19/10, 11th Dist	1874	18687_5	5/20/2010
18687	Relocate	LAKE MEAD BIG HORN ISLAND SOUTH LT 11	Q G "11"	N 36 16' 55.700"	W 114 23' 51.600"	36.28214	-114.3977	LNM 19/10, 11th Dist	1874	18687_5	5/20/2010
18687	Change	LAKE MEAD SURPRISE REEF LT 6	Fl R 4s "6"	N 36 14' 00.000"	W 114 24' 05.000"	36.23333	-114.4014	LNM 19/10, 11th Dist	1874	18687_5	5/20/2010
