Chart: 18725, Current Edition: 30, Print Date: Jun. /2013, Port Hueneme to Santa Barbara;Santa Barbara;Channel Islands Harbor and Port Hueneme;Ventura
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18725	Add	Sounding in Fathoms & Feet	0 1	N 34 09' 30.870"	W 119 13' 25.930"	34.15857	-119.2239	Not Yet Published	1886	18725_3	7/6/2017
18725	Change	Depth Legend - Channel Islands Harbor Entrance Channel to:	14 FT FEB 2017	N 34 09' 27.600"	W 119 13' 33.900"	34.15767	-119.2261	Not Yet Published	1886	18725_3	7/6/2017
18725	Change	Depth Legend - Channel Islands Harbor Entrance Basin to:	13 FT FEB 2017	N 34 09' 42.500"	W 119 13' 25.300"	34.1618	-119.2237	Not Yet Published	1886	18725_3	7/6/2017
18725	Relocate	Ventura Marina Channel Buoy 10	R N "10"	N 34 14' 57.504"	W 119 16' 05.669"	34.24931	-119.2682	LNM 24/17, 11th Dist	1887	18725_4	6/22/2017
18725	Change	Depth Legend - Channel Islands Harbor Inner Basin to:	10 FT SEP 2015	N 34 09' 56.600"	W 119 13' 29.300"	34.16572	-119.2248	LNM 10/17, 11th Dist	1886	18725_3	3/2/2017
18725	Change	Depth Legend - Channel Islands Harbor Entrance Basin to:	13 FT SEP 2015	N 34 09' 42.500"	W 119 13' 25.300"	34.1618	-119.2237	LNM 10/17, 11th Dist	1886	18725_3	3/2/2017
18725	Change	Depth Legend - Channel Islands Harbor Entrance Channel to:	17 FT SEP 2015	N 34 09' 27.600"	W 119 13' 33.900"	34.15767	-119.2261	LNM 10/17, 11th Dist	1886	18725_3	3/2/2017
18725	Relocate	Ventura Marina Channel Buoy 10	R N "10"	N 34 14' 56.968"	W 119 16' 05.540"	34.24916	-119.2682	LNM 44/16, 11th Dist	1887	18725_4	11/10/2016
18725	Add	Ventura Marina Channel Buoy 10	R N "10"	N 34 14' 56.960"	W 119 16' 05.540"	34.24916	-119.2682	LNM 43/16, 11th Dist	1887	18725_4	11/3/2016
18725	Add	Ventura Marina Channel Buoy 9	G C "9"	N 34 14' 57.172"	W 119 16' 10.132"	34.24921	-119.2695	LNM 43/16, 11th Dist	1887	18725_4	11/3/2016
18725	Change	Channel Islands Harbor South Jetty Light 2	Fl R 2.5s 35ft 5M "2" HORN (MRASS see note K)	N 34 09' 21.714"	W 119 13' 38.616"	34.15603	-119.2274	LNM 08/15, 11th Dist	1886	18725_3	3/5/2015
18725	Change	Channel Islands Harbor South Jetty Light 2	Fl R 2.5s 35ft 5M "2" HORN (MRASS see note K)	N 34 09' 21.714"	W 119 13' 38.616"	34.15603	-119.2274	LNM 08/15, 11th Dist	1884	18725_1	3/5/2015
