Chart: 18748, Current Edition: 1, Print Date: Jun. /2007, El Segundo and Approaches
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18748	Change	Marina Del Rey Light 3	Fl G 4s 45ft 5M "3" HORN MRASS (see note C)	N 33 57' 46.101"	W 118 27' 42.461"	33.96281	-118.4618	LNM 48/14, 11th Dist	1901	18748_1	12/11/2014
18748	Change	Redondo Beach East Jetty Light 2	Fl R 4s 20ft 5M "2" HORN MRASS (see note C)	N 33 50' 30.678"	W 118 23' 38.935"	33.84185	-118.3941	LNM 48/14, 11th Dist	1901	18748_1	12/11/2014
18748	Add	Note C MARINER ACTIVATED SOUND SIGNAL (MRASS)	Horn is activated by keying the mic 5 times on VHF-FM Ch 81A - Horn will operate for thirty minutes. 	N 33 57' 21.133"	W 118 24' 02.943"	33.95587	-118.4008	LNM 48/14, 11th Dist	1901	18748_1	12/11/2014
18748	Add	Submarine Cable  PT 1 OF 3	Chart No. 1: L30.1	N 33 53' 41.100"	W 118 25' 08.678"	33.89475	-118.4191	LNM 40/14, 11th Dist	1901	18748_1	12/11/2014
18748	Add	Submarine Cable  PT 2 OF 3	Chart No. 1: L30.1	N 33 50' 47.800"	W 118 29' 41.800"	33.84661	-118.4949	LNM 40/14, 11th Dist	1901	18748_1	12/11/2014
18748	Add	Submarine Cable  PT 3 OF 3	Chart No. 1: L30.1	N 33 50' 07.100"	W 118 30' 41.500"	33.8353	-118.5115	LNM 40/14, 11th Dist	1901	18748_1	12/11/2014
18748	Add	Submarine Cable  PT 1 OF 5	Chart No. 1: L30.1	N 33 53' 43.653"	W 118 25' 08.963"	33.89546	-118.4192	LNM 21/14, 11th Dist	1901	18748_1	5/29/2014
18748	Add	Submarine Cable  PT 2 OF 5	Chart No. 1: L30.1	N 33 53' 14.855"	W 118 27' 51.386"	33.88746	-118.4643	LNM 21/14, 11th Dist	1901	18748_1	5/29/2014
18748	Add	Submarine Cable  PT 3 OF 5	Chart No. 1: L30.1	N 33 53' 17.176"	W 118 28' 38.623"	33.8881	-118.4774	LNM 21/14, 11th Dist	1901	18748_1	5/29/2014
18748	Add	Submarine Cable  PT 4 OF 5	Chart No. 1: L30.1	N 33 53' 19.327"	W 118 29' 21.208"	33.8887	-118.4892	LNM 21/14, 11th Dist	1901	18748_1	5/29/2014
18748	Add	Submarine Cable  PT 5 OF 5	Chart No. 1: L30.1	N 33 53' 24.000"	W 118 30' 57.955"	33.89	-118.5161	LNM 21/14, 11th Dist	1901	18748_1	5/29/2014
18748	Delete	EL SEGUNDO NORTH DANGER BUOY	W Or Priv	N 33 54' 37.000"	W 118 25' 46.000"	33.91028	-118.4294	LNM 17/14, 11th Dist	1901	18748_1	5/8/2014
18748	Delete	EL SEGUNDO SOUTH DANGER BUOY	W Or Priv	N 33 54' 35.000"	W 118 25' 45.000"	33.90972	-118.4292	LNM 17/14, 11th Dist	1901	18748_1	5/8/2014
18748	Change	MARINA DEL REY LIGHT 3	Fl G 4s 45ft 5M "3" HORN	N 33 57' 46.101"	W 118 27' 42.461"	33.96281	-118.4618	LNM 04/14, 11th Dist	1901	18748_1	2/6/2014
18748	Change	REDONDO BEACH EAST JETTY LT 2	Fl R 4s 20ft 5M "2" HORN	N 33 50' 30.678"	W 118 23' 38.935"	33.84185	-118.3941	LNM 02/14, 11th Dist	1901	18748_1	1/30/2014
18748	Delete	EL SEGUNDO BUOY A	W C "A"	N 33 55' 20.000"	W 118 26' 10.000"	33.92222	-118.4361	LNM 19/11, 11th Dist	1901	18748_1	5/16/2011
18748	Delete	EL SEGUNDO BUOY C	W Or "C"	N 33 55' 15.000"	W 118 26' 18.000"	33.92083	-118.4383	LNM 19/11, 11th Dist	1901	18748_1	5/16/2011
18748	Delete	WHITE UNLTD BUOY B	W C "B"	N 33 55' 19.000"	W 118 26' 08.000"	33.92194	-118.4356	LNM 15/11, 11th Dist	1901	18748_1	5/16/2011
18748	Add	Submarine Cable  PT 1 OF 4	None	N 33 50' 19.300"	W 118 27' 46.400"	33.8387	-118.4629	LNM 02/11, 11th Dist	1901	18748_1	1/5/2011
18748	Add	Submarine Cable  PT 2 OF 4	None	N 33 50' 07.250"	W 118 28' 26.180"	33.83535	-118.4739	LNM 02/11, 11th Dist	1901	18748_1	1/5/2011
18748	Add	Submarine Cable  PT 3 OF 4	None	N 33 50' 07.270"	W 118 30' 52.890"	33.83535	-118.5147	LNM 02/11, 11th Dist	1901	18748_1	1/5/2011
18748	Add	Submarine Cable  PT 4 OF 4	None	N 33 50' 08.620"	W 118 30' 57.700"	33.83573	-118.516	LNM 02/11, 11th Dist	1901	18748_1	1/5/2011
18748	Delete	EL SEGUNDO USC LIGHTED BUOY 	Y Fl (5) Y 20s Priv 	N 33 54' 00.000"	W 118 26' 21.000"	33.9	-118.4392	LNM 51/10, 11th Dist	1901	18748_1	12/27/2010
18748	Delete	KING HARBOR USC LIGHTED BUOY	Y Fl Y 6s Priv 	N 33 50' 52.000"	W 118 24' 27.000"	33.84778	-118.4075	LNM 51/10, 11th Dist	1901	18748_1	12/27/2010
18748	Change	KING HARBOR USC LTD RESEARCH BUOY	Y Fl Y 6s Priv	N 33 50' 51.780"	W 118 24' 27.300"	33.84772	-118.4076	LNM 19/10, 11th Dist	1901	18748_1	5/20/2010
18748	Add	Sounding in Feet	12	N 33 57' 39.600"	W 118 27' 37.500"	33.961	-118.4604	LNM 15/10, 11th Dist	1901	18748_1	4/14/2010
18748	Delete	RACING BUOYS NOTATION	RACING BUOYS NOTE	N 33 57' 23.000"	W 118 24' 04.000"	33.95639	-118.4011	LNM 11/10, 11th Dist	1901	18748_1	4/1/2010
18748	Add	Wreck in Feet	38 Wk      	N 33 58' 36.860"	W 118 29' 08.170"	33.97691	-118.4856	LNM 12/10, 11th Dist	1901	18748_1	3/25/2010
18748	Add	Obstruction PT 1 OF 7	Obstns	N 33 57' 56.000"	W 118 29' 13.000"	33.96556	-118.4869	LNM 12/10, 11th Dist	1901	18748_1	3/25/2010
18748	Add	Obstruction PT 2 OF 7	Obstns	N 33 57' 57.300"	W 118 29' 15.600"	33.96592	-118.4877	LNM 12/10, 11th Dist	1901	18748_1	3/25/2010
