Chart: 18749, Current Edition: 44, Print Date: Oct. /2015, San Pedro Bay;Anaheim Bay Huntington Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18749	Relocate	Long Beach Harbor Pier J Light J	Fl 4s 32ft 5M "j"	N 33 43' 59.184"	W 118 11' 07.830"	33.73311	-118.1855	LNM 02/17, 11th Dist	1902	18749_1	1/19/2017
18749	Add	Wreck in Feet	60 Wk      Chart No. 1: K26	N 33 40' 24.500"	W 118 05' 33.000"	33.67347	-118.0925	LNM 47/16, 11th Dist	1902	18749_1	11/24/2016
18749	Relocate	Los Angeles Outer Harbor Light E	Fl 2.5s 20ft 4M "E"	N 33 42' 46.036"	W 118 16' 32.709"	33.71279	-118.2757	LNM 37/16, 11th Dist	1902	18749_1	9/22/2016
18749	Relocate	Cabrillo Beach Launch Ramp Light South	Fl 4s 15ft Priv	N 33 42' 46.800"	W 118 16' 58.200"	33.713	-118.2828	LNM 26/16, 11th Dist	1902	18749_1	7/7/2016
18749	Change	Depth Legend - Anaheim Bay Harbor Channel Jetty Harbor Entrance to:	LEFT QUARTER 38 FT MIDDLE HALF 37 FT RIGHT QUARTER 33 1/2 FT FOR WIDTH OF 280-500 FT JUL 2015	N 33 43' 43.000"	W 118 05' 59.000"	33.72861	-118.0997	LNM 12/16, 13th Dist	1903	18749_2	3/17/2016
18749	Delete	Depth Legend	23 1/2 FT JAN 2014	N 33 44' 06.000"	W 118 05' 30.000"	33.735	-118.0917	LNM 12/16, 13th Dist	1903	18749_2	3/17/2016
18749	Add	Sounding in Feet	34	N 33 44' 09.110"	W 118 05' 52.140"	33.73586	-118.0978	LNM 12/16, 13th Dist	1903	18749_2	3/17/2016
18749	Add	Sounding in Feet	34	N 33 44' 10.550"	W 118 05' 49.470"	33.73626	-118.0971	LNM 12/16, 13th Dist	1903	18749_2	3/17/2016
18749	Add	Sounding in Feet	35	N 33 44' 06.940"	W 118 05' 47.440"	33.73526	-118.0965	LNM 12/16, 13th Dist	1903	18749_2	3/17/2016
18749	Delete	Channel Limits PT 1 OF 16	Chart No. 1: I20	N 33 44' 04.320"	W 118 05' 43.070"	33.73454	-118.0953	LNM 12/16, 13th Dist	1903	18749_2	3/17/2016
