Chart: 18755, Current Edition: 10, Print Date: 2/12/2000, San Nicolas Island
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18755	Add	Pt Mugu Radar Target Lighted Buoy	Y Fl Y 2s Priv	N 33 21' 45.000"	W 119 35' 45.600"	33.3625	-119.596	LNM 27/16, 11th Dist	1908	18755_1	7/14/2016
18755	Change	San Nicolas Island East End Light	Fl 2.5s 55ft 5M	N 33 13' 47.111"	W 119 26' 07.739"	33.22975	-119.4355	LNM 47/15, 11th Dist	1908	18755_1	12/3/2015
18755	Relocate	San Nicolas Island East End Light	Fl 2.5s 55ft 5M	N 33 13' 47.111"	W 119 26' 07.739"	33.22975	-119.4355	LNM 47/15, 11th Dist	1908	18755_1	12/3/2015
18755	Add	NAVFAC Lighted Research Buoy	Y Fl (5) Y 20s Priv	N 33 17' 50.000"	W 119 31' 16.000"	33.29722	-119.5211	LNM 38/14, 11th Dist	1908	18755_1	10/2/2014
18755	Delete	 SAN NICOLAS ISLAND EAST END LTD BELL BUOY 3	G "3" Fl G 4s BELL	N 33 13' 23.172"	W 119 23' 52.077"	33.2231	-119.3978	LNM 21/13, 11th Dist	1908	18755_1	5/24/2013
18755	Add	Submarine Operations Note B	Submerged submarine operations are conducted at various times in the waters contained on this chart. Proceed with caution. 	N 33 17' 32.500"	W 119 18' 20.000"	33.29236	-119.3056	LNM 17/12, 11th Dist	1908	18755_1	4/18/2012
18755	Delete	BEGG ROCK LTD WHISTLE BUOY 4BR	R "4BR" Fl R 4s WHIS	N 33 21' 58.089"	W 119 41' 48.412"	33.36613	-119.6968	LNM 46/11, 11th Dist	1908	18755_1	11/18/2011
18755	Relocate	BEGG ROCK LTD WHISTLE BUOY 4BR	R "4BR" Fl R 4s	N 33 21' 58.089"	W 119 41' 48.412"	33.36613	-119.6968	LNM 04/10, 11th Dist	1908	18755_1	4/6/2010
18755	Add	cable area PT 1 OF 20	cable area, (Chart No. 1: L30.2)	N 33 14' 40.100"	W 119 26' 48.500"	33.24447	-119.4468	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 2 OF 20	cable area, (Chart No. 1: L30.2)	N 33 15' 14.800"	W 119 26' 39.100"	33.25411	-119.4442	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 3 OF 20	cable area, (Chart No. 1: L30.2)	N 33 16' 01.600"	W 119 26' 34.900"	33.26711	-119.443	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 4 OF 20	cable area, (Chart No. 1: L30.2)	N 33 16' 46.800"	W 119 27' 19.100"	33.27967	-119.4553	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 5 OF 20	cable area, (Chart No. 1: L30.2)	N 33 17' 24.900"	W 119 28' 41.000"	33.29025	-119.4781	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 6 OF 20	cable area, (Chart No. 1: L30.2)	N 33 22' 43.600"	W 119 26' 03.700"	33.37878	-119.4344	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 7 OF 20	cable area, (Chart No. 1: L30.2)	N 33 22' 43.600"	W 119 26' 16.500"	33.37878	-119.4379	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 8 OF 20	cable area, (Chart No. 1: L30.2)	N 33 17' 20.500"	W 119 28' 56.100"	33.28903	-119.4822	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 9 OF 20	cable area, (Chart No. 1: L30.2)	N 33 16' 55.600"	W 119 28' 02.400"	33.28211	-119.4673	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 10 OF 20	cable area, (Chart No. 1: L30.2)	N 33 17' 24.300"	W 119 29' 07.500"	33.29008	-119.4854	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 11 OF 20	cable area, (Chart No. 1: L30.2)	N 33 18' 12.400"	W 119 28' 53.800"	33.30344	-119.4816	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 12 OF 20	cable area, (Chart No. 1: L30.2)	N 33 21' 36.900"	W 119 30' 36.000"	33.36025	-119.51	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 13 OF 20	cable area, (Chart No. 1: L30.2)	N 33 22' 43.600"	W 119 30' 34.100"	33.37878	-119.5095	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 14 OF 20	cable area, (Chart No. 1: L30.2)	N 33 22' 43.600"	W 119 30' 45.900"	33.37878	-119.5127	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 15 OF 20	cable area, (Chart No. 1: L30.2)	N 33 18' 11.600"	W 119 29' 06.200"	33.30322	-119.4851	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 16 OF 20	cable area, (Chart No. 1: L30.2)	N 33 17' 19.100"	W 119 29' 21.200"	33.28864	-119.4892	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 17 OF 20	cable area, (Chart No. 1: L30.2)	N 33 16' 33.900"	W 119 27' 38.300"	33.27608	-119.4606	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 18 OF 20	cable area, (Chart No. 1: L30.2)	N 33 15' 57.800"	W 119 26' 47.100"	33.26606	-119.4464	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 19 OF 20	cable area, (Chart No. 1: L30.2)	N 33 15' 16.300"	W 119 26' 50.900"	33.25453	-119.4475	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	cable area PT 20 OF 20	cable area, (Chart No. 1: L30.2)	N 33 14' 48.000"	W 119 26' 58.600"	33.24667	-119.4496	LNM 06/07, 11th Dist	1908	18755_1	2/13/2008
18755	Add	Cable Area  PT 2 OF 9	Chart No. 1: L30.2	N 33 21' 36.000"	W 119 30' 42.000"	33.36	-119.5117	Not Published	1908	18755_1	2/13/2008
18755	Add	Cable Area  PT 3 OF 9	Chart No. 1: L30.2	N 33 18' 12.000"	W 119 29' 00.000"	33.30333	-119.4833	Not Published	1908	18755_1	2/13/2008
18755	Add	Cable Area  PT 4 OF 9	Chart No. 1: L30.2	N 33 17' 21.710"	W 119 29' 14.350"	33.28936	-119.4873	Not Published	1908	18755_1	2/13/2008
18755	Add	Cable Area  PT 5 OF 9	Chart No. 1: L30.2	N 33 16' 38.000"	W 119 27' 35.000"	33.27722	-119.4597	Not Published	1908	18755_1	2/13/2008
18755	Add	Cable Area  PT 6 OF 9	Chart No. 1: L30.2	N 33 16' 00.000"	W 119 26' 41.000"	33.26667	-119.4447	Not Published	1908	18755_1	2/13/2008
18755	Add	Cable Area  PT 7 OF 9	Chart No. 1: L30.2	N 33 15' 15.590"	W 119 26' 44.980"	33.25433	-119.4458	Not Published	1908	18755_1	2/13/2008
18755	Add	Cable Area  PT 8 OF 9	Chart No. 1: L30.2	N 33 17' 22.680"	W 119 28' 48.510"	33.28963	-119.4801	Not Published	1908	18755_1	2/13/2008
18755	Add	Cable Area  PT 1 OF 9	Chart No. 1: L30.2	N 33 22' 43.590"	W 119 30' 39.900"	33.37878	-119.5111	Not Published	1908	18755_1	2/13/2008
18755	Add	Cable Area  PT 9 OF 9	Chart No. 1: L30.2	N 33 22' 43.590"	W 119 26' 10.240"	33.37878	-119.4362	Not Published	1908	18755_1	2/13/2008
18755	Add	La Conchita SCOOS Research LB	Y Fl Y 4s Priv	N 33 17' 43.980"	W 119 33' 45.180"	33.29555	-119.5626	LNM 11/05, 11th Dist	1908	18755_1	2/13/2008
18755	Delete	Navy Buoys (6)	6 Unlighted buoys Navy	N 33 18' 59.800"	W 119 34' 05.000"	33.31661	-119.5681	LNM 07/05, 11th Dist	1908	18755_1	2/13/2008
18755	Delete	NORTH SECTOR LIGHT	Fl 5s 33ft 10M PA	N 33 15' 29.108"	W 119 27' 57.383"	33.25809	-119.4659	LNM 46/01, 11th Dist	1908	18755_1	2/13/2008
18755	Delete	 SECTOR LIGHT	Fl 6s 50ft 6M PA	N 33 12' 58.112"	W 119 28' 10.381"	33.21614	-119.4696	LNM 46/01, 11th Dist	1908	18755_1	2/13/2008
