Chart: 19013, Current Edition: 19, Print Date: Oct. /2010, Hawai‘ian Islands northern part
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
19013	Change	PacIOOSWB 098	Y "PIOOS 098" Fl (5) Y 20s Priv	N 21 25' 00.000"	W 157 40' 00.000"	21.41667	-157.6667	LNM 12/17, 14th Dist	2766	19013_1	3/30/2017
19013	Change	PacIOOSWB 106	Y "PIOOS 106" Fl (5) Y 20s Priv	N 21 40' 22.000"	W 158 06' 57.000"	21.67278	-158.1158	LNM 12/17, 14th Dist	2766	19013_1	3/30/2017
19013	Change	PacIOOSWB 146	Y "PIOOS 146" Fl (5) Y 20s Priv	N 20 47' 16.200"	W 157 00' 35.400"	20.78783	-157.0098	LNM 12/17, 14th Dist	2766	19013_1	3/30/2017
19013	Change	PacIOOSWB 202	Y "PIOOS 202" Fl (5) Y 20s Priv	N 22 17' 04.981"	W 159 34' 27.181"	22.28472	-159.5742	LNM 12/17, 14th Dist	2766	19013_1	3/30/2017
19013	Add	Submarine Cable  PT 1 OF 7	Chart No. 1: L30.1	N 21 17' 47.000"	W 158 06' 23.900"	21.29639	-158.1066	LNM 31/16, 14th Dist	2766	19013_1	7/28/2016
19013	Add	Submarine Cable  PT 2 OF 7	Chart No. 1: L30.1	N 21 17' 02.900"	W 158 08' 07.100"	21.28414	-158.1353	LNM 31/16, 14th Dist	2766	19013_1	7/28/2016
19013	Add	Submarine Cable  PT 3 OF 7	Chart No. 1: L30.1	N 21 17' 52.600"	W 158 10' 03.100"	21.29795	-158.1675	LNM 31/16, 14th Dist	2766	19013_1	7/28/2016
19013	Add	Submarine Cable  PT 4 OF 7	Chart No. 1: L30.1	N 21 17' 52.100"	W 158 10' 35.400"	21.29781	-158.1765	LNM 31/16, 14th Dist	2766	19013_1	7/28/2016
19013	Add	Submarine Cable  PT 5 OF 7	Chart No. 1: L30.1	N 21 17' 59.900"	W 158 10' 43.700"	21.29997	-158.1788	LNM 31/16, 14th Dist	2766	19013_1	7/28/2016
19013	Add	Submarine Cable  PT 6 OF 7	Chart No. 1: L30.1	N 21 19' 15.000"	W 158 11' 05.800"	21.32083	-158.185	LNM 31/16, 14th Dist	2766	19013_1	7/28/2016
19013	Add	Submarine Cable  PT 7 OF 7	Chart No. 1: L30.1	N 21 19' 22.900"	W 158 10' 55.700"	21.32303	-158.1821	LNM 31/16, 14th Dist	2766	19013_1	7/28/2016
19013	Add	FAD SITE MTBC 1	Y FAD "MTBC1" F Y Priv	N 21 20' 00.000"	W 156 28' 48.000"	21.33333	-156.48	LNM 11/16, 14th Dist	2766	19013_1	3/24/2016
19013	Add	FAD SITE MTBC 2	Y FAD "MTBC2" F Y Priv	N 21 13' 47.000"	W 156 02' 32.000"	21.22972	-156.0422	LNM 11/16, 14th Dist	2766	19013_1	3/24/2016
19013	Delete	UH WHOTS Site Lighted Buoy	Y Fl Y 4s Priv	N 22 46' 00.000"	W 157 54' 00.000"	22.76667	-157.9	LNM 50/15, 14th Dist	2766	19013_1	12/24/2015
19013	Add	UH WHOTS Site Lighted Buoy	Y Fl Y 4s Priv	N 22 23' 59.999"	W 157 34' 11.999"	22.4	-157.57	LNM 50/15, 14th Dist	2766	19013_1	12/24/2015
19013	Delete	Kahoolawe South West Point Light	Fl 6s 120ft 7M	N 20 30' 08.457"	W 156 39' 58.974"	20.50235	-156.6664	LNM 04/15, 14th Dist	2766	19013_1	2/5/2015
19013	Change	Nawiliwili Harbor Light	Fl 15s 110ft 9M	N 21 57' 17.903"	W 159 20' 08.903"	21.95497	-159.3358	LNM 45/14, 14th Dist	2766	19013_1	11/13/2014
19013	Change	PIOOS Ligted Buoy 098	Y "PIOOS 098" Fl Y 20s Priv	N 21 25' 00.000"	W 157 40' 00.000"	21.41667	-157.6667	LNM 40/14, 14th Dist	2766	19013_1	10/16/2014
19013	Change	PIOOS Ligted Buoy 106	Y "PIOOS 106" Fl (4) Y 20s Priv	N 21 40' 22.000"	W 158 06' 57.000"	21.67278	-158.1158	LNM 40/14, 14th Dist	2766	19013_1	10/16/2014
19013	Change	PIOOS Ligted Buoy 146	Y "PIOOS 146" Fl Y 20s Priv	N 20 47' 16.200"	W 157 00' 35.400"	20.78783	-157.0098	LNM 40/14, 14th Dist	2766	19013_1	10/16/2014
19013	Change	PIOOS Ligted Buoy 202	F Y "PIOOS 202" Priv	N 22 17' 04.981"	W 159 34' 27.181"	22.28472	-159.5742	LNM 40/14, 14th Dist	2766	19013_1	10/16/2014
19013	Change	Molokai Light	Fl 10s 213ft 13M	N 21 12' 34.269"	W 156 58' 10.730"	21.20952	-156.9697	LNM 39/14, 14th Dist	2766	19013_1	10/9/2014
19013	Relocate	Molokai Light	Fl 10s 213ft 13M	N 21 12' 34.269"	W 156 58' 10.730"	21.20952	-156.9697	LNM 39/14, 14th Dist	2766	19013_1	10/9/2014
19013	Add	FAD Site Lighted Buoy KCF1	Y FAD "KCF1" Fl Y 4s Priv	N 22 25' 31.000"	W 159 06' 57.000"	22.42528	-159.1158	LNM 25/14, 14th Dist	2766	19013_1	6/26/2014
19013	Delete	Kaena Point Light	Fl 10s 931ft 25M	N 21 34' 19.591"	W 158 15' 50.083"	21.57211	-158.2639	LNM 21/14, 14th Dist	2766	19013_1	6/5/2014
19013	Change	Kilauea Point Light	Fl 10s 174ft 9M	N 22 13' 53.233"	W 159 24' 07.063"	22.23145	-159.402	LNM 19/14, 14th Dist	2766	19013_1	5/22/2014
19013	Relocate	Kilauea Point Light	Fl 10s 174ft 9M	N 22 13' 53.233"	W 159 24' 07.063"	22.23145	-159.402	LNM 19/14, 14th Dist	2766	19013_1	5/22/2014
19013	Delete	UH WHOTS Site	Y Fl Y 4s Priv	N 22 23' 59.999"	W 157 34' 11.999"	22.4	-157.57	LNM 07/14, 14th Dist	2766	19013_1	2/27/2014
19013	Add	UH WHOTS Site	Y Fl Y 4s Priv	N 22 46' 00.000"	W 157 54' 00.000"	22.76667	-157.9	LNM 07/14, 14th Dist	2766	19013_1	2/27/2014
19013	Add	Magenta Arrow PT 1 OF 2	Magenta Arrow	N 22 06' 44.000"	W 159 55' 35.000"	22.11222	-159.9264	LNM 01/14, 14th Dist	2766	19013_1	1/9/2014
19013	Add	Magenta Arrow PT 2 OF 2	Magenta Arrow	N 22 02' 27.000"	W 159 51' 13.000"	22.04083	-159.8536	LNM 01/14, 14th Dist	2766	19013_1	1/9/2014
19013	Add	Danger Zone PT 1 OF 6	Chart No. 1: N1.2 or N2.2	N 22 04' 19.160"	W 159 46' 36.240"	22.07199	-159.7767	LNM 01/14, 14th Dist	2766	19013_1	1/9/2014
19013	Add	Danger Zone PT 2 OF 6	Chart No. 1: N1.2 or N2.2	N 22 06' 30.710"	W 159 49' 20.430"	22.10853	-159.8223	LNM 01/14, 14th Dist	2766	19013_1	1/9/2014
