Chart: 19019, Current Edition: 11, Print Date: Apr. /2008, French Frigate Shoals to Laysan Island
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
19019	Delete	Ship Reporting Area Limit PT 1 OF 11	use Chart No. 1: N1.2	N 26 34' 49.000"	W 170 54' 48.800"	26.58028	-170.9136	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Delete	Ship Reporting Area Limit PT 2 OF 11	use Chart No. 1: N1.2	N 26 24' 27.600"	W 170 21' 04.300"	26.40767	-170.3512	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Delete	Ship Reporting Area Limit PT 3 OF 11	use Chart No. 1: N1.2	N 25 56' 28.900"	W 167 31' 51.400"	25.94136	-167.5309	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Delete	Ship Reporting Area Limit PT 4 OF 11	use Chart No. 1: N1.2	N 24 50' 13.800"	W 165 58' 33.600"	24.83717	-165.976	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Delete	Ship Reporting Area Limit PT 7 OF 11	use Chart No. 1: N1.2	N 22 47' 38.000"	W 166 38' 07.600"	22.79389	-166.6354	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Delete	Ship Reporting Area Limit PT 8 OF 11	use Chart No. 1: N1.2	N 24 03' 49.900"	W 168 27' 41.500"	24.06386	-168.4615	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Delete	Ship Reporting Area Limit PT 9 OF 11	use Chart No. 1: N1.2	N 24 25' 52.100"	W 170 45' 35.500"	24.43114	-170.7599	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Delete	Ship Reporting Area Limit PT 10 OF 11	use Chart No. 1: N1.2	N 24 46' 35.300"	W 171 52' 58.100"	24.77647	-171.8828	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 1 OF 12	use Chart No. 1: N1.2	N 26 34' 49.200"	W 170 55' 34.100"	26.58033	-170.9261	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 2 OF 12	use Chart No. 1: N1.2	N 26 23' 57.300"	W 170 20' 14.700"	26.39925	-170.3374	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 3 OF 12	use Chart No. 1: N1.2	N 25 56' 29.300"	W 167 32' 01.600"	25.94147	-167.5338	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 4 OF 12	use Chart No. 1: N1.2	N 24 50' 13.700"	W 165 58' 33.300"	24.83714	-165.9759	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 7 OF 12	use Chart No. 1: N1.2	N 24 46' 29.400"	W 171 52' 52.000"	24.77483	-171.8811	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 8 OF 12	use Chart No. 1: N1.2	N 24 26' 35.300"	W 170 50' 22.300"	24.44314	-170.8395	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 9 OF 12	use Chart No. 1: N1.2	N 24 03' 18.300"	W 168 27' 31.500"	24.05508	-168.4588	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 10 OF 12	use Chart No. 1: N1.2	N 22 47' 51.700"	W 168 27' 31.500"	22.7977	-168.4588	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 12 OF 12	use Chart No. 1: N1.2	N 26 34' 47.100"	W 172 39' 59.100"	26.57975	-172.6664	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 6 OF 12	use Chart No. 1: N1.2	N 24 52' 56.000"	W 172 39' 55.000"	24.88222	-172.6653	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 5 OF 12	use Chart No. 1: N1.2	N 24 45' 00.000"	W 165 30' 06.000"	24.75	-165.5017	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Add	Ship Reporting Area Limit PT 11 OF 12	use Chart No. 1: N1.2	N 22 39' 38.000"	W 165 30' 01.000"	22.66055	-165.5003	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
19019	Delete	Ship Reporting Area Limit PT 5 OF 11	use Chart No. 1: N1.2	N 24 44' 58.800"	W 165 30' 01.000"	24.74967	-165.5003	LNM 30/13, 14th Dist	2770	19019_1	7/18/2013
