Chart: 19327, Current Edition: 11, Print Date: Jun. /2005, West Coast of Hawai‘i Cook Point to Upolu Point;Keauhou Bay;Honokohau Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
19327	Add	Kawaihae LT Draft Harbor Buoy 2	R N "2" Priv	N 20 01' 18.690"	W 155 49' 54.030"	20.02186	-155.8317	LNM 04/17, 14th Dist	2779	19327_1	1/26/2017
19327	Add	Kawaihae LT Draft Harbor Buoy 3	G C "3" Priv	N 20 01' 32.052"	W 155 49' 45.642"	20.02557	-155.8293	LNM 04/17, 14th Dist	2779	19327_1	1/26/2017
19327	Add	Kawaihae LT Draft Harbor Buoy 6	R N "6" Priv	N 20 01' 37.260"	W 155 49' 40.464"	20.02702	-155.8279	LNM 04/17, 14th Dist	2779	19327_1	1/26/2017
19327	Change	Depth Legend - Honokohau Harbor Channel to:	6 ft rep 2005 - 2015	N 19 40' 07.570"	W 156 01' 19.620"	19.66877	-156.0221	LNM 46/15, 14th Dist	2780	19327_2	11/12/2015
19327	Change	Depth Legend - Honokohau Harbor Channel to:	13 FT MAY 2015	N 19 40' 10.050"	W 156 01' 34.900"	19.66946	-156.0264	LNM 46/15, 14th Dist	2780	19327_2	11/12/2015
19327	Change	Depth Legend - Honokohau Harbor Entrance Channel to:	15 FT MAY 2015	N 19 40' 09.070"	W 156 01' 39.160"	19.66919	-156.0275	LNM 46/15, 14th Dist	2780	19327_2	11/12/2015
19327	Add	Sounding in Fathoms & Feet	0 3	N 19 40' 08.960"	W 156 01' 38.090"	19.66916	-156.0273	LNM 46/15, 14th Dist	2780	19327_2	11/12/2015
19327	Change	Depth Legend - Honokohau Harbor Channel to:	8 ft rep Apr 2005 - May 2015	N 19 40' 09.370"	W 156 01' 21.120"	19.66927	-156.0225	LNM 46/15, 14th Dist	2780	19327_2	11/12/2015
19327	Add	Kawaihae Light Draft Harbor Light 5	Fl G 6s 15ft 5M "5"	N 20 01' 36.684"	W 155 49' 43.252"	20.02686	-155.8287	LNM 34/15, 14th Dist	2779	19327_1	9/3/2015
19327	Change	Kauhola Point Light	Fl 15s 108ft 10M	N 20 14' 46.616"	W 155 46' 17.116"	20.24628	-155.7714	LNM 36/14, 14th Dist	2779	19327_1	9/18/2014
19327	Change	Keahole Point Light	Fl 6s 43ft 6M	N 19 43' 40.351"	W 156 03' 39.799"	19.72787	-156.0611	LNM 20/14, 14th Dist	2779	19327_1	5/29/2014
19327	Add	Keahole Point Warning Lighted Buoy A	"A" Q Priv	N 19 44' 47.000"	W 156 03' 42.000"	19.74639	-156.0617	LNM 10/14, 14th Dist	2779	19327_1	3/20/2014
19327	Add	Keahole Point Warning Lighted Buoy B	"B" Q Priv	N 19 44' 34.000"	W 156 03' 34.000"	19.74278	-156.0594	LNM 10/14, 14th Dist	2779	19327_1	3/20/2014
19327	Add	Keahole Point Warning Lighted Buoy C	"C" Q Priv	N 19 44' 23.000"	W 156 03' 42.000"	19.73972	-156.0617	LNM 10/14, 14th Dist	2779	19327_1	3/20/2014
19327	Add	Keahole Point Warning Lighted Buoy D	"D" Q Priv	N 19 44' 35.000"	W 156 03' 53.000"	19.74306	-156.0647	LNM 10/14, 14th Dist	2779	19327_1	3/20/2014
19327	Delete	Fish Farm Buoy East	Fl 2s	N 19 44' 34.140"	W 156 03' 33.540"	19.74282	-156.0593	LNM 10/14, 14th Dist	2779	19327_1	3/20/2014
19327	Delete	Fish Farm Buoy North	Fl 2s	N 19 44' 46.800"	W 156 03' 41.160"	19.74633	-156.0614	LNM 10/14, 14th Dist	2779	19327_1	3/20/2014
19327	Delete	Fish Farm Buoy South	Fl 2s	N 19 44' 23.340"	W 156 03' 42.480"	19.73982	-156.0618	LNM 10/14, 14th Dist	2779	19327_1	3/20/2014
19327	Delete	Fish Farm Buoy West	Fl 2s	N 19 44' 35.340"	W 156 03' 53.100"	19.74315	-156.0647	LNM 10/14, 14th Dist	2779	19327_1	3/20/2014
19327	Delete	Keauhou Bay Range Front Daybeacon	RW Bn	N 19 33' 42.669"	W 155 57' 44.047"	19.56185	-155.9622	LNM 05/14, 14th Dist	2781	19327_3	2/13/2014
19327	Delete	Keauhou Bay Range Rear Daybeacon	RW Bn	N 19 33' 42.923"	W 155 57' 43.522"	19.56192	-155.9621	LNM 05/14, 14th Dist	2781	19327_3	2/13/2014
19327	Add	Keauhou Bay Range Front Daybeacon	RW Bn	N 19 33' 42.705"	W 155 57' 44.143"	19.56186	-155.9623	LNM 26/13, 14th Dist	2781	19327_3	12/23/2013
19327	Add	Pilot Station	Pilots, Chart No. 1: T1.1	N 20 03' 06.000"	W 155 51' 18.000"	20.05167	-155.855	LNM 48/13, 14th Dist	2779	19327_1	11/20/2013
19327	Add	Kampachi Farm Buoys 1 & 2	2 F Y Priv	N 19 33' 00.000"	W 156 04' 00.000"	19.55	-156.0667	LNM 42/13, 14th Dist	2779	19327_1	10/21/2013
19327	Change	KAWAIHAE HARBOR CHANNEL RANGE FRONT LIGHT	Q G 68ft	N 20 02' 05.704"	W 155 49' 38.364"	20.03492	-155.8273	LNM 37/13, 14th Dist	2779	19327_1	9/13/2013
19327	Change	KAWAIHAE HARBOR CHANNEL RANGE REAR LIGHT	Iso G 6s 92ft	N 20 02' 02.044"	W 155 49' 31.659"	20.0339	-155.8255	LNM 37/13, 14th Dist	2779	19327_1	9/13/2013
19327	Relocate	Keauhou Bay Entrance Directional Light	Q W R G 23ft 11M	N 19 33' 42.923"	W 155 57' 43.522"	19.56192	-155.9621	LNM 26/13, 14th Dist	2781	19327_3	8/7/2013
19327	Relocate	Keauhou Bay Entrance Directional Light	Q W R G 23ft 11M	N 19 33' 42.923"	W 155 57' 43.522"	19.56192	-155.9621	LNM 26/13, 14th Dist	2779	19327_1	8/7/2013
19327	Delete	Keauhou Bay Range Front Daybeacon	RW Bn	N 19 33' 42.705"	W 155 57' 44.143"	19.56186	-155.9623	LNM 26/13, 14th Dist	2781	19327_3	8/7/2013
19327	Delete	Keauhou Bay Range Front Daybeacon	RW Bn	N 19 33' 42.705"	W 155 57' 44.143"	19.56186	-155.9623	LNM 26/13, 14th Dist	2779	19327_1	8/7/2013
19327	Add	Keauhou Bay Range Rear Daybeacon	RW Bn	N 19 33' 42.923"	W 155 57' 43.522"	19.56192	-155.9621	LNM 26/13, 14th Dist	2781	19327_3	8/7/2013
19327	Relocate	KEAUHOU BAY RANGE FRONT DAYBEACON	RW Bn	N 19 33' 42.669"	W 155 57' 44.047"	19.56185	-155.9622	LNM 04/13, 14th Dist	2781	19327_3	2/26/2013
19327	Delete	KEAUHOU BAY ENTRANCE DIRECTIONAL LIGHT	Q WGR 25ft 11M	N 19 33' 43.708"	W 155 57' 42.966"	19.56214	-155.9619	LNM 03/13, 14th Dist	2781	19327_3	2/11/2013
19327	Delete	KEAUHOU BAY ENTRANCE DIRECTIONAL LIGHT	Q WGR 25ft 11M	N 19 33' 43.708"	W 155 57' 42.966"	19.56214	-155.9619	LNM 03/13, 14th Dist	2779	19327_1	2/11/2013
19327	Add	KEAUHOU BAY ENTRANCE DIRECTIONAL LIGHT	Q WGR 23ft 11M	N 19 33' 42.887"	W 155 57' 43.427"	19.56191	-155.9621	LNM 03/13, 14th Dist	2781	19327_3	2/11/2013
