Chart: 19330, Current Edition: 11, Print Date: Sep. /2006, Kawaihae Bay-Island of Hawaii
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
19330	Add	Kawaihae LT Draft Harbor Buoy 2	R N "2" Priv	N 20 01' 18.690"	W 155 49' 54.030"	20.02186	-155.8317	LNM 04/17, 14th Dist	2783	19330_1	1/26/2017
19330	Add	Kawaihae LT Draft Harbor Buoy 3	G C "3" Priv	N 20 01' 32.052"	W 155 49' 45.642"	20.02557	-155.8293	LNM 04/17, 14th Dist	2783	19330_1	1/26/2017
19330	Add	Kawaihae LT Draft Harbor Buoy 6	R N "6" Priv	N 20 01' 37.260"	W 155 49' 40.464"	20.02702	-155.8279	LNM 04/17, 14th Dist	2783	19330_1	1/26/2017
19330	Change	Depth Legend - KAWAIHAE DEEP DRAFT HARBOR to:	2 FEET 2015	N 20 02' 20.400"	W 155 49' 53.900"	20.039	-155.8316	LNM 49/15, 14th Dist	2783	19330_1	12/10/2015
19330	Add	Kawaihae Light Draft Harbor Breakwater Daybeacon 8	R "8"	N 20 01' 39.671"	W 155 49' 41.495"	20.02769	-155.8282	LNM 34/15, 14th Dist	2783	19330_1	9/3/2015
19330	Add	Kawaihae Light Draft Harbor Light 5	Fl G 6s 15ft 5M "5"	N 20 01' 36.684"	W 155 49' 43.252"	20.02686	-155.8287	LNM 34/15, 14th Dist	2783	19330_1	9/3/2015
19330	Change	Kawaihae Harbor South Breakwater Light 8	Fl R 2.5s 20ft 4M "8"	N 20 02' 04.606"	W 155 50' 01.625"	20.03461	-155.8338	LNM 34/14, 14th Dist	2783	19330_1	9/4/2014
19330	Add	Pilot Station	Pilots, Chart No. 1: T1.1	N 20 03' 06.000"	W 155 51' 18.000"	20.05167	-155.855	LNM 48/13, 14th Dist	2783	19330_1	11/20/2013
19330	Change	KAWAIHAE HARBOR CHANNEL RANGE FRONT LIGHT	Q G 68ft	N 20 02' 05.704"	W 155 49' 38.364"	20.03492	-155.8273	LNM 37/13, 14th Dist	2783	19330_1	9/13/2013
19330	Change	KAWAIHAE HARBOR CHANNEL RANGE REAR LIGHT	Iso G 6s 92ft	N 20 02' 02.044"	W 155 49' 31.659"	20.0339	-155.8255	LNM 37/13, 14th Dist	2783	19330_1	9/13/2013
19330	Delete	KAWAIHAE LT DRAFT HARBOR BREAKWATER DBN 8	R "8"	N 20 01' 39.671"	W 155 49' 41.495"	20.02769	-155.8282	LNM 09/13, 14th Dist	2783	19330_1	3/20/2013
19330	Delete	KAWAIHAE LT DRAFT HARBOR BREAKWATER LT 5	Fl G 6s 15ft 5M "5"	N 20 01' 36.684"	W 155 49' 43.252"	20.02686	-155.8287	LNM 09/13, 14th Dist	2783	19330_1	3/20/2013
19330	Change	Depth Legend - KAWAIHAE DEEP DRAFT HARBOR  to:	3 FEET 2011	N 20 02' 20.400"	W 155 49' 53.900"	20.039	-155.8316	LNM 09/13, 14th Dist	2783	19330_1	2/26/2013
19330	Change	KAWAIHAE HARBOR CHANNEL RANGE FRONT LIGHT	F G 68ft	N 20 02' 05.704"	W 155 49' 38.364"	20.03492	-155.8273	LNM 45/12, 14th Dist	2783	19330_1	11/13/2012
19330	Change	KAWAIHAE HARBOR CHANNEL RANGE REAR LIGHT	F G 92ft	N 20 02' 02.044"	W 155 49' 31.659"	20.0339	-155.8255	LNM 45/12, 14th Dist	2783	19330_1	11/13/2012
19330	Relocate	KAWAIHAE HARBOR CHANNEL RANGE FRONT LIGHT	F G 70ft	N 20 02' 05.704"	W 155 49' 38.364"	20.03492	-155.8273	LNM 33/12, 14th Dist	2783	19330_1	9/6/2012
19330	Relocate	KAWAIHAE HARBOR CHANNEL RANGE REAR LIGHT	F G 93ft	N 20 02' 02.044"	W 155 49' 31.659"	20.0339	-155.8255	LNM 33/12, 14th Dist	2783	19330_1	9/6/2012
19330	Delete	Kawaihae Light Draft Harbor Buoy "3"	G C "3"	N 20 01' 32.052"	W 155 49' 45.642"	20.02557	-155.8293	LNM 08/12, 14th Dist	2783	19330_1	2/28/2012
19330	Delete	Kawaihae Light Draft Harbor Buoy "6"	R N "6"	N 20 01' 37.260"	W 155 49' 40.464"	20.02702	-155.8279	LNM 08/12, 14th Dist	2783	19330_1	2/28/2012
19330	Delete	Kawaihae Light Draft Harbor Lighted Buoy "2"	R "2" Q R	N 20 01' 18.690"	W 155 49' 54.030"	20.02186	-155.8317	LNM 08/12, 14th Dist	2783	19330_1	2/28/2012
19330	Add	Submarine Cable  PT 1 OF 10	Chart No. 1: L30.1	N 20 01' 26.100"	W 155 49' 21.900"	20.02392	-155.8228	LNM 47/10, 14th Dist	2783	19330_1	11/15/2010
