Chart: 19350, Current Edition: 11, Print Date: 3/17/2001, Island of Maui Ma‘alaea Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
19350	Relocate	Maalaea Basin Channel Buoy 1	G C "1"	N 20 47' 25.330"	W 156 30' 38.660"	20.79037	-156.5107	LNM 06/14, 14th Dist	2793	19350_1	2/20/2014
19350	Change	Maalaea Basin Channel Buoy 1	G "1" Fl G 15s Priv	N 20 47' 25.330"	W 156 30' 38.660"	20.79037	-156.5107	LNM 06/14, 14th Dist	2793	19350_1	2/20/2014
19350	Relocate	Maalaea Basin Channel Buoy 2	R N "2"	N 20 47' 25.330"	W 156 30' 36.230"	20.79037	-156.5101	LNM 06/14, 14th Dist	2793	19350_1	2/20/2014
19350	Change	Maalaea Basin Channel Buoy 2	R "2" Fl R 15s Priv	N 20 47' 25.330"	W 156 30' 36.230"	20.79037	-156.5101	LNM 06/14, 14th Dist	2793	19350_1	2/20/2014
19350	Relocate	MAALAEA BASIN RANGE FRONT LIGHT	Q R 27ft	N 20 47' 31.218"	W 156 30' 40.595"	20.79201	-156.5113	LNM 35/13, 14th Dist	2793	19350_1	9/3/2013
19350	Relocate	MAALAEA BASIN RANGE REAR LIGHT	Iso R 6s 44ft	N 20 47' 33.178"	W 156 30' 41.513"	20.79255	-156.5115	LNM 35/13, 14th Dist	2793	19350_1	9/3/2013
19350	Relocate	Maalaea Basin Range Front Light	Q R 27ft	N 20 47' 31.095"	W 156 30' 40.571"	20.79197	-156.5113	LNM 26/13, 14th Dist	2793	19350_1	8/7/2013
19350	Relocate	Maalaea Basin Range Rear Light	Iso R 6s 44ft	N 20 47' 33.055"	W 156 30' 41.392"	20.79251	-156.5115	LNM 26/13, 14th Dist	2793	19350_1	8/7/2013
19350	Change	MAALAEA BASIN RANGE FRONT LIGHT	Q R 27ft	N 20 47' 31.235"	W 156 30' 40.669"	20.79201	-156.5113	LNM 51/12, 14th Dist	2793	19350_1	1/3/2013
19350	Change	MAALAEA BASIN RANGE REAR LIGHT	Iso R 6s 44ft	N 20 47' 33.195"	W 156 30' 41.492"	20.79255	-156.5115	LNM 51/12, 14th Dist	2793	19350_1	1/3/2013
19350	Relocate	MAALAEA BASIN RANGE FRONT LIGHT	Q R 29ft	N 20 47' 31.235"	W 156 30' 40.669"	20.79201	-156.5113	LNM 33/12, 14th Dist	2793	19350_1	9/6/2012
19350	Relocate	MAALAEA BASIN RANGE REAR LIGHT	Iso R 6s 43ft	N 20 47' 33.195"	W 156 30' 41.492"	20.79255	-156.5115	LNM 33/12, 14th Dist	2793	19350_1	9/6/2012
19350	Delete	Submarine Operations Label	SUBMERGED SUBMARINE OPERATING AREA (see note B)	N 20 45' 45.700"	W 156 31' 06.400"	20.7627	-156.5184	LNM 17/12, 14th Dist	2793	19350_1	4/18/2012
19350	Change	Submarine Operations Note B to:	Submerged submarine operations are conducted at various times in the waters contained on this chart. Proceed with caution.	N 20 48' 33.400"	W 156 28' 11.300"	20.80928	-156.4698	LNM 17/12, 14th Dist	2793	19350_1	4/18/2012
19350	Delete	Submarine Operations Label	SUBMERGED SUBMARINE OPERATING AREA (see note B)	N 20 46' 57.700"	W 156 29' 30.800"	20.78269	-156.4919	LNM 17/12, 14th Dist	2793	19350_1	4/18/2012
19350	Delete	Submarine Operations Label	SUBMERGED SUBMARINE OPERATING AREA (see note B)	N 20 44' 27.300"	W 156 29' 22.200"	20.74092	-156.4895	LNM 17/12, 14th Dist	2793	19350_1	4/18/2012
19350	Change	Depth Legend - Entance Channel to: 8 ft reported 2009	8 ft reported 2009	N 20 47' 24.900"	W 156 30' 38.100"	20.79025	-156.5106	LNM 10/10, 14th Dist	2793	19350_1	5/13/2010
19350	Delete	Maalaea East Basin Buoy 6	R N " 6" Priv	N 20 47' 29.520"	W 156 30' 36.380"	20.79153	-156.5101	LNM 45/09, 14th Dist	2793	19350_1	12/4/2009
19350	Delete	Maalaea Basin Daybeacon J	R "J" Priv	N 20 47' 28.200"	W 156 30' 40.040"	20.79117	-156.5111	LNM 45/09, 14th Dist	2793	19350_1	12/4/2009
19350	Delete	Maalaea West Basin Daybeacon 2W	R "2W" PrIv 	N 20 47' 27.850"	W 156 30' 44.110"	20.79107	-156.5123	LNM 45/09, 14th Dist	2793	19350_1	12/4/2009
19350	Relocate	Maalaea Basin Range Front Lt	Q R 29ft	N 20 47' 31.200"	W 156 30' 40.613"	20.792	-156.5113	LNM 37/07, 14th Dist	2793	19350_1	2/13/2008
19350	Relocate	McGregor Point Light	Iso G 6s 72ft 10M	N 20 46' 38.912"	W 156 31' 22.495"	20.77748	-156.5229	LNM 47/05, 14th Dist	2793	19350_1	2/13/2008
19350	Revise	MAALAEA BS RNGE FR LT	Q R 29ft	N 20 47' 31.200"	W 156 30' 40.600"	20.792	-156.5113	LNM 22/02, 14th Dist	2793	19350_1	2/13/2008
19350	Revise	MAALAEA BS RNGE RR LT	Iso R 6s 43ft	N 20 47' 34.000"	W 156 30' 42.000"	20.79278	-156.5117	LNM 22/02, 14th Dist	2793	19350_1	2/13/2008
