Chart: 19380, Current Edition: 15, Print Date: Oct. /2003, O‘ahu to Ni‘ihau
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
19380	Change	PacIOOSWB 106	Y "PIOOS 106" Fl (5) Y 20s Priv	N 21 40' 22.000"	W 158 06' 57.000"	21.67278	-158.1158	LNM 12/17, 14th Dist	2809	19380_1	3/30/2017
19380	Change	PacIOOSWB 202	Y "PIOOS 202" Fl (5) Y 20s Priv	N 22 17' 04.981"	W 159 34' 27.181"	22.28472	-159.5742	LNM 12/17, 14th Dist	2809	19380_1	3/30/2017
19380	Add	Submarine Cable  PT 1 OF 7	Chart No. 1: L30.1	N 21 17' 47.000"	W 158 06' 23.900"	21.29639	-158.1066	LNM 31/16, 14th Dist	2809	19380_1	7/28/2016
19380	Add	Submarine Cable  PT 2 OF 7	Chart No. 1: L30.1	N 21 17' 02.900"	W 158 08' 07.100"	21.28414	-158.1353	LNM 31/16, 14th Dist	2809	19380_1	7/28/2016
19380	Add	Submarine Cable  PT 3 OF 7	Chart No. 1: L30.1	N 21 17' 52.600"	W 158 10' 03.100"	21.29795	-158.1675	LNM 31/16, 14th Dist	2809	19380_1	7/28/2016
19380	Add	Submarine Cable  PT 4 OF 7	Chart No. 1: L30.1	N 21 17' 52.100"	W 158 10' 35.400"	21.29781	-158.1765	LNM 31/16, 14th Dist	2809	19380_1	7/28/2016
19380	Add	Submarine Cable  PT 5 OF 7	Chart No. 1: L30.1	N 21 17' 59.900"	W 158 10' 43.700"	21.29997	-158.1788	LNM 31/16, 14th Dist	2809	19380_1	7/28/2016
19380	Add	Submarine Cable  PT 6 OF 7	Chart No. 1: L30.1	N 21 19' 15.000"	W 158 11' 05.800"	21.32083	-158.185	LNM 31/16, 14th Dist	2809	19380_1	7/28/2016
19380	Add	Submarine Cable  PT 7 OF 7	Chart No. 1: L30.1	N 21 19' 22.900"	W 158 10' 55.700"	21.32303	-158.1821	LNM 31/16, 14th Dist	2809	19380_1	7/28/2016
19380	Add	Obstruction	Obstn	N 22 08' 52.000"	W 159 47' 55.000"	22.14778	-159.7986	WNM 11/15, NGA	2809	19380_1	3/19/2015
19380	Change	Nawiliwili Harbor Light	Fl 15s 110ft 9M	N 21 57' 17.903"	W 159 20' 08.903"	21.95497	-159.3358	LNM 45/14, 14th Dist	2809	19380_1	11/13/2014
