Chart: 19381, Current Edition: 9, Print Date: Dec. /2008, Island of Kaua‘i
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
19381	Change	PacIOOSWB 202	Y "PIOOS 202" Fl (5) Y 20s Priv	N 22 17' 04.981"	W 159 34' 27.181"	22.28472	-159.5742	LNM 12/17, 14th Dist	2810	19381_1	3/30/2017
19381	Add	Obstruction	Obstn	N 22 08' 52.000"	W 159 47' 55.000"	22.14778	-159.7986	WNM 11/15, NGA	2810	19381_1	3/19/2015
19381	Change	Nawiliwili Harbor Light	Fl 15s 110ft 9M	N 21 57' 17.903"	W 159 20' 08.903"	21.95497	-159.3358	LNM 45/14, 14th Dist	2810	19381_1	11/13/2014
19381	Change	PIOOS Ligted Buoy 202	F Y "PIOOS 202" Priv	N 22 17' 04.981"	W 159 34' 27.181"	22.28472	-159.5742	LNM 40/14, 14th Dist	2810	19381_1	10/16/2014
19381	Change	Kilauea Point Light	Fl 10s 174ft 9M	N 22 13' 53.233"	W 159 24' 07.063"	22.23145	-159.402	LNM 19/14, 14th Dist	2810	19381_1	5/22/2014
19381	Relocate	Kilauea Point Light	Fl 10s 174ft 9M	N 22 13' 53.233"	W 159 24' 07.063"	22.23145	-159.402	LNM 19/14, 14th Dist	2810	19381_1	5/22/2014
19381	Delete	Danger Zone Label	DANGER ZONE 334.1390 (see note A)	N 22 04' 00.000"	W 159 49' 16.000"	22.06667	-159.8211	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
19381	Add	Danger Zone PT 1 OF 6	Chart No. 1: N1.2 or N2.2	N 22 04' 13.800"	W 159 46' 31.000"	22.0705	-159.7753	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
19381	Add	Danger Zone PT 2 OF 6	Chart No. 1: N1.2 or N2.2	N 22 06' 30.710"	W 159 49' 20.430"	22.10853	-159.8223	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
19381	Add	Danger Zone PT 3 OF 6	Chart No. 1: N1.2 or N2.2	N 22 02' 28.090"	W 159 51' 28.150"	22.04114	-159.8578	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
19381	Add	Danger Zone PT 4 OF 6	Chart No. 1: N1.2 or N2.2	N 21 58' 59.810"	W 159 50' 51.420"	21.98328	-159.8476	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
19381	Add	Danger Zone PT 5 OF 6	Chart No. 1: N1.2 or N2.2	N 21 56' 06.000"	W 159 46' 55.910"	21.935	-159.7822	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
19381	Add	Danger Zone PT 6 OF 6	Chart No. 1: N1.2 or N2.2	N 21 58' 44.000"	W 159 45' 26.000"	21.97889	-159.7572	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
19381	Add	Danger Zone Label	DANGER ZONE 334.1390 (see note A)	N 22 00' 50.000"	W 159 49' 34.000"	22.01389	-159.8261	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
19381	Delete	Danger Zone PT 1 OF 4	Chart No. 1: N1.2 or N2.2	N 22 03' 07.000"	W 159 47' 06.000"	22.05194	-159.785	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
19381	Delete	Danger Zone PT 2 OF 4	Chart No. 1: N1.2 or N2.2	N 22 06' 18.000"	W 159 49' 21.000"	22.105	-159.8225	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
19381	Delete	Danger Zone PT 3 OF 4	Chart No. 1: N1.2 or N2.2	N 22 02' 18.000"	W 159 51' 20.000"	22.03833	-159.8556	LNM 01/14, 14th Dist	2810	19381_1	1/9/2014
