Chart: 25640, Current Edition: 45, Print Date: Jan. /2013, Puerto Rico and Virgin Islands
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
25640	Relocate	Hams Bluff Light	Fl (2) 30s 394ft 16M	N 17 46' 08.870"	W 064 52' 15.145"	17.76913	-64.87087	LNM 02/17, 7th Dist	414	25640_1	1/12/2017
25640	Change	Hams Bluff Light	Fl (2) 30s 394ft 14M	N 17 46' 08.870"	W 064 52' 15.145"	17.76913	-64.87087	LNM 02/17, 7th Dist	414	25640_1	1/12/2017
25640	Add	Submarine Cable  PT 1 OF 18	Chart No. 1: L30.1	N 18 20' 38.820"	W 064 58' 39.480"	18.34412	-64.97763	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 2 OF 18	Chart No. 1: L30.1	N 18 20' 33.680"	W 064 58' 47.800"	18.34269	-64.97994	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 3 OF 18	Chart No. 1: L30.1	N 18 20' 29.100"	W 064 58' 59.560"	18.34142	-64.98321	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 4 OF 18	Chart No. 1: L30.1	N 18 20' 26.680"	W 064 59' 05.310"	18.34074	-64.98481	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 5 OF 18	Chart No. 1: L30.1	N 18 20' 24.400"	W 064 59' 09.880"	18.34011	-64.98608	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 6 OF 18	Chart No. 1: L30.1	N 18 20' 18.730"	W 064 59' 20.190"	18.33854	-64.98895	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 7 OF 18	Chart No. 1: L30.1	N 18 20' 16.860"	W 064 59' 21.250"	18.33802	-64.98923	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 8 OF 18	Chart No. 1: L30.1	N 18 20' 12.120"	W 064 59' 22.260"	18.3367	-64.98952	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 9 OF 18	Chart No. 1: L30.1	N 18 20' 05.040"	W 064 59' 20.590"	18.33473	-64.98905	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 10 OF 18	Chart No. 1: L30.1	N 18 19' 59.210"	W 064 59' 16.360"	18.33311	-64.98788	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 11 OF 18	Chart No. 1: L30.1	N 18 18' 54.900"	W 064 58' 05.950"	18.31525	-64.96832	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 12 OF 18	Chart No. 1: L30.1	N 18 18' 46.930"	W 064 57' 53.560"	18.31304	-64.96487	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 13 OF 18	Chart No. 1: L30.1	N 18 18' 44.690"	W 064 57' 46.240"	18.31241	-64.96284	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 14 OF 18	Chart No. 1: L30.1	N 18 18' 44.020"	W 064 57' 44.650"	18.31223	-64.9624	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 15 OF 18	Chart No. 1: L30.1	N 18 18' 44.310"	W 064 57' 30.210"	18.31231	-64.95839	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 16 OF 18	Chart No. 1: L30.1	N 18 18' 43.880"	W 064 57' 28.620"	18.31219	-64.95795	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 17 OF 18	Chart No. 1: L30.1	N 18 18' 44.250"	W 064 57' 27.570"	18.31229	-64.95766	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 18 OF 18	Chart No. 1: L30.1	N 18 18' 44.440"	W 064 57' 27.060"	18.31234	-64.95752	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 1 OF 12	Chart No. 1: L30.1	N 18 19' 23.280"	W 064 50' 32.600"	18.32313	-64.84239	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 2 OF 12	Chart No. 1: L30.1	N 18 19' 09.350"	W 064 49' 21.520"	18.31926	-64.82265	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 3 OF 12	Chart No. 1: L30.1	N 18 17' 41.910"	W 064 47' 55.530"	18.29498	-64.79876	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 4 OF 12	Chart No. 1: L30.1	N 18 15' 41.760"	W 064 47' 08.550"	18.2616	-64.78571	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 5 OF 12	Chart No. 1: L30.1	N 18 11' 01.780"	W 064 46' 13.170"	18.18383	-64.77032	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 6 OF 12	Chart No. 1: L30.1	N 18 04' 16.450"	W 064 45' 38.770"	18.07124	-64.76077	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 7 OF 12	Chart No. 1: L30.1	N 18 01' 29.450"	W 064 45' 01.790"	18.02485	-64.7505	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 8 OF 12	Chart No. 1: L30.1	N 17 57' 53.700"	W 064 45' 00.670"	17.96492	-64.75018	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 9 OF 12	Chart No. 1: L30.1	N 17 51' 46.680"	W 064 42' 56.190"	17.86297	-64.71561	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 10 OF 12	Chart No. 1: L30.1	N 17 46' 54.650"	W 064 42' 24.320"	17.78185	-64.70676	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 11 OF 12	Chart No. 1: L30.1	N 17 45' 35.990"	W 064 41' 39.330"	17.76	-64.69426	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 12 OF 12	Chart No. 1: L30.1	N 17 45' 12.570"	W 064 41' 39.260"	17.75349	-64.69424	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 1 OF 23	Chart No. 1: L30.1	N 18 20' 38.870"	W 064 58' 39.470"	18.34413	-64.97763	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 2 OF 23	Chart No. 1: L30.1	N 18 20' 32.920"	W 064 58' 51.430"	18.34248	-64.98095	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 3 OF 23	Chart No. 1: L30.1	N 18 20' 31.810"	W 064 59' 02.920"	18.34217	-64.98415	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 4 OF 23	Chart No. 1: L30.1	N 18 20' 02.560"	W 064 59' 48.920"	18.33404	-64.99693	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 5 OF 23	Chart No. 1: L30.1	N 18 19' 47.420"	W 065 00' 00.290"	18.32984	-65.00008	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 6 OF 23	Chart No. 1: L30.1	N 18 19' 08.570"	W 065 01' 10.810"	18.31905	-65.01967	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 7 OF 23	Chart No. 1: L30.1	N 18 17' 46.880"	W 065 02' 01.560"	18.29636	-65.03377	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 8 OF 23	Chart No. 1: L30.1	N 18 16' 39.900"	W 065 02' 05.030"	18.27775	-65.03473	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 9 OF 23	Chart No. 1: L30.1	N 18 15' 21.210"	W 065 01' 06.430"	18.25589	-65.01846	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
25640	Add	Submarine Cable  PT 10 OF 23	Chart No. 1: L30.1	N 18 14' 51.040"	W 064 59' 37.550"	18.24751	-64.99377	LNM 43/16, 7th Dist	414	25640_1	10/20/2016
