Chart: 25641, Current Edition: 29, Print Date: Sep. /2013, Virgin Islands-Virgin Gorda to St. Thomas and St. Croix;Krause Lagoon Channel
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
25641	Relocate	Hams Bluff Light	Fl (2) 30s 394ft 16M	N 17 46' 08.870"	W 064 52' 15.145"	17.76913	-64.87087	LNM 02/17, 7th Dist	386	25641_1	1/12/2017
25641	Change	Hams Bluff Light	Fl (2) 30s 394ft 14M	N 17 46' 08.870"	W 064 52' 15.145"	17.76913	-64.87087	LNM 02/17, 7th Dist	386	25641_1	1/12/2017
25641	Add	Sounding in Fathoms 	3	N 18 22' 03.000"	W 064 39' 29.000"	18.3675	-64.65806	LNM 51/16, 7th Dist	386	25641_1	12/15/2016
25641	Add	Sounding in Fathoms 	10	N 18 22' 19.200"	W 064 40' 28.200"	18.372	-64.6745	LNM 51/16, 7th Dist	386	25641_1	12/15/2016
25641	Add	Sounding in Fathoms & Fractions	4 1/4	N 18 22' 28.800"	W 064 41' 30.000"	18.37467	-64.69167	LNM 51/16, 7th Dist	386	25641_1	12/15/2016
25641	Add	Submarine Cable  PT 1 OF 18	Chart No. 1: L30.1	N 18 20' 38.820"	W 064 58' 39.480"	18.34412	-64.97763	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 2 OF 18	Chart No. 1: L30.1	N 18 20' 33.680"	W 064 58' 47.800"	18.34269	-64.97994	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 3 OF 18	Chart No. 1: L30.1	N 18 20' 29.100"	W 064 58' 59.560"	18.34142	-64.98321	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 4 OF 18	Chart No. 1: L30.1	N 18 20' 26.680"	W 064 59' 05.310"	18.34074	-64.98481	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 5 OF 18	Chart No. 1: L30.1	N 18 20' 24.400"	W 064 59' 09.880"	18.34011	-64.98608	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 6 OF 18	Chart No. 1: L30.1	N 18 20' 18.730"	W 064 59' 20.190"	18.33854	-64.98895	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 7 OF 18	Chart No. 1: L30.1	N 18 20' 16.860"	W 064 59' 21.250"	18.33802	-64.98923	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 8 OF 18	Chart No. 1: L30.1	N 18 20' 12.120"	W 064 59' 22.260"	18.3367	-64.98952	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 9 OF 18	Chart No. 1: L30.1	N 18 20' 05.040"	W 064 59' 20.590"	18.33473	-64.98905	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 10 OF 18	Chart No. 1: L30.1	N 18 19' 59.210"	W 064 59' 16.360"	18.33311	-64.98788	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 11 OF 18	Chart No. 1: L30.1	N 18 18' 54.900"	W 064 58' 05.950"	18.31525	-64.96832	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 12 OF 18	Chart No. 1: L30.1	N 18 18' 46.930"	W 064 57' 53.560"	18.31304	-64.96487	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 13 OF 18	Chart No. 1: L30.1	N 18 18' 44.690"	W 064 57' 46.240"	18.31241	-64.96284	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 14 OF 18	Chart No. 1: L30.1	N 18 18' 44.020"	W 064 57' 44.650"	18.31223	-64.9624	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 15 OF 18	Chart No. 1: L30.1	N 18 18' 44.310"	W 064 57' 30.210"	18.31231	-64.95839	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 16 OF 18	Chart No. 1: L30.1	N 18 18' 43.880"	W 064 57' 28.620"	18.31219	-64.95795	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 17 OF 18	Chart No. 1: L30.1	N 18 18' 44.250"	W 064 57' 27.570"	18.31229	-64.95766	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 18 OF 18	Chart No. 1: L30.1	N 18 18' 44.440"	W 064 57' 27.060"	18.31234	-64.95752	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 1 OF 20	Chart No. 1: L30.1	N 18 20' 38.870"	W 064 58' 39.470"	18.34413	-64.97763	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 2 OF 20	Chart No. 1: L30.1	N 18 20' 32.920"	W 064 58' 51.430"	18.34248	-64.98095	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 3 OF 20	Chart No. 1: L30.1	N 18 20' 31.810"	W 064 59' 02.920"	18.34217	-64.98415	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 4 OF 20	Chart No. 1: L30.1	N 18 20' 02.560"	W 064 59' 48.920"	18.33404	-64.99693	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 5 OF 20	Chart No. 1: L30.1	N 18 19' 47.420"	W 065 00' 00.290"	18.32984	-65.00008	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 6 OF 20	Chart No. 1: L30.1	N 18 19' 08.570"	W 065 01' 10.810"	18.31905	-65.01967	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 7 OF 20	Chart No. 1: L30.1	N 18 17' 46.880"	W 065 02' 01.560"	18.29636	-65.03377	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
25641	Add	Submarine Cable  PT 8 OF 20	Chart No. 1: L30.1	N 18 16' 39.900"	W 065 02' 05.030"	18.27775	-65.03473	LNM 43/16, 7th Dist	386	25641_1	10/20/2016
