Chart: 25644, Current Edition: 15, Print Date: Jan. /2014, Frederiksted Road;Frederiksted Pier
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
25644	Relocate	Hams Bluff Light	Fl (2) 30s 394ft 16M	N 17 46' 08.870"	W 064 52' 15.145"	17.76913	-64.87087	LNM 02/17, 7th Dist	381	25644_1	1/12/2017
25644	Change	Hams Bluff Light	Fl (2) 30s 394ft 14M	N 17 46' 08.870"	W 064 52' 15.145"	17.76913	-64.87087	LNM 02/17, 7th Dist	381	25644_1	1/12/2017
25644	Add	Submarine Cable  PT 1 OF 16	Chart No. 1: L30.1	N 17 42' 19.100"	W 064 53' 03.630"	17.70531	-64.88434	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 2 OF 16	Chart No. 1: L30.1	N 17 42' 19.710"	W 064 53' 06.650"	17.70547	-64.88518	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 3 OF 16	Chart No. 1: L30.1	N 17 42' 22.090"	W 064 53' 09.600"	17.70614	-64.886	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 4 OF 16	Chart No. 1: L30.1	N 17 42' 26.670"	W 064 53' 13.650"	17.70741	-64.88712	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 5 OF 16	Chart No. 1: L30.1	N 17 42' 31.090"	W 064 53' 23.050"	17.70864	-64.88973	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 6 OF 16	Chart No. 1: L30.1	N 17 42' 33.970"	W 064 53' 44.860"	17.70944	-64.8958	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 7 OF 16	Chart No. 1: L30.1	N 17 42' 35.930"	W 064 53' 52.860"	17.70998	-64.89802	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 8 OF 16	Chart No. 1: L30.1	N 17 42' 36.970"	W 064 54' 27.520"	17.71027	-64.90765	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 9 OF 16	Chart No. 1: L30.1	N 17 42' 46.460"	W 064 54' 44.540"	17.71291	-64.91237	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 10 OF 16	Chart No. 1: L30.1	N 17 43' 56.900"	W 064 56' 06.850"	17.73247	-64.93523	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 11 OF 16	Chart No. 1: L30.1	N 17 44' 09.940"	W 064 56' 18.610"	17.73609	-64.9385	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 12 OF 16	Chart No. 1: L30.1	N 17 44' 27.000"	W 064 56' 26.040"	17.74083	-64.94057	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 13 OF 16	Chart No. 1: L30.1	N 17 44' 45.090"	W 064 56' 28.680"	17.74586	-64.9413	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 14 OF 16	Chart No. 1: L30.1	N 17 45' 06.440"	W 064 56' 28.050"	17.75179	-64.94112	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 15 OF 16	Chart No. 1: L30.1	N 17 45' 22.900"	W 064 56' 26.040"	17.75636	-64.94057	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
25644	Add	Submarine Cable  PT 16 OF 16	Chart No. 1: L30.1	N 17 46' 48.824"	W 064 56' 13.042"	17.78023	-64.93696	LNM 43/16, 7th Dist	381	25644_1	10/20/2016
