Chart: 25647, Current Edition: 12, Print Date: Mar. /2014, Pillsbury Sound
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
25647	Add	Submarine Cable  PT 1 OF 11	Chart No. 1: L30.1	N 18 19' 23.692"	W 064 50' 34.161"	18.32325	-64.84282	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Add	Submarine Cable  PT 2 OF 11	Chart No. 1: L30.1	N 18 19' 21.960"	W 064 50' 28.980"	18.32277	-64.84138	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Add	Submarine Cable  PT 3 OF 11	Chart No. 1: L30.1	N 18 19' 21.480"	W 064 50' 27.420"	18.32263	-64.84095	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Add	Submarine Cable  PT 4 OF 11	Chart No. 1: L30.1	N 18 19' 18.708"	W 064 50' 14.058"	18.32186	-64.83724	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Add	Submarine Cable  PT 5 OF 11	Chart No. 1: L30.1	N 18 19' 13.962"	W 064 49' 48.354"	18.32055	-64.8301	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Add	Submarine Cable  PT 6 OF 11	Chart No. 1: L30.1	N 18 19' 14.808"	W 064 49' 39.348"	18.32078	-64.8276	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Add	Submarine Cable  PT 7 OF 11	Chart No. 1: L30.1	N 18 19' 11.136"	W 064 49' 24.708"	18.31976	-64.82353	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Add	Submarine Cable  PT 8 OF 11	Chart No. 1: L30.1	N 18 19' 09.324"	W 064 49' 21.630"	18.31926	-64.82268	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Add	Submarine Cable  PT 9 OF 11	Chart No. 1: L30.1	N 18 19' 06.054"	W 064 49' 18.240"	18.31835	-64.82173	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Add	Submarine Cable  PT 10 OF 11	Chart No. 1: L30.1	N 18 17' 41.730"	W 064 47' 55.488"	18.29493	-64.79874	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Add	Submarine Cable  PT 11 OF 11	Chart No. 1: L30.1	N 18 16' 20.443"	W 064 47' 25.830"	18.27234	-64.79051	LNM 43/16, 7th Dist	384	25647_1	10/20/2016
25647	Delete	Red Point Buoy 1	G C "1"	N 18 18' 24.236"	W 064 51' 34.707"	18.30673	-64.85964	LNM 20/15, 7th Dist	384	25647_1	5/28/2015
25647	Add	Red Point Lighted Buoy 1	G "1" Fl G 4s	N 18 18' 24.236"	W 064 51' 34.707"	18.30673	-64.85964	LNM 20/15, 7th Dist	384	25647_1	5/28/2015
25647	Delete	Cable Area  PT 1 OF 2	Chart No. 1: L30.2	N 18 19' 28.350"	W 064 49' 53.350"	18.32454	-64.83149	LNM 32/14, 7th Dist	384	25647_1	8/14/2014
25647	Delete	Cable Area  PT 2 OF 2	Chart No. 1: L30.2	N 18 19' 28.350"	W 064 47' 46.000"	18.32454	-64.79611	LNM 32/14, 7th Dist	384	25647_1	8/14/2014
25647	Add	Cable Area  PT 1 OF 2	Chart No. 1: L30.2	N 18 19' 26.100"	W 064 49' 55.550"	18.32392	-64.8321	LNM 32/14, 7th Dist	384	25647_1	8/14/2014
25647	Add	Cable Area  PT 2 OF 2	Chart No. 1: L30.2	N 18 19' 26.100"	W 064 47' 44.650"	18.32392	-64.79574	LNM 32/14, 7th Dist	384	25647_1	8/14/2014
25647	Delete	Benner Bay Channel Buoy 10	R N "10" Priv	N 18 19' 03.920"	W 064 52' 05.970"	18.31775	-64.86832	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Buoy 12	R N "12" Priv	N 18 19' 05.820"	W 064 52' 04.760"	18.31828	-64.86799	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Buoy 13	G C "13" Priv	N 18 19' 08.250"	W 064 52' 03.870"	18.31896	-64.86774	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Buoy 14	R N "14" Priv	N 18 19' 07.940"	W 064 52' 03.340"	18.31887	-64.86759	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Buoy 3	G C "3" Priv	N 18 18' 56.230"	W 064 52' 07.660"	18.31562	-64.8688	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Buoy 4	R N "4" Priv	N 18 18' 56.330"	W 064 52' 06.740"	18.31565	-64.86854	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Buoy 5	G C "5" Priv	N 18 18' 58.020"	W 064 52' 08.060"	18.31612	-64.8689	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Buoy 6	R N "6" Priv	N 18 18' 58.210"	W 064 52' 07.480"	18.31617	-64.86874	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Buoy 7	G C "7" Priv	N 18 19' 00.440"	W 064 52' 08.570"	18.31679	-64.86905	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Buoy 8	R N "8" Priv	N 18 19' 00.890"	W 064 52' 07.830"	18.31691	-64.86884	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Buoy 9	G C "9" Priv	N 18 19' 04.130"	W 064 52' 06.620"	18.31781	-64.86851	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Lighted Buoy 1	G "1" Fl G 2s Priv	N 18 18' 50.936"	W 064 52' 04.009"	18.31415	-64.86778	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Delete	Benner Bay Channel Lighted Buoy 2	R "2" Fl R 2s Priv	N 18 18' 51.536"	W 064 52' 03.509"	18.31432	-64.86764	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Add	Benner Bay Lighted Buoy 1	G "1" Fl G 2s Priv	N 18 18' 50.990"	W 064 52' 03.640"	18.31416	-64.86768	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Add	Benner Bay Lighted Buoy 2	R "2" Fl R 2s Priv	N 18 18' 51.370"	W 064 52' 03.280"	18.31427	-64.86758	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Add	Benner Bay Lighted Buoy 3	G "3" Fl G 2s Priv	N 18 18' 56.240"	W 064 52' 07.620"	18.31562	-64.86878	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Add	Benner Bay Lighted Buoy 4	R "4" Fl R 2s Priv	N 18 18' 56.340"	W 064 52' 06.720"	18.31565	-64.86853	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
25647	Add	Benner Bay Lighted Buoy 5	G "5" Fl G 2s Priv	N 18 18' 58.000"	W 064 52' 07.900"	18.31611	-64.86886	LNM 29/14, 7th Dist	384	25647_1	7/24/2014
