Chart: 25649, Current Edition: 20, Print Date: Aug. /2010, Saint Thomas Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
25649	Delete	Sounding in Feet	31	N 18 19' 57.900"	W 064 56' 53.700"	18.33275	-64.94825	LNM 22/17, 7th Dist	385	25649_1	5/25/2017
25649	Add	Sounding in Feet	33	N 18 19' 58.000"	W 064 56' 53.600"	18.33278	-64.94822	LNM 22/17, 7th Dist	385	25649_1	5/25/2017
25649	Add	Sounding in Feet	27	N 18 19' 58.870"	W 064 56' 36.550"	18.33302	-64.94349	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Substitute	Sounding in Feet	32 for 31	N 18 19' 58.660"	W 064 56' 46.880"	18.33296	-64.94636	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Delete	Sounding in Feet	33	N 18 19' 55.660"	W 064 56' 47.270"	18.33213	-64.94646	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Add	Sounding in Feet	32	N 18 19' 55.830"	W 064 56' 46.730"	18.33217	-64.94631	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Add	Sounding in Feet	31	N 18 19' 57.940"	W 064 56' 53.710"	18.33276	-64.94825	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Delete	Sounding in Feet	31	N 18 19' 58.930"	W 064 56' 54.880"	18.33304	-64.94858	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Substitute	Sounding in Feet	33 for 36	N 18 19' 59.190"	W 064 56' 59.520"	18.33311	-64.94987	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Add	Sounding in Feet	35	N 18 19' 56.370"	W 064 57' 06.030"	18.33232	-64.95168	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Substitute	Sounding in Feet	32 for 29	N 18 19' 56.270"	W 064 57' 09.160"	18.3323	-64.95255	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Substitute	Sounding in Feet	33 for 31	N 18 19' 54.780"	W 064 57' 12.320"	18.33188	-64.95342	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Substitute	Sounding in Feet	33 for 27	N 18 19' 56.390"	W 064 57' 13.210"	18.33233	-64.95367	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Substitute	Sounding in Feet	32 for 31	N 18 19' 55.280"	W 064 57' 15.110"	18.33202	-64.9542	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Substitute	Sounding in Feet	33 for 31	N 18 19' 56.120"	W 064 56' 57.860"	18.33226	-64.9494	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Delete	Sounding in Feet	29	N 18 19' 58.950"	W 064 56' 37.310"	18.33304	-64.9437	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Substitute	Sounding in Feet	34 for 32	N 18 19' 54.660"	W 064 57' 09.030"	18.33185	-64.95251	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Add	Sounding in Feet	37	N 18 19' 57.220"	W 064 56' 32.920"	18.33256	-64.94247	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Add	Sounding in Feet	32	N 18 19' 59.510"	W 064 56' 54.570"	18.3332	-64.94849	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Delete	Sounding in Feet	43	N 18 19' 57.100"	W 064 56' 31.690"	18.33253	-64.94214	LNM 50/16, 7th Dist	385	25649_1	12/15/2016
25649	Add	Submarine Cable  PT 1 OF 18	Chart No. 1: L30.1	N 18 20' 38.820"	W 064 58' 39.480"	18.34412	-64.97763	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 2 OF 18	Chart No. 1: L30.1	N 18 20' 33.680"	W 064 58' 47.800"	18.34269	-64.97994	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 3 OF 18	Chart No. 1: L30.1	N 18 20' 29.100"	W 064 58' 59.560"	18.34142	-64.98321	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 4 OF 18	Chart No. 1: L30.1	N 18 20' 26.680"	W 064 59' 05.310"	18.34074	-64.98481	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 5 OF 18	Chart No. 1: L30.1	N 18 20' 24.400"	W 064 59' 09.880"	18.34011	-64.98608	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 6 OF 18	Chart No. 1: L30.1	N 18 20' 18.730"	W 064 59' 20.190"	18.33854	-64.98895	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 7 OF 18	Chart No. 1: L30.1	N 18 20' 16.860"	W 064 59' 21.250"	18.33802	-64.98923	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 8 OF 18	Chart No. 1: L30.1	N 18 20' 12.120"	W 064 59' 22.260"	18.3367	-64.98952	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 9 OF 18	Chart No. 1: L30.1	N 18 20' 05.040"	W 064 59' 20.590"	18.33473	-64.98905	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 10 OF 18	Chart No. 1: L30.1	N 18 20' 05.040"	W 064 59' 20.590"	18.33473	-64.98905	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 11 OF 18	Chart No. 1: L30.1	N 18 18' 54.900"	W 064 58' 05.950"	18.31525	-64.96832	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
25649	Add	Submarine Cable  PT 12 OF 18	Chart No. 1: L30.1	N 18 18' 46.930"	W 064 57' 53.560"	18.31304	-64.96487	LNM 43/16, 7th Dist	385	25649_1	10/20/2016
