Chart: 25650, Current Edition: 37, Print Date: Feb. /2014, Virgin Passage and Sonda de Vieques
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
25650	Add	Submarine Cable  PT 1 OF 18	Chart No. 1: L30.1	N 18 20' 38.820"	W 064 58' 39.480"	18.34412	-64.97763	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 2 OF 18	Chart No. 1: L30.1	N 18 20' 33.680"	W 064 58' 47.800"	18.34269	-64.97994	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 3 OF 18	Chart No. 1: L30.1	N 18 20' 29.100"	W 064 58' 59.560"	18.34142	-64.98321	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 4 OF 18	Chart No. 1: L30.1	N 18 20' 26.680"	W 064 59' 05.310"	18.34074	-64.98481	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 5 OF 18	Chart No. 1: L30.1	N 18 20' 24.400"	W 064 59' 09.880"	18.34011	-64.98608	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 6 OF 18	Chart No. 1: L30.1	N 18 20' 18.730"	W 064 59' 20.190"	18.33854	-64.98895	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 7 OF 18	Chart No. 1: L30.1	N 18 20' 16.860"	W 064 59' 21.250"	18.33802	-64.98923	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 8 OF 18	Chart No. 1: L30.1	N 18 20' 12.120"	W 064 59' 22.260"	18.3367	-64.98952	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 9 OF 18	Chart No. 1: L30.1	N 18 20' 05.040"	W 064 59' 20.590"	18.33473	-64.98905	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 10 OF 18	Chart No. 1: L30.1	N 18 19' 59.210"	W 064 59' 16.360"	18.33311	-64.98788	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 11 OF 18	Chart No. 1: L30.1	N 18 18' 54.900"	W 064 58' 05.950"	18.31525	-64.96832	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 12 OF 18	Chart No. 1: L30.1	N 18 18' 46.930"	W 064 57' 53.560"	18.31304	-64.96487	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 13 OF 18	Chart No. 1: L30.1	N 18 18' 44.690"	W 064 57' 46.240"	18.31241	-64.96284	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 14 OF 18	Chart No. 1: L30.1	N 18 18' 44.020"	W 064 57' 44.650"	18.31223	-64.9624	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 15 OF 18	Chart No. 1: L30.1	N 18 18' 44.310"	W 064 57' 30.210"	18.31231	-64.95839	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 16 OF 18	Chart No. 1: L30.1	N 18 18' 43.880"	W 064 57' 28.620"	18.31219	-64.95795	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 17 OF 18	Chart No. 1: L30.1	N 18 18' 44.250"	W 064 57' 27.570"	18.31229	-64.95766	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 18 OF 18	Chart No. 1: L30.1	N 18 18' 44.440"	W 064 57' 27.060"	18.31234	-64.95752	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 1 OF 23	Chart No. 1: L30.1	N 18 20' 38.240"	W 064 58' 40.700"	18.34396	-64.97797	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 2 OF 23	Chart No. 1: L30.1	N 18 20' 32.930"	W 064 58' 51.430"	18.34248	-64.98095	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 3 OF 23	Chart No. 1: L30.1	N 18 20' 31.900"	W 064 59' 02.690"	18.34219	-64.98408	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 4 OF 23	Chart No. 1: L30.1	N 18 20' 02.350"	W 064 59' 48.860"	18.33399	-64.9969	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 5 OF 23	Chart No. 1: L30.1	N 18 19' 47.190"	W 065 00' 00.360"	18.32977	-65.0001	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 6 OF 23	Chart No. 1: L30.1	N 18 19' 08.650"	W 065 01' 10.840"	18.31907	-65.01968	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 7 OF 23	Chart No. 1: L30.1	N 18 17' 50.810"	W 065 02' 00.190"	18.29745	-65.03339	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 8 OF 23	Chart No. 1: L30.1	N 18 17' 46.840"	W 065 02' 01.540"	18.29634	-65.03376	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 9 OF 23	Chart No. 1: L30.1	N 18 17' 16.720"	W 065 02' 07.210"	18.28798	-65.03534	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 10 OF 23	Chart No. 1: L30.1	N 18 16' 39.890"	W 065 02' 05.400"	18.27775	-65.03484	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 11 OF 23	Chart No. 1: L30.1	N 18 15' 53.930"	W 065 01' 43.710"	18.26498	-65.02881	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 12 OF 23	Chart No. 1: L30.1	N 18 15' 21.120"	W 065 01' 06.260"	18.25587	-65.0184	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 13 OF 23	Chart No. 1: L30.1	N 18 14' 53.320"	W 064 59' 40.540"	18.24814	-64.99459	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 14 OF 23	Chart No. 1: L30.1	N 18 14' 00.980"	W 064 58' 42.680"	18.23361	-64.97852	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 15 OF 23	Chart No. 1: L30.1	N 18 13' 28.600"	W 064 58' 31.690"	18.22461	-64.97547	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 16 OF 23	Chart No. 1: L30.1	N 18 11' 47.600"	W 064 58' 18.230"	18.19656	-64.97173	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 17 OF 23	Chart No. 1: L30.1	N 18 10' 34.400"	W 064 58' 15.130"	18.17622	-64.97087	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 18 OF 23	Chart No. 1: L30.1	N 18 06' 05.890"	W 064 57' 20.820"	18.10164	-64.95578	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 19 OF 23	Chart No. 1: L30.1	N 18 04' 30.590"	W 064 57' 16.330"	18.07516	-64.95454	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 20 OF 23	Chart No. 1: L30.1	N 18 03' 24.140"	W 064 56' 52.350"	18.05671	-64.94788	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 21 OF 23	Chart No. 1: L30.1	N 18 02' 10.470"	W 064 56' 02.960"	18.03624	-64.93416	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 22 OF 23	Chart No. 1: L30.1	N 18 01' 20.830"	W 064 55' 24.620"	18.02245	-64.92351	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
25650	Add	Submarine Cable  PT 23 OF 23	Chart No. 1: L30.1	N 18 00' 41.679"	W 064 55' 00.639"	18.01158	-64.91685	LNM 43/16, 7th Dist	398	25650_1	10/20/2016
