Chart: 25668, Current Edition: 21, Print Date: Nov. /2012, North Coast of Puerto Rico Punta Penon to Punta Vacia Talega;Puerto Arecibo;Puerto Palmas Altas
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
25668	Add	Submarine Cable  PT 1 OF 12	Chart No. 1: L30.1	N 18 31' 51.800"	W 065 54' 09.200"	18.53106	-65.90256	LNM 39/16, 7th Dist	400	25668_1	9/22/2016
25668	Add	Submarine Cable  PT 2 OF 12	Chart No. 1: L30.1	N 18 31' 22.500"	W 065 55' 42.500"	18.52292	-65.92847	LNM 39/16, 7th Dist	400	25668_1	9/22/2016
25668	Add	Submarine Cable  PT 3 OF 12	Chart No. 1: L30.1	N 18 30' 50.500"	W 065 56' 52.800"	18.51403	-65.948	LNM 39/16, 7th Dist	400	25668_1	9/22/2016
25668	Add	Submarine Cable  PT 4 OF 12	Chart No. 1: L30.1	N 18 30' 59.500"	W 065 57' 14.500"	18.51653	-65.95403	LNM 39/16, 7th Dist	400	25668_1	9/22/2016
25668	Add	Submarine Cable  PT 5 OF 12	Chart No. 1: L30.1	N 18 30' 37.500"	W 065 57' 15.200"	18.51042	-65.95422	LNM 39/16, 7th Dist	400	25668_1	9/22/2016
25668	Add	Submarine Cable  PT 6 OF 12	Chart No. 1: L30.1	N 18 30' 11.400"	W 065 57' 49.200"	18.50317	-65.96367	LNM 39/16, 7th Dist	400	25668_1	9/22/2016
25668	Add	Submarine Cable  PT 7 OF 12	Chart No. 1: L30.1	N 18 29' 21.400"	W 065 58' 17.300"	18.48928	-65.97147	LNM 39/16, 7th Dist	400	25668_1	9/22/2016
25668	Add	Submarine Cable  PT 8 OF 12	Chart No. 1: L30.1	N 18 29' 03.800"	W 065 59' 26.200"	18.48439	-65.99061	LNM 39/16, 7th Dist	400	25668_1	9/22/2016
25668	Add	Submarine Cable  PT 9 OF 12	Chart No. 1: L30.1	N 18 28' 10.200"	W 065 59' 58.700"	18.4695	-65.99964	LNM 39/16, 7th Dist	400	25668_1	9/22/2016
25668	Add	Submarine Cable  PT 10 OF 12	Chart No. 1: L30.1	N 18 27' 47.900"	W 066 00' 25.600"	18.46331	-66.00711	LNM 39/16, 7th Dist	400	25668_1	9/22/2016
