Chart: 25669, Current Edition: 1, Print Date: Oct. /2011, Approaches to San Juan Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
25669	Change	Bahia De San Juan Range Front Light	Iso R 2s 27ft AIS	N 18 27' 25.516"	W 066 07' 42.426"	18.45709	-66.12845	LNM 47/16, 7th Dist	415	25669_1	12/1/2016
25669	Change	Bahia De San Juan Range Rear Light	Oc R 4s 48ft AIS	N 18 27' 18.378"	W 066 07' 42.554"	18.4551	-66.12849	LNM 47/16, 7th Dist	415	25669_1	12/1/2016
25669	Add	Submarine Cable  PT 2 OF 13	Chart No. 1: L30.1	N 18 29' 09.000"	W 065 58' 49.000"	18.48583	-65.98028	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 13 OF 13	Chart No. 1: L30.1	N 18 26' 40.500"	W 066 01' 16.000"	18.44458	-66.02111	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 12 OF 13	Chart No. 1: L30.1	N 18 27' 04.300"	W 066 01' 09.700"	18.45119	-66.01936	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 3 OF 13	Chart No. 1: L30.1	N 18 29' 03.040"	W 065 59' 23.400"	18.48418	-65.98983	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 4 OF 13	Chart No. 1: L30.1	N 18 28' 52.900"	W 065 59' 34.700"	18.48136	-65.99297	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 5 OF 13	Chart No. 1: L30.1	N 18 28' 34.800"	W 065 59' 41.100"	18.47633	-65.99475	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 6 OF 13	Chart No. 1: L30.1	N 18 28' 13.400"	W 065 59' 56.900"	18.47039	-65.99914	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 7 OF 13	Chart No. 1: L30.1	N 18 28' 07.400"	W 066 00' 12.100"	18.46872	-66.00336	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 8 OF 13	Chart No. 1: L30.1	N 18 27' 49.900"	W 066 00' 24.000"	18.46386	-66.00667	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 9 OF 13	Chart No. 1: L30.1	N 18 27' 44.200"	W 066 00' 23.700"	18.46228	-66.00658	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 10 OF 13	Chart No. 1: L30.1	N 18 27' 36.100"	W 066 00' 17.500"	18.46003	-66.00486	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 11 OF 13	Chart No. 1: L30.1	N 18 27' 22.100"	W 066 00' 20.800"	18.45614	-66.00578	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Add	Submarine Cable  PT 1 OF 13	Chart No. 1: L30.1	N 18 29' 17.580"	W 065 58' 30.570"	18.48822	-65.97516	LNM 39/16, 7th Dist	415	25669_1	9/22/2016
25669	Change	Bahia De San Juan Lighted Buoy 2	R "2" Fl R 4s AIS	N 18 28' 19.798"	W 066 07' 46.325"	18.47217	-66.12953	LNM 36/16, 7th Dist	415	25669_1	9/15/2016
25669	Change	Bahia De San Juan Lighted Buoy 3	G "3" Fl G 4s	N 18 28' 17.826"	W 066 07' 36.446"	18.47162	-66.12679	LNM 36/16, 7th Dist	415	25669_1	9/15/2016
25669	Change	Puerto San Juan Light	Fl (3) 40s 169ft 11M	N 18 28' 15.575"	W 066 07' 24.969"	18.47099	-66.1236	LNM 24/16, 7th Dist	415	25669_1	6/16/2016
25669	Add	Double Line Pier PT 1 OF 4	Chart No. 1: F14	N 18 27' 38.620"	W 066 06' 55.680"	18.46073	-66.11546	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 2 OF 4	Chart No. 1: F14	N 18 27' 38.610"	W 066 06' 53.800"	18.46073	-66.11494	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 3 OF 4	Chart No. 1: F14	N 18 27' 38.350"	W 066 06' 53.810"	18.46065	-66.11494	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 4 OF 4	Chart No. 1: F14	N 18 27' 38.360"	W 066 06' 55.680"	18.46066	-66.11546	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 1 OF 4	Chart No. 1: F14	N 18 27' 37.530"	W 066 06' 55.670"	18.46042	-66.11546	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 2 OF 4	Chart No. 1: F14	N 18 27' 37.520"	W 066 06' 53.830"	18.46042	-66.11495	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 3 OF 4	Chart No. 1: F14	N 18 27' 37.280"	W 066 06' 53.830"	18.46036	-66.11495	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 4 OF 4	Chart No. 1: F14	N 18 27' 37.290"	W 066 06' 55.670"	18.46036	-66.11546	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 1 OF 4	Chart No. 1: F14	N 18 27' 36.250"	W 066 06' 55.710"	18.46007	-66.11548	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 2 OF 4	Chart No. 1: F14	N 18 27' 36.240"	W 066 06' 53.830"	18.46007	-66.11495	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 3 OF 4	Chart No. 1: F14	N 18 27' 36.000"	W 066 06' 53.830"	18.46	-66.11495	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 4 OF 4	Chart No. 1: F14	N 18 27' 36.010"	W 066 06' 55.710"	18.46	-66.11548	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 1 OF 4	Chart No. 1: F14	N 18 27' 34.980"	W 066 06' 55.730"	18.45972	-66.11548	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 2 OF 4	Chart No. 1: F14	N 18 27' 34.960"	W 066 06' 53.860"	18.45971	-66.11496	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 3 OF 4	Chart No. 1: F14	N 18 27' 34.720"	W 066 06' 53.860"	18.45964	-66.11496	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Add	Double Line Pier PT 4 OF 4	Chart No. 1: F14	N 18 27' 34.740"	W 066 06' 55.730"	18.45965	-66.11548	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 1 OF 12	Chart No. 1: F14	N 18 27' 38.620"	W 066 06' 55.720"	18.46073	-66.11548	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 2 OF 12	Chart No. 1: F14	N 18 27' 38.620"	W 066 06' 54.620"	18.46073	-66.11517	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 3 OF 12	Chart No. 1: F14	N 18 27' 37.890"	W 066 06' 55.720"	18.46053	-66.11548	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 4 OF 12	Chart No. 1: F14	N 18 27' 37.920"	W 066 06' 54.660"	18.46053	-66.11518	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 5 OF 12	Chart No. 1: F14	N 18 27' 37.610"	W 066 06' 55.700"	18.46045	-66.11547	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 6 OF 12	Chart No. 1: F14	N 18 27' 37.620"	W 066 06' 55.260"	18.46045	-66.11535	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 7 OF 12	Chart No. 1: F14	N 18 27' 37.380"	W 066 06' 55.700"	18.46038	-66.11547	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 8 OF 12	Chart No. 1: F14	N 18 27' 37.360"	W 066 06' 55.250"	18.46038	-66.11535	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 9 OF 12	Chart No. 1: F14	N 18 27' 36.430"	W 066 06' 55.740"	18.46012	-66.11549	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 10 OF 12	Chart No. 1: F14	N 18 27' 36.440"	W 066 06' 53.850"	18.46012	-66.11496	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 11 OF 12	Chart No. 1: F14	N 18 27' 35.280"	W 066 06' 55.760"	18.4598	-66.11549	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Delete	Double Line Pier PT 12 OF 12	Chart No. 1: F14	N 18 27' 35.260"	W 066 06' 54.200"	18.45979	-66.11506	LNM 13/16, 7th Dist	415	25669_1	3/31/2016
25669	Change	Bahia De San Juan Lighted Buoy 2	R "2" Fl R 2.5s AIS	N 18 28' 19.798"	W 066 07' 46.325"	18.47217	-66.12953	LNM 48/15, 7th Dist	415	25669_1	12/10/2015
25669	Change	Bahia De San Juan Lighted Buoy 3	G "3" Fl G 2.5s	N 18 28' 17.826"	W 066 07' 36.446"	18.47162	-66.12679	LNM 48/15, 7th Dist	415	25669_1	12/10/2015
25669	Change	Bahia De San Juan Range Front Light	Iso 2s 27ft AIS	N 18 27' 25.516"	W 066 07' 42.426"	18.45709	-66.12845	LNM 48/15, 7th Dist	415	25669_1	12/10/2015
25669	Change	Bahia De San Juan Range Rear Light	Oc 4s 48ft AIS	N 18 27' 18.378"	W 066 07' 42.554"	18.4551	-66.12849	LNM 48/15, 7th Dist	415	25669_1	12/10/2015
25669	Change	Bahia De San Juan Range Front Passing Light	Fl 6s 5M	N 18 27' 25.489"	W 066 07' 42.440"	18.45708	-66.12846	LNM 39/15, 7th Dist	415	25669_1	10/8/2015
25669	Add	Bahia De San Juan FAD Lighted Buoy D	Y "D" Q Y Priv	N 18 32' 15.800"	W 066 03' 39.000"	18.53772	-66.06084	LNM 25/15, 7th Dist	415	25669_1	7/2/2015
25669	Delete	University of Puerto Rico Data Lighted Buoy B	Y "B" Fl Y 4s Priv	N 18 28' 38.200"	W 066 05' 57.000"	18.47728	-66.09917	LNM 24/14, 7th Dist	415	25669_1	6/12/2014
25669	Add	University of Puerto Rico Data Lighted Buoy B	Y "B" Fl Y 4s Priv	N 18 28' 28.200"	W 066 05' 57.000"	18.4745	-66.09917	LNM 24/14, 7th Dist	415	25669_1	6/12/2014
25669	Add	Double Line Pier PT 1 OF 6	None	N 18 27' 52.680"	W 066 06' 19.720"	18.46463	-66.10548	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	Double Line Pier PT 2 OF 6	None	N 18 27' 49.310"	W 066 06' 21.900"	18.4637	-66.10609	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	Double Line Pier PT 3 OF 6	None	N 18 27' 49.140"	W 066 06' 21.690"	18.46365	-66.10603	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	Double Line Pier PT 4 OF 6	None	N 18 27' 47.840"	W 066 06' 22.430"	18.46329	-66.10623	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	Double Line Pier PT 5 OF 6	None	N 18 27' 46.700"	W 066 06' 18.960"	18.46297	-66.10527	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	Double Line Pier PT 6 OF 6	None	N 18 27' 51.440"	W 066 06' 15.980"	18.46429	-66.10444	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	pier in ruins PT 1 OF 6	Subm ruins	N 18 27' 49.250"	W 066 06' 21.800"	18.46368	-66.10606	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	pier in ruins PT 2 OF 6	Subm ruins	N 18 27' 47.880"	W 066 06' 22.690"	18.4633	-66.1063	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	pier in ruins PT 3 OF 6	Subm ruins	N 18 27' 46.530"	W 066 06' 18.680"	18.46292	-66.10519	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	pier in ruins PT 4 OF 6	Subm ruins	N 18 27' 50.250"	W 066 06' 16.300"	18.46396	-66.10453	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	pier in ruins PT 5 OF 6	Subm ruins	N 18 27' 50.440"	W 066 06' 16.510"	18.46401	-66.10458	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	pier in ruins PT 6 OF 6	Subm ruins	N 18 27' 51.340"	W 066 06' 15.960"	18.46426	-66.10443	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Delete	Double Line Pier PT 1 OF 6	None	N 18 27' 52.660"	W 066 06' 19.610"	18.46463	-66.10545	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Delete	Double Line Pier PT 2 OF 6	None	N 18 27' 47.870"	W 066 06' 22.680"	18.4633	-66.1063	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Delete	Double Line Pier PT 3 OF 6	None	N 18 27' 46.560"	W 066 06' 18.690"	18.46293	-66.10519	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Delete	Double Line Pier PT 4 OF 6	None	N 18 27' 50.230"	W 066 06' 16.310"	18.46395	-66.10453	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Delete	Double Line Pier PT 5 OF 6	None	N 18 27' 50.480"	W 066 06' 16.520"	18.46402	-66.10459	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Delete	Double Line Pier PT 6 OF 6	None	N 18 27' 51.330"	W 066 06' 15.990"	18.46426	-66.10444	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	Pedestrian Bridge PT 1 OF 2	None	N 18 27' 49.100"	W 066 06' 21.710"	18.46364	-66.10603	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	Pedestrian Bridge PT 2 OF 2	None	N 18 27' 48.870"	W 066 06' 24.720"	18.46358	-66.10686	LNM 42/13, 7th Dist	415	25669_1	10/9/2013
25669	Add	University of Puerto Rico Data Lighted Buoy B	Y "B" Fl Y 4s Priv	N 18 28' 38.200"	W 066 05' 57.000"	18.47728	-66.09917	LNM 33/13, 7th Dist	415	25669_1	8/22/2013
25669	Add	Dangerous Submerged Rock	None	N 18 27' 06.100"	W 066 01' 57.700"	18.45169	-66.03269	LNM 17/13, 7th Dist	415	25669_1	4/16/2013
25669	Delete	Sounding in Feet	8	N 18 27' 06.100"	W 066 01' 57.700"	18.45169	-66.03269	LNM 17/13, 7th Dist	415	25669_1	4/16/2013
25669	Relocate	Bahia De San Juan Lighted Buoy 2	R "2" Fl R 2.5s	N 18 28' 19.798"	W 066 07' 46.325"	18.47217	-66.12953	LNM 09/13, 7th Dist	415	25669_1	3/18/2013
